Film,Production,Cast
Haywire,Relativity Media,"Steven Soderbergh (director); Lem Dobbs (screenplay); Gina Carano, Channing Tatum, Michael Angarano, Ewan McGregor, Michael Fassbender, Bill Paxton, Michael Douglas, Antonio Banderas, Mathieu Kassovitz, Anthony Brandon Wong, J.J. Perry, Aaron Cohen, Eddie J. Fernandez, Tim Connolly, Maximino Arciniega, Natascha Berg"
Red Tails,20th Century Fox / Lucasfilm,"Anthony Hemingway (director); John Ridley (screenplay); Cuba Gooding Jr., Nate Parker, David Oyelowo, Daniela Ruah, Terrence Howard, Tristan Wilds, Ne-Yo, Elijah Kelley, Marcus T. Paulk, Leslie Odom Jr., Michael B. Jordan, Method Man, Bryan Cranston, Kevin Phillips, Andre Royo, Lee Tergesen, Gerald McRaney, Robert Kazinsky, Josh Dallas, Aml Ameen, Rupert Penry-Jones"
Underworld: Awakening,Screen Gems / Lakeshore Entertainment / Sketch Films,"Måns Mårlind, Bjorn Stein (directors); Len Wiseman, John Hlavin, Allison Burnett, J. Michael Straczynski (screenplay); Kate Beckinsale, Theo James, India Eisley, Michael Ealy, Stephen Rea, Charles Dance, Sandrine Holt, Wes Bentley, Christian Tessier, Kurt Max Runte, Kris Holden-Ried, Catlin Adams, Jacob Blair"
Coriolanus,The Weinstein Company / Hermetof Pictures / BBC Films / Lonely Dragon,"Ralph Fiennes (director); John Logan (screenplay); Ralph Fiennes, Gerard Butler, Vanessa Redgrave, Brian Cox, Jessica Chastain, James Nesbitt, John Kani, Paul Jesson, Lubna Azabal, Ashraf Barhom, Dragan Mićanović, Slavko Štimac, Jon Snow, Slobodan Ninković, David Yelland, Nikki Amuka-Bird, Mona Hammond"
The Flowers of War,Wrekin Hill Entertainment,"Zhang Yimou (director); Liu Heng (screenplay); Christian Bale, Ni Ni, Zhang Xinyi, Tong Dawei, Atsuro Watabe, Shigeo Kobayashi, Cao Kefan"
Fullmetal Alchemist: The Sacred Star of Milos,Shochiku,"Kazuya Murata (director); Yuichi Shinbo (screenplay); Alexis Tipton, Matthew Mercer, Patrick Seitz, Shelley Calene-Black"
W.E.,The Weinstein Company,"Madonna (director/screenplay); Alek Keshishian (screenplay); Abbie Cornish, Oscar Isaac, James D'Arcy, Andrea Riseborough, Natalie Dormer, Richard Coyle, James Fox, Laurence Fox, David Harbour, Judy Parfitt, Haluk Bilginer, Geoffrey Palmer, Douglas Reith, Katie McGrath"
The Grey,Open Road Films / LD Entertainment,"Joe Carnahan (director/screenplay); Ian MacKenzie Jeffers (screenplay); Liam Neeson, Frank Grillo, Dermot Mulroney, Dallas Roberts, Joe Anderson, Nonso Anozie, James Badge Dale, Ben Bray, Greg Nicotero, Jacob Blair, Anne Openshaw"
Man on a Ledge,Summit Entertainment,"Asger Leth (director); Pablo Fenjves, Erich Hoeber, Jon Hoeber (screenplay); Sam Worthington, Elizabeth Banks, Jamie Bell, Anthony Mackie, Ed Burns, Titus Welliver, Genesis Rodriguez, Kyra Sedgwick, Ed Harris, Felix Solis, William Sadler, Pooja Kumar"
One for the Money,Lionsgate / Lakeshore Entertainment / Sidney Kimmel Entertainment,"Julie Anne Robinson (director); Karen Ray, Stacy Sherman, Liz Brixius (screenplay); Katherine Heigl, Debbie Reynolds, Jason O'Mara, Daniel Sunjata, Sherri Shepherd, Fisher Stevens, Patrick Fischler, John Leguizamo, Debra Monk, Nate Mooney, Ryan Michelle Bathe, Leonardo Nam, Annie Parisse, Danny Mastrogiorgio, Louis Mustillo, Joshua Elijah Reese, Olga Merediz"
Amador,Film Movement,"Fernando León de Aranoa (director); Magaly Solier, Celso Bugallo, Pietro Sibille, Sonia Almarcha, Fanny de Casto, Antonio Durán, Eleazar Ortiz, Raquel Pérez, Manolo Solo"
Declaration of War,Sundance Selects,Valérie Donzelli (director)
"Lula, Son of Brazil",Downtown Filmes,"Fábio Barreto (director); Rui Ricardo Dias, Glória Pires, Cléo Pires, Juliana Baroni, Milhem Cortaz"
The Wicker Tree,British Lion Films,"Robin Hardy (director); Graham McTavish, Jacqueline Leonard, Henry Garrett, Honeysuckle Weeks, Clive Russell, Christopher Lee, Brittania Nicol"
Big Miracle,Universal Pictures / Working Title Films,"Ken Kwapis (director); Jack Amiel, Michael Begler (screenplay); John Krasinski, Drew Barrymore, Kristen Bell, Tim Blake Nelson, Dermot Mulroney, Ted Danson, Vinessa Shaw, Stephen Root, Kathy Baker, Rob Riggle, Michael Gaston, James LeGros, Mark Ivanir, Stefan Kapicic, Andrew Daly, Jonathan Slavin, Gregory Jbara, John Michael Higgins, Sarah Palin"
Chronicle,20th Century Fox / Davis Entertainment,"Josh Trank (director/screenplay); Max Landis (screenplay); Dane DeHaan, Michael B. Jordan, Alex Russell, Michael Kelly, Ashley Hinshaw, Anna Wood, Crystal-Donna Roberts, Bo Petersen, Rudi Malcolm, Luke Tyler, Adrian Collins, Grant Powell, Armand Aucamp, Nicole Bailey"
The Woman in Black,CBS Films / Cross Creek Pictures,"James Watkins (director); Jane Goldman (screenplay); Daniel Radcliffe, Ciarán Hinds, Janet McTeer, Liz White, Alisa Khazanova, Tim McMullan, Roger Allam, Daniel Cerqueira, Shaun Dooley, Mary Stockley, Cathy Sara, David Burke, Victor McGuire, Lucy May Barker, Jessica Raine, Sophie Stuckey"
Journey 2: The Mysterious Island,Warner Bros. Pictures / New Line Cinema / Walden Media,"Brad Peyton (director); Mark Gunn, Brian Gunn (screenplay); Dwayne Johnson, Michael Caine, Josh Hutcherson, Vanessa Hudgens, Luis Guzmán, Kristin Davis, Branscombe Richmond"
Safe House,Universal Pictures / Relativity Media,"Daniel Espinosa (director); David Guggenheim (screenplay); Denzel Washington, Ryan Reynolds, Sam Shepard, Robert Patrick, Liam Cunningham, Brendan Gleeson, Vera Farmiga, Fares Fares, Nora Arnezeder, Joel Kinnaman, Rubén Blades"
The Vow,Screen Gems / Spyglass Entertainment,"Michael Sucsy (director); Abby Kohn, Marc Silverstein, Jason Katims (screenplay); Rachel McAdams, Channing Tatum, Scott Speedman, Jessica Lange, Sam Neill, Jessica McNamee, Wendy Crewson, Tatiana Maslany, Lucas Bryant, Joey Klein, Joe Cobden, Jeananne Goossen, Dillon Casey, Shannon Barnett, Britt Irvin, Sarah Carter, Rachel Skarsten, Lindsay Ames, Kristina Pešić"
Star Wars: Episode I – The Phantom Menace 3D,20th Century Fox / Lucasfilm,"George Lucas (director/screenplay); Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ahmed Best, Pernilla August, Ian McDiarmid, Anthony Daniels, Kenny Baker, Frank Oz, Ray Park, Silas Carson, Sofia Coppola, Keira Knightley, Samuel L. Jackson"
Exit Strategy,Ask Around Entertainment / The Film Group,Michael Whitton (director); Jameel Saleem (screenplay);
Rampart,Millennium Entertainment,"Oren Moverman (director); James Ellroy (screenplay); Woody Harrelson, Ben Foster, Robin Wright, Sigourney Weaver, Steve Buscemi, Anne Heche, Cynthia Nixon, Ice Cube, Brie Larson, Ned Beatty, Don Creech, Jon Bernthal, Jon Foster, Robert Ray Wisdom, Audra McDonald"
The Secret World of Arrietty,Walt Disney Pictures / Studio Ghibli,"Gary Rydstrom (director); Karey Kirkpatrick (screenplay); Will Arnett, Amy Poehler, Carol Burnett, Bridgit Mendler, David Henrie, Moisés Arias"
Ghost Rider: Spirit of Vengeance,Columbia Pictures / Hyde Park Entertainment / Imagination Adu Dhabi / Crystal Sky / Marvel Knights,"Mark Neveldine, Brian Taylor (directors); Scott Dimple, Seth Hoffman, David Goyer (screenplay); Nicolas Cage, Idris Elba, Fergus Riordan, Ciarán Hinds, Violante Placido, Johnny Whitworth"
This Means War,20th Century Fox / Overbrook Entertainment,"McG (director); Timothy Dowling, Simon Kinberg (screenplay); Tom Hardy, Chris Pine, Reese Witherspoon, Chelsea Handler, Til Schweiger, Abigail Spencer"
Act of Valor,Relativity Media,"""Mouse"" McCoy, Scott Waugh (directors); Kurt Johnstad (screenplay); Active Duty Navy SEALs, Roselyn Sánchez, Alex Veadov, Jason Cottle, Nestor Serrano"
Gone,Summit Entertainment / Lakeshore Entertainment,"Heitor Dhalia (director); Allison Burnett (screenplay); Amanda Seyfried, Jennifer Carpenter, Sebastian Stan, Wes Bentley, Michael Paré"
Good Deeds,Lionsgate / Tyler Perry Studios,"Tyler Perry (director/screenplay); Tyler Perry, Thandie Newton, Rebecca Romijn, Brian J. White, Jamie Kennedy, Eddie Cibrian, Jordenn Thompson, Beverly Johnson, Phylicia Rashad, Gabrielle Union"
Wanderlust,Universal Pictures / Relativity Media,"David Wain (director/screenplay); Ken Marino (screenplay); Paul Rudd, Jennifer Aniston, Malin Åkerman, Justin Theroux, Ken Marino, Lauren Ambrose, Joe Lo Truglio, Kerri Kenney-Silver, Kathryn Hahn, Alan Alda"
This Is Not a Film,Palisades Tartan Films,"Jafar Panahi, Mojtaba Mirtahmasb (directors)"
Dr. Seuss' The Lorax,Universal Pictures / Illumination Entertainment,"Chris Renaud, Kyle Balda (directors); Cinco Paul and Ken Daurio (screenplay); Danny DeVito, Zac Efron, Taylor Swift, Ed Helms, Rob Riggle, Betty White, Jenny Slate, Nasim Pedrad, Stephen Tobolowsky, Elmarie Wendel, Danny Cooksey, Chris Renaud, Joel Swetow, Michael Beattie, Dave Mitchell, Jack Angel, Bob Bergen, John Cygan, Debi Derryberry, Bill Farmer, Jess Harnell, Sherry Lynn, Danny Mann, Mona Marshall, Laraine Newman, Jan Rabson, Jim Ward, Dan Navarro, Mickie McGowan, Dempsey Pappion, Claira Nicole Titman, Monique Donnelly, Edie Lehmann Boddicker, Fletcher Sheridan"
Project X,Warner Bros. Pictures / Silver Pictures / Green Hat Films,"Nima Nourizadeh (director); Matt Drake, Michael Bacall (screenplay); Miles Teller, Oliver Cooper, Jonathan Daniel Brown, Kirby Bliss Blanton, Thomas Mann, Alexis Knapp"
Being Flynn,Focus Features,"Paul Weitz (director/screenplay); Robert De Niro, Paul Dano, Olivia Thirlby, Lili Taylor, Wes Studi, Julianne Moore"
Tim and Eric's Billion Dollar Movie,Magnet Releasing,"Tim Heidecker, Eric Wareheim (director/screenplay); Tim Heidecker, Eric Wareheim, Will Ferrell, Zach Galifianakis, John C. Reilly, Robert Loggia, Jeff Goldblum, Will Forte, William Atherton, Erica Durance"
John Carter,Walt Disney Pictures,"Andrew Stanton (director/screenplay); Mark Andrews, Michael Chabon (screenplay); Taylor Kitsch, Lynn Collins, Samantha Morton, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Willem Dafoe"
Silent House,Open Road Films / LD Entertainment,"Chris Kentis (director); Laura Lau (director/screenplay); Elizabeth Olsen, Adam Trese, Eric Sheffer Stevens, Julia Taylor Ross, Haley Murphy, Adam Barnett"
A Thousand Words,Paramount Pictures / DreamWorks Pictures,"Brian Robbins (director); Steve Koren (screenplay); Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Emanuel Ragsdale, Justina Machado, Steve Little, Jack McBrayer, Kayla Blake, Lennie Loftin, Alain Chabat, Ted Kennedy"
Attenberg,Strand Releasing,"Athina Rachel Tsangari (director/screenplay); Ariane Labed, Giorgos Lanthimos, Vangelis Mourikis"
The Ballad of Genesis and Lady Jaye,Adopt Films,Marie Losier (director)
Footnote,Sony Pictures Classics,"Joseph Cedar (director/screenplay); Shlomo Bar Aba, Lior Ashkenazi, Alisa Rosen, Alma Zack, Daniel Markovich, Micah Lewesohn, Yuval Scharf, Nevo Kimchi"
Friends with Kids,Lionsgate / Roadside Attractions,"Jennifer Westfeldt (director/screenplay); Adam Scott, Jennifer Westfeldt, Jon Hamm, Kristen Wiig, Maya Rudolph, Chris O'Dowd, Megan Fox, Edward Burns"
Jiro Dreams of Sushi,Magnolia Pictures,David Gelb (director)
Salmon Fishing in the Yemen,CBS Films / Lionsgate / BBC Films / Davis Films,"Lasse Hallström (director); Simon Beaufoy (screenplay); Ewan McGregor, Emily Blunt, Kristin Scott Thomas, Amr Waked"
Game Change,HBO Films / Playtone,"Jay Roach (director); Danny Strong (screenplay); Julianne Moore, Woody Harrelson, Ed Harris, Peter MacNicol, Jamey Sheridan, Sarah Paulson, Ron Livingston, David Barry Gray, Larry Sullivan, Melissa Farman, Kevin Bigley, Brian d'Arcy James, Bruce Altman, Colby French, John Rothman, Sandy Bainum, Tiffany Thornton, Alex Hyde-White, Justin Gaston, Austin Pendleton, Spencer Garrett, Brian Howe, Ron Perkins, Brittany Underwood, Jenna Stern, Sidney Blackmer, Rain Pryor, Ashlie Atkinson, Mark Halperin, John Heilemann, Barack Obama, Joe Biden, Anderson Cooper, Katie Couric, Wolf Blitzer, Candy Crowley, Charles Gibson, John King, Sean Hannity, Pat Buchanan, Jack Cafferty, Susan Collins, John Edwards, Tina Fey, Amy Poehler, Newt Gingrich, Paris Hilton, Kay Bailey Hutchison, Linda Lingle, Rachel Maddow, Lawrence O'Donnell, Keith Olbermann, Britney Spears, Brian Williams, Fareed Zakaria"
Gerhard Richter Painting [de],Kino Lorber,"Corinna Belz (director/screenplay); Gerhard Richter, Norbert Arns, Hubert Becker"
21 Jump Street,Columbia Pictures / Metro-Goldwyn-Mayer / Relativity Media / Original Film,"Phil Lord, Chris Miller (directors/screenplay); Michael Bacall (screenplay); Jonah Hill, Channing Tatum, Ice Cube, Brie Larson, Rob Riggle, DeRay Davis, Dave Franco, Jake Johnson, Johnny Simmons, Johnny Pemberton, Dakota Johnson, Ellie Kemper, Johnny Depp, Chris Parnell, Nick Offerman, Holly Robinson Peete, Justin Hires, Lindsey Broad, Caroline Aaron, Joe Chrest, Rye Rye, Spencer Boldman, Luis Da Silva, Peter DeLuise"
Casa de Mi Padre,Pantelion Films / Lionsgate,"Matt Piedmont (director); Andrew Steele (screenplay); Will Ferrell, Gael García Bernal, Diego Luna, Nick Offerman, Génesis Rodríguez, Efren Ramirez, Adrian Martinez, Pedro Armendáriz Jr., Sandra Echeverría, Alejandro Patino, Dan Haggerty, José Luis Rodríguez, Patty Guggenheim, Molly Shannon, Thomas Rosales Jr., Christina Aguilera"
"Jeff, Who Lives at Home",Paramount Vantage / Indian Paintbrush,"Mark Duplass, Jay Duplass (directors/screenplay); Jason Segel, Ed Helms, Judy Greer, Susan Sarandon, Evan Ross, Rae Dawn Chong, Steve Zissis, Raion Hill, Lance E. Nichols, Carol Sutton, Joe Chrest, Katie Aselton, J.D. Evermore, Matt Malloy, Jennifer Lafleur"
The Hunger Games,Lionsgate,"Gary Ross (director/screenplay); Suzanne Collins, Billy Ray (screenplay); Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Wes Bentley, Elizabeth Banks, Amandla Stenberg, Stanley Tucci, Woody Harrelson, Lenny Kravitz, Toby Jones, Donald Sutherland, Alexander Ludwig, Isabelle Fuhrman"
The Raid: Redemption,Sony Pictures Classics,"Gareth Evans (director/screenplay); Iko Uwais, Doni Alamsyah, Joe Taslim, Yayan Ruhian, Ray Sahetapy"
A Royal Affair,Magnolia Pictures,"Nikolaj Arcel (director/screenplay); Rasmus Heisterberg (screenplay); Alicia Vikander, Mads Mikkelsen"
Mirror Mirror,Relativity Media,"Tarsem Singh (director); Jason Keller, Melisa Wallack (screenplay); Lily Collins, Julia Roberts, Armie Hammer, Nathan Lane, Robert Emms, Mare Winningham, Michael Lerner, Mark Povinelli, Jordan Prentice, Danny Woodburn, Sebastian Saraceno, Ronald Lee Clark, Martin Klebba, Joey Gnoffo, Sean Bean"
Wrath of the Titans,Warner Bros. Pictures / Legendary Pictures,"Jonathan Liebesman (director); Dan Mazeau, David Leslie Johnson (screenplay); Sam Worthington, Liam Neeson, Ralph Fiennes, Édgar Ramírez, Rosamund Pike, Danny Huston, Bill Nighy, Toby Kebbell, Lily James"
Goon,Magnet Releasing,"Michael Dowse (director); Jay Baruchel, Evan Goldberg (screenplay); Seann William Scott, Jay Baruchel, Liev Schreiber, Alison Pill, Marc-André Grondin"
Titanic 3D,Paramount Pictures / 20th Century Fox,"James Cameron (director/screenplay); Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Francis Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber, Jonathan Hyde, Eric Braeden, Bernard Fox, Suzy Amis, Danny Nucci, Lewis Abernathy, Nicholas Cascone"
American Reunion,Universal Pictures / Relativity Media,"Jon Hurwitz, Hayden Schlossberg (directors/screenplay); Jason Biggs, Alyson Hannigan, Chris Klein, Thomas Ian Nicholas, Tara Reid, Seann William Scott, Mena Suvari, Eddie Kaye Thomas, Natasha Lyonne, Shannon Elizabeth, Eugene Levy, Jennifer Coolidge, John Cho, Dania Ramirez, Katrina Bowden, Jay Harrington, Ali Cobrin, Chuck Hittinger, Chris Owen, Justin Isfeld, Charlene Amoia, Neil Patrick Harris, Molly Cheek, Rebecca De Mornay"
Comic-Con Episode IV: A Fan's Hope,Wrekin Hill Entertainment,"Morgan Spurlock (director/screenplay); Jeremy Chilnick (screenplay); Skip Harvey, Eric Henson, Chuck Rozanski, James Darling, Se Young Kang"
Damsels in Distress,Sony Pictures Classics,"Whit Stillman (director/screenplay); Greta Gerwig, Adam Brody, Analeigh Tipton, Megalyn Echikunwoke, Carrie MacLemore, Hugo Becker, Billy Magnussen, Ryan Metcalf, Jermaine Crawford, Aubrey Plaza"
Keyhole,Monterey Media,"Guy Maddin (director/screenplay); George Toles (screenplay); Isabella Rossellini, Jason Patric, Kevin McDonald, Udo Kier, Brooke Palsson"
Surviving Progress,First Run Features,"Mathieu Roy, Harold Crooks (director/screenplay)"
We Have a Pope,Sundance Selects,"Nanni Moretti (director/screenplay); Francesco Piccolo, Federica Pontremoli (screenplay); Michel Piccoli, Jerzy Stuhr, Renato Scarpa"
The Cabin in the Woods,Lionsgate / Mutant Enemy Productions,"Drew Goddard (director/screenplay); Joss Whedon (screenplay); Richard Jenkins, Bradley Whitford, Jesse Williams, Chris Hemsworth, Kristen Connolly, Anna Hutchison, Fran Kranz, Brian J. White, Amy Acker, Tim DeZarn, Tom Lenk, Dan Payne, Jodelle Ferland, Dan Shea, Rukiya Bernard, Peter Kelamis, Adrian Holmes, Chelah Horsdal, Terry Chen, Heather Doerksen, Patrick Sabongui, Ellie Harvie, Sigourney Weaver, Terry Notary"
Detention,Detention Films,"Joseph Kahn (director/screenplay); Mark Palermo (screenplay); Josh Hutcherson, Shanley Caswell, Spencer Locke, Dane Cook"
Lockout,FilmDistrict / Open Road Films,"James Mather, Stephen St.Leger (director/screenplay); Guy Pearce, Maggie Grace, Peter Stormare, Lennie James, Vincent Regan, Tim Plester, Anne-Solenne Hatte, Yan Dron, Patrick Cauderlier, Milorad Kapor, Bojan Peric, Mark Tankersley"
The Three Stooges,20th Century Fox,"Bobby Farrelly, Peter Farrelly (directors/screenplay); Mike Cerrone (screenplay); Chris Diamantopoulos, Sean Hayes, Will Sasso, Jane Lynch, Larry David, Stephen Collins, Sofía Vergara, Jennifer Hudson, Craig Bierko, Kirby Heyborne, Emy Coligado, Avalon Robbins, Max Charles, Brian Doyle-Murray, Lin Shaye, Carly Craig, Kate Upton, Marianne Leone, Robert Capron, Skyler Gisondo, Isaiah Mustafa, Nicole ""Snooki"" Polizzi, Mike ""The Situation"" Sorrentino, Jennifer ""JWoww"" Farley, Ronnie Ortiz-Magro, Sammi ""Sweetheart"" Giancola, Dwight Howard, Antonio Sabàto Jr., Lance Chantiles-Wertz"
Monsieur Lazhar,Music Box Films,"Philippe Falardeau (director/screenplay); Mohamed Fellag, Sophie Nélisse, Emilien Neron, Danielle Proulx, Brigitte Poupart"
Chimpanzee,Disneynature,"Alastair Fothergill, Mark Linfield (directors); Tim Allen (narrator)"
The Lucky One,Warner Bros. Pictures / Village Roadshow Pictures,"Scott Hicks (director); Will Fetters (screenplay); Zac Efron, Taylor Schilling, Jay R. Ferguson, Riley Thomas Stewart, Adam LeFevre, Blythe Danner"
Think Like a Man,Screen Gems / Rainforest Films,"Tim Story (director); Keith Merryman, David A. Newman (screenplay); Kevin Hart, Michael Ealy, Taraji P. Henson, Jerry Ferrara, Meagan Good, Regina Hall, Terrence J, Jenifer Lewis, Romany Malco, Gary Owen, Gabrielle Union, Steve Harvey, Wendy Williams, Chris Brown, Keri Hilson, La La Anthony, Morris Chestnut, Arielle Kebbel, Kelly Rowland, Sherri Shepherd, Tika Sumpter, Tony Rock, Luenell, Jessica Camacho, Matt Colton, J. Anthony Brown, Matt Barnes, Shannon Brown, Rasual Butler, Darren Collison, Lisa Leslie, Metta World Peace"
Darling Companion,Sony Pictures Classics,"Lawrence Kasdan (director/screenplay); Meg Kasdan (screenplay); Kevin Kline, Diane Keaton, Richard Jenkins, Elisabeth Moss, Mark Duplass, Dianne Wiest, Sam Shepard"
Fightville,MPI Media Group,"Petra Epperlein, Michael Tucker (directors)"
Jesus Henry Christ,Entertainment One Films,"Dennis Lee (director/screenplay); Toni Collette, Michael Sheen, Jason Spevack, Samantha Weinstein"
Marley,Magnolia Pictures,Kevin Macdonald (director); Bob Marley
Payback,Zeitgeist Films,Jennifer Baichwal (director)
The Five-Year Engagement,Universal Pictures / Relativity Media,"Nicholas Stoller (director/screenplay); Jason Segel (screenplay); Jason Segel, Emily Blunt, Chris Pratt, Alison Brie, Rhys Ifans"
The Pirates! In an Adventure with Scientists!,Columbia Pictures / Sony Pictures Animation / Aardman Animations,"Peter Lord, Jeff Newitt (directors); Gideon Defoe (screenplay); Hugh Grant, Salma Hayek, Jeremy Piven, Imelda Staunton, David Tennant, Martin Freeman, Lenny Henry, Brendan Gleeson"
The Raven,Relativity Media,"James McTeigue (director); Ben Livingston, Hannah Shakespeare (screenplay); John Cusack, Alice Eve, Luke Evans, Brendan Gleeson, Oliver Jackson-Cohen"
Safe,Lionsgate,"Boaz Yakin (director/screenplay); Jason Statham, Catherine Chan, Chris Sarandon, Anson Mount, Robert John Burke"
Headhunters,Magnolia Pictures,"Morten Tyldum (director); Lars Gudmestad, Jo Nesbø, Ulf Ryberg (screenplay); Aksel Hennie, Synnøve Macody Lund, Nikolaj Coster-Waldau"
Sound of My Voice,Fox Searchlight Pictures,"Zal Batmanglij (director/screenplay); Brit Marling, Christopher Denham, Nicole Vicius, Avery Pohl"
The Avengers,Marvel Studios,"Joss Whedon (director/screenplay); Robert Downey Jr., Chris Evans, Chris Hemsworth, Mark Ruffalo, Jeremy Renner, Scarlett Johansson, Tom Hiddleston, Samuel L. Jackson, Stellan Skarsgård, Cobie Smulders, Clark Gregg, Gwyneth Paltrow, Maximiliano Hernández, Paul Bettany, Alexis Denisof, Damion Poitier, Powers Boothe, Jenny Agutter, Stan Lee, Harry Dean Stanton, Jerzy Skolimowski, Warren Kole, Enver Gjokaj"
The Best Exotic Marigold Hotel,Fox Searchlight Pictures / Participant Media / Imagenation Abu Dhabi,"John Madden (director); Ol Parker (screenplay); Judi Dench, Bill Nighy, Dev Patel, Tom Wilkinson, Maggie Smith, Penelope Wilton, Ronald Pickup, Celia Imrie"
First Position,IFC Films,Bess Kargman (director)
Dark Shadows,Warner Bros. Pictures / Village Roadshow Pictures,"Tim Burton (director); Seth Grahame-Smith (screenplay); Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green, Jackie Earle Haley, Bella Heathcote, Chloë Grace Moretz, Jonny Lee Miller, Gulliver McGrath, Christopher Lee, Alice Cooper, William Hope, Ivan Kaye, Raffey Cassidy, Ray Shirley, Susanna Cappellaro, Guy Flanagan, Sophie Kennedy Clark, Hannah Murray, Shane Rimmer, Jonathan Frid, Lara Parker, David Selby, Kathryn Leigh Scott"
Where Do We Go Now?,Sony Pictures Classics,"Nadine Labaki (director/screenplay); Jihad Hojeily, Rodney Al Haddad, Thomas Bidegain (screenplay); Nadine Labaki, Leyla Fouad, Claude Msawbaa, Antoinette El-Noufaily"
The Dictator,Paramount Pictures / Four By Two Films,"Larry Charles (director); Sacha Baron Cohen, Alec Berg, Jeff Schaffer, David Mandel (screenplay); Sacha Baron Cohen, Ben Kingsley, Anna Faris, Megan Fox, John C. Reilly, J.B. Smoove, Jason Mantzoukas, Bobby Lee, Sayed Badreya, Adeel Akhtar, Fred Armisen, Edward Norton, Adam LeFevre, Busty Heart, Chris Elliott, Garry Shandling, Chris Parnell, Aasif Mandvi, Rizwan Manji, Horatio Sanz, Fred Melamed, Joey Slotnick, Jessica St. Clair, Kathryn Hahn, Anna Katarina, Kevin Corrigan, Sondra James, Jon Glaser, Nasim Pedrad"
Rust and Bone,Sony Pictures Classics,"Jacques Audiard (director/screenplay); Thomas Bidegain (screenplay); Marion Cotillard, Matthias Schoenaerts"
