Film,Production,Cast
The Sky Is Everywhere,Apple TV+ / A24,"Josephine Decker (director); Jandy Nelson (screenplay); Grace Kaufman, Pico Alexander, Jacques Colimon, Cherry Jones, Jason Segel"
The In Between,Paramount+ / Paramount Players,"Arie Posin (director); Marc Klein (screenplay); Joey King, Kyle Allen, Kim Dickens, John Ortiz"
Fistful of Vengeance,Netflix / Living Films,"Roel Reiné (director); Cameron Litvack, Jessica Chou, Yalun Tu (screenplay); Iko Uwais, Lewis Tan, Lawrence Kao, JuJu Chan, Pearl Thusi, Jason Tobin"
Uncharted,Columbia Pictures / PlayStation Productions / Atlas Entertainment,"Ruben Fleischer (director); Rafe Judkins, Art Marcum, Matt Holloway (screenplay); Tom Holland, Mark Wahlberg, Sophia Ali, Tati Gabrielle, Antonio Banderas"
Dog,Metro-Goldwyn-Mayer / FilmNation Entertainment,"Reid Carolin, Channing Tatum (directors); Reid Carolin (screenplay); Channing Tatum, Jane Adams, Kevin Nash, Q'orianka Kilcher, Ethan Suplee, Emmy Raver-Lampman, Nicole LaLiberte"
Texas Chainsaw Massacre,Netflix / Legendary Pictures / Bad Hombre,"David Blue Garcia (director); Chris Thomas Devlin (screenplay); Sarah Yarkin, Elsie Fisher, Mark Burham, Moe Dunford, Nell Hudson, Jessica Allian, Olwen Fouéré, Jacob Latimore, Alice Krige"
The Cursed,Elevation Pictures / LD Entertainment,"Sean Ellis (director/screenplay); Boyd Holbrook, Kelly Reilly, Alistair Petrie"
A Fairy Tale After All,Vertical Entertainment,"Erik Peter Carlson (director/screenplay); Emily Shenaut, Brian Hull, Gabriel Burrafato, Bridget Winder, Timothy N. Kopacz, Anna Brisbin"
Cyrano,Metro-Goldwyn-Mayer / Bron Creative / Working Title Films,"Joe Wright (director); Erica Schmidt (screenplay); Peter Dinklage, Haley Bennett, Kelvin Harrison Jr., Ben Mendelsohn"
Studio 666,Open Road Films / Briarcliff Entertainment,"BJ McDonell (director); Jeff Buhler, Rebecca Hughes (screenplay); Dave Grohl, Taylor Hawkins, Nate Mendel, Pat Smear, Chris Shiflett, Rami Jaffe, Whitney Cummings, Leslie Grossman, Will Forte, Jenna Ortega, Jeff Garlin"
A Madea Homecoming,Netflix / Tyler Perry Studios,"Tyler Perry (director/screenplay); Tyler Perry, Cassi Davis, David Mann, Tamela Mann, Gabrielle Dennis, Brendan O'Carroll"
No Exit,Hulu / 20th Century Studios,"Damien Power (director); Andrew Barrer, Gabriel Ferrari (screenplay); Havana Rose Liu, Danny Ramirez, Dennis Haysbert"
Gasoline Alley,Saban Films,"Edward John Drake (director/screenplay); Tom Sierchio (screenplay); Bruce Willis, Luke Wilson, Devon Sawa"
The Batman,Warner Bros. Pictures / DC Films / 6th & Idaho,"Matt Reeves (director/screenplay); Peter Craig (screenplay); Robert Pattinson, Zoë Kravitz, Paul Dano, Jeffrey Wright, John Turturro, Peter Sarsgaard, Barry Keoghan, Andy Serkis, Colin Farrell"
After Yang,A24 / Showtime / Cinereach,"Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr."
Fresh,Hulu / Searchlight Pictures / Legendary Entertainment,"Mimi Cave (director); Lauryn Kahn (screenplay); Daisy Edgar-Jones, Sebastian Stan, Jonica T. Gibbs, Charlotte Le Bon, Andrea Bang, Dayo Okeniyi"
A Day to Die,Vertical Entertainment,"Wes Miller (director/screenplay); Rab Berry, Scott Mallace (screenplay); Kevin Dillon, Bruce Willis, Frank Grillo"
The Adam Project,Netflix / Skydance Media / 21 Laps Entertainment / Maximum Effort,"Shawn Levy (director); Jonathan Tropper, T.S. Nowlin, Jennifer Flackett, Mark Levin (screenplay); Ryan Reynolds, Mark Ruffalo, Jennifer Garner, Walker Scobell, Catherine Keener, Zoe Saldana"
Turning Red,Disney+ / Walt Disney Pictures / Pixar Animation Studios,"Domee Shi (director/screenplay); Julia Cho (screenplay); Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park, Maitreyi Ramakrishnan, Orion Lee, Wai Ching Ho, Tristan Allerick Chen, James Hong"
Tyson's Run,Collide Distribution / Iconic Events Releasing,"Kim Bass (director/screenplay); Rory Cochrane, Amy Smart, Major Dodson, Barkhad Abdi"
Rescued by Ruby,Netflix,"Katt Shea (director); Karen Kanszen (screenplay); Grant Gustin, Scott Wolf, Kaylah Zander"
The Outfit,Focus Features / FilmNation Entertainment,"Graham Moore (director/screenplay); Johnathan McClain (screenplay); Mark Rylance, Zoey Deutch, Johnny Flynn, Dylan O'Brien, Nikki Amuka-Bird, Simon Russell Beale"
Deep Water,Hulu / 20th Century Studios / Regency Enterprises / Entertainment One,"Adrian Lyne (director); Zach Helm, Sam Levinson (screenplay); Ben Affleck, Ana de Armas, Tracy Letts, Lil Rel Howery, Dash Mihok, Finn Wittrock, Kristen Connolly, Jacob Elordi"
Cheaper by the Dozen,Disney+ / Walt Disney Pictures / 20th Century Studios,"Gail Lerner (director); Kenya Barris, Jenifer Rice-Genzuk Henry (screenplay); Gabrielle Union, Zach Braff, Erika Christensen"
Windfall,Netflix,"Charlie McDowell (director); Justin Lader, Andrew Kevin Walker (screenplay); Lily Collins, Jesse Plemons, Jason Segel"
X,A24 / Bron Creative,"Ti West (director/screenplay); Mia Goth, Jenna Ortega, Martin Henderson, Brittany Snow, Owen Campbell, Stephen Ure, Scott Mescudi"
Umma,Stage 6 Films,"Iris K. Shim (director/screenplay); Sandra Oh, Fivel Stewart, MeeWha Alana Lee, Tom Yi, Odeya Rush, Dermot Mulroney"
Alice,Vertical Entertainment / Roadside Attractions,"Krystin Ver Linden (director/screenplay); Keke Palmer, Common, Gaius Charles, Jonny Lee Miller"
Master,Amazon Studios,"Mariama Diallo (director/screenplay); Regina Hall, Zoe Renee, Amber Gray"
Measure of Revenge,Vertical Entertainment,"Peyfa (director); Kenny Walakandou (screenplay); Bella Thorne, Melissa Leo, Roma Maffia, Jake Weary, Adrian Martinez"
The Lost City,Paramount Pictures / Fortis Films,"Aaron Nee, Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt"
Everything Everywhere All at Once,A24 / AGBO / IAC Films,"Daniel Kwan, Daniel Scheinert (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis"
Infinite Storm,Bleecker Street,"Małgorzata Szumowska, Michał Englert (directors); Josh Rollins (screenplay); Naomi Watts, Billy Howle, Sophie Okonedo, Denis O'Hare, Parker Sawyers"
7 Days,Cinedigm / Duplass Brothers Productions,"Roshan Sethi (director/screenplay); Karan Soni (screenplay); Karan Soni, Geraldine Viswanathan, Mark Duplass"
Moonshot,HBO Max / Warner Bros. Pictures / New Line Cinema,"Chris Winterbauer (director); Max Taxe (screenplay); Cole Sprouse, Lana Condor, Mason Gooding, Emily Rudd, Zach Braff"
Morbius,Columbia Pictures / Marvel Entertainment,"Daniel Espinosa (director); Matt Sazama, Burk Sharpless (screenplay); Jared Leto, Matt Smith, Adria Arjona, Jared Harris, Al Madrigal, Tyrese Gibson"
The Bubble,Netflix / Apatow Productions,"Judd Apatow (director/screenplay); Pam Brady (screenplay); Karen Gillan, Iris Apatow, Fred Armisen, Maria Bakalova, David Duchovny, Keegan-Michael Key, Leslie Mann, Kate McKinnon, Pedro Pascal, Peter Serafinowicz"
The Contractor,Paramount Pictures / STXfilms / Thunder Road Films,"Tarik Saleh (director); J. P. Davis (screenplay); Chris Pine, Ben Foster, Gillian Jacobs, Eddie Marsan, J. D. Pardo, Florian Munteanu, Kiefer Sutherland"
Better Nate Than Ever,Disney+ / Walt Disney Pictures,"Tim Federle (director/screenplay); Rueby Wood, Joshua Bassett, Aria Brooks, Lisa Kudrow, Norbert Leo Butz"
Apollo 10 1⁄2: A Space Age Childhood,Netflix / Netflix Animation,"Richard Linklater (director/screenplay); Glen Powell, Zachary Levi, Milo Coy, Jack Black"
Sonic the Hedgehog 2,Paramount Pictures / Sega Sammy Group / Original Film,"Jeff Fowler (director); Patrick Casey, Josh Miller, John Whittington (screenplay); James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Shemar Moore, Colleen O'Shaughnessey, Lee Majdoub, Idris Elba, Jim Carrey"
Ambulance,Universal Pictures / New Republic Pictures / Endeavor Content,"Michael Bay (director); Chris Fedak (screenplay); Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González"
All the Old Knives,Amazon Studios / Entertainment One / Chockstone Pictures,"Janus Metz Pedersen (director); Olen Steinhauer (screenplay); Chris Pine, Thandiwe Newton, Laurence Fishburne, Jonathan Pryce"
Metal Lords,Netflix / Kingsgate Productions,"Peter Sollett (director); D.B. Weiss (screenplay); Jaeden Martell, Isis Hainsworth, Adrian Greensmith, Brett Gelman, Joe Manganiello"
Father Stu,Columbia Pictures / CJ Entertainment,"Rosalind Ross (director/screenplay); Mark Wahlberg, Mel Gibson, Jacki Weaver, Teresa Ruiz"
Fantastic Beasts: The Secrets of Dumbledore,Warner Bros. Pictures / Heyday Films,"David Yates (director); J. K. Rowling, Steve Kloves (screenplay); Eddie Redmayne, Jude Law, Ezra Miller, Dan Fogler, Alison Sudol, Callum Turner, Jessica Williams, Katherine Waterston, Mads Mikkelsen"
Dual,RLJE Films / XYZ Films,"Riley Stearns (director/screenplay); Karen Gillan, Beulah Koale, Theo James, Aaron Paul"
Choose or Die,Netflix,"Toby Meakins (director); Simon Allen (screenplay); Asa Butterfield, Iola Evans, Eddie Marsan, Robert Englund"
Titanic 666,The Asylum / Tubi,"Nick Lyon (director); Jacob Cooney, Jason White (screenplay); Keesha Sharp, Jamie Bamber, Lydia Hearst, AnnaLynne McCord, Joseph Gatt"
The Bad Guys,Universal Pictures / DreamWorks Animation,"Pierre Perifel (director); Etan Cohen (screenplay); Sam Rockwell, Marc Maron, Craig Robinson, Anthony Ramos, Awkwafina, Richard Ayoade, Zazie Beetz, Lilly Singh, Alex Borstein"
The Northman,Focus Features / Regency Enterprises / Perfect World Pictures,"Robert Eggers (director/screenplay); Sjón (screenplay); Alexander Skarsgård, Nicole Kidman, Claes Bang, Anya Taylor-Joy, Ethan Hawke, Björk, Willem Dafoe"
The Unbearable Weight of Massive Talent,Lionsgate / Saturn Films,"Tom Gormican (director/screenplay); Kevin Etten (screenplay); Nicolas Cage, Pedro Pascal, Sharon Horgan, Ike Barinholtz, Alessandra Mastronardi, Jacob Scipio, Neil Patrick Harris, Tiffany Haddish"
Polar Bear,Disney+ / Disneynature,"Alastair Fothergill, Jeff Wilson (directors); Catherine Keener"
The Survivor,HBO Films / Bron Studios / Endeavor Content / HBO Max,"Barry Levinson (director); Justine Juel Gillmer (screenplay); Ben Foster, Vicky Krieps, Billy Magnussen, Peter Sarsgaard, John Leguizamo, Danny DeVito"
Memory,Open Road Films / Briarcliff Entertainment / Black Bear Pictures,"Martin Campbell (director); Dario Scardapane (screenplay); Liam Neeson, Guy Pearce, Monica Bellucci, Harold Torres, Taj Atwal, Ray Fearon"
Crush,Hulu / LD Entertainment / 3 Arts Entertainment,"Sammi Cohen (director); Kirsten King, Casey Rackham (screenplay); Rowan Blanchard, Auliʻi Cravalho, Isabella Ferreira, Tyler Alvarez, Teala Dunn"
Fortress: Sniper's Eye,Lionsgate,"Josh Sternfeld (director); Alan Horsnail (screenplay); Jesse Metcalfe, Bruce Willis, Chad Michael Murray"
Green Ghost and the Masters of the Stone,Gravitas Ventures,"Michael D. Olmos (director/screenplay); Charlie Clark, Brian Douglas (screenplay); Charlie Clark, Kuno Becker, Marko Zaror, Renée Victor, Danny Trejo"
Corrective Measures,Tubi,"Sean O'Reilly (director/screenplay); Bruce Willis, Michael Rooker"
Doctor Strange in the Multiverse of Madness,Marvel Studios,"Sam Raimi (director); Michael Waldron (screenplay); Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez, Michael Stuhlbarg, Rachel McAdams"
Along for the Ride,Netflix,"Sofia Alvarez (director/screenplay); Emma Pasarow, Belmont Cameli, Kate Bosworth, Andie MacDowell, Dermot Mulroney"
Marmaduke,Netflix,"Mark A.Z. Dippé (director); Byron Kavanagh (screenplay); Pete Davidson, J. K. Simmons, David Koechner, Brian Hull"
Escape the Field,Lionsgate,"Emerson Moore (director/screenplay); Joshua Dobkin, Sean Wathen (screenplay); Jordan Claire Robbins, Theo Rossi, Tahirah Sharif, Shane West"
Operation Mincemeat,Netflix / FilmNation Entertainment / See-Saw Films,"John Madden (director); Michelle Ashford (screenplay); Colin Firth, Matthew Macfadyen, Kelly Macdonald, Penelope Wilton, Johnny Flynn, Jason Isaacs"
Senior Year,Netflix / Paramount Pictures / Paramount Players,"Alex Hardcastle (director); Arthur Pielli, Andrew Knauer, Brandon Scott Jones (screenplay); Rebel Wilson, Sam Richardson, Zoë Chao, Mary Holland, Justin Hartley, Chris Parnell, Angourie Rice, Michael Cimino, Jeremy Ray Taylor, Brandon Scott Jones, Alicia Silverstone"
Firestarter,Universal Pictures / Blumhouse Productions / Peacock,"Keith Thomas (director); Scott Teems (screenplay); Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon, Kurtwood Smith, John Beasley, Michael Greyeyes, Gloria Reuben"
Sneakerella,Disney+ / Disney Channel,"Elizabeth Allen Rosenbaum (director); David Light, Joseph Raso, Tamara Chestna, Mindy Stern, George Gore II (screenplay); Chosen Jacobs, Lexi Underwood, John Salley"
On the Count of Three,Orion Pictures / Annapurna Pictures,"Jerrod Carmichael (director); Ari Katcher, Ryan Welch (screenplay); Jerrod Carmichael, Christopher Abbott, Tiffany Haddish, J. B. Smoove, Henry Winkler"
Private Property,Lionsgate,"Chadd Harbold (director/screenplay); Ashley Benson, Shiloh Fernandez, Logan Miller, Frank Whaley, Jay Pharoah"
Family Camp,Roadside Attractions,"Brian Cates (director/screenplay); Rene Gutteridge (screenplay); Tommy Woodward, Eddie James, Leigh-Allyn Baker, Mark Christopher Lawrence"
Montana Story,Bleecker Street,"Scott McGehee, David Siegel (directors/screenplay); Haley Lu Richardson, Owen Teague"
Vendetta,Redbox Entertainment,"Jared Cohn (director/screenplay); Clive Standen, Theo Rossi, Mike Tyson, Thomas Jane, Bruce Willis"
Downton Abbey: A New Era,Focus Features / Perfect World Pictures / Carnival Films,"Simon Curtis (director); Julian Fellowes (screenplay); Hugh Bonneville, Elizabeth McGovern, Maggie Smith, Michelle Dockery, Laura Carmichael, Jim Carter, Phyllis Logan"
Chip 'n Dale: Rescue Rangers,Disney+ / Walt Disney Pictures / Mandeville Films,"Akiva Schaffer (director); Dan Gregor, Doug Mand (screenplay); John Mulaney, Andy Samberg, Will Arnett, Eric Bana, Keegan-Michael Key, Seth Rogen, J. K. Simmons, KiKi Layne"
Good Mourning,Open Road Films,"Colson Baker, Mod Sun (directors/screenplay); Colson Baker, Mod Sun, Becky G, Dove Cameron, Pete Davidson, Whitney Cummings, Megan Fox"
The Valet,Hulu / Pantelion Films,"Richard Wong (director); Rob Greenberg, Bob Fisher (screenplay); Eugenio Derbez, Samara Weaving"
Emergency,Amazon Studios / Temple Hill Entertainment,"Carey Williams (director); KD Dávila (screenplay); RJ Cyler, Sabrina Carpenter"
Top Gun: Maverick,Paramount Pictures / Skydance Media / Don Simpson/Jerry Bruckheimer Films,"Joseph Kosinski (director); Ehren Kruger, Eric Warren Singer, Christopher McQuarrie (screenplay); Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman, Ed Harris, Val Kilmer"
The Bob's Burgers Movie,20th Century Studios / Bento Box Entertainment,"Loren Bouchard, Bernard Derriman (directors); Loren Bouchard, Nora Smith (screenplay); H. Jon Benjamin, Dan Mintz, Eugene Mirman, Larry Murphy, John Roberts, Kristen Schaal, Zach Galifianakis, Kevin Kline"
Zero Contact,Lionsgate,"Rick Dugdale (director); Cam Cannon (screenplay); Anthony Hopkins, Chris Brochu, Aleks Paunovic"
A Chiara,Neon / RAI Cinema,"Jonas Carpignano (director/screenplay); Swamy Rotolo, Claudio Rotolo, Carmela Fumo"
South Park The Streaming Wars,Paramount+ / Comedy Central,"Trey Parker (director/screenplay); Trey Parker, Matt Stone, April Stewart, Kimberly Brooks, Adrien Beard, Vernon Chatman"
Hollywood Stargirl,Disney+ / Walt Disney Pictures,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Elijah Richardson, Grace VanderWaal, Tyrel Jackson Williams, Judy Greer, Judd Hirsch, Uma Thurman"
Crimes of the Future,Neon / Davis Films / Ingenious Media,"David Cronenberg (director/screenplay); Viggo Mortensen, Léa Seydoux, Kristen Stewart, Scott Speedman"
Benediction,Roadside Attractions / BBC Film,"Terence Davies (director/screenplay); Jack Lowden, Peter Capaldi, Simon Russell Beale, Jeremy Irvine, Kate Phillips, Gemma Jones, Ben Daniels"
Interceptor,Netflix,"Matthew Reilly (director/screenplay); Stuart Beattie (screenplay); Elsa Pataky, Luke Bracey"
Fire Island,Hulu / Searchlight Pictures,"Andrew Ahn (director); Joel Kim Booster (screenplay); Joel Kim Booster, Bowen Yang, Conrad Ricamora, James Scully, Margaret Cho"
Watcher,IFC Midnight / Shudder / AGC Studios,"Chloe Okuno (director); Zack Ford (screenplay); Maika Monroe, Karl Glusman, Burn Gorman"
Dashcam,Momentum Pictures / Blumhouse Productions,"Rob Savage (director/screenplay); Gemma Hurley, Jed Shepherd (screenplay); Annie Hardy"
White Elephant,RLJE Films / AMC+,"Jesse V. Johnson (director/screenplay); Erik Martinez (screenplay); Michael Rooker, Bruce Willis, Olga Kurylenko, John Malkovich"
Hustle,Netflix / Madison 23 Productions / Roth/Kirschenbaum Films,"Jeremiah Zagar (director); Taylor Materne, Will Fetters (screenplay); Adam Sandler, Queen Latifah, Ben Foster, Juancho Hernangómez, Robert Duvall, Anthony Edwards"
Jurassic World Dominion,Universal Pictures / Amblin Entertainment / Perfect World Pictures,"Colin Trevorrow (director/screenplay); Emily Carmichael (screenplay); Chris Pratt, Bryce Dallas Howard, Laura Dern, Jeff Goldblum, Sam Neill, DeWanda Wise, Mamoudou Athie, Isabella Sermon, Campbell Scott, BD Wong, Omar Sy"
Jennifer Lopez: Halftime,Netflix,Amanda Micheli (director); Jennifer Lopez
Father of the Bride,HBO Max / Warner Bros. Pictures / Plan B Entertainment,"Gaz Alazraki (director); Matt Lopez (screenplay); Andy García, Gloria Estefan, Adria Arjona, Isabela Merced, Diego Boneta, Chloe Fineman"
Lightyear,Walt Disney Pictures / Pixar Animation Studios,"Angus MacLane (director/screenplay); Jason Headley (screenplay); Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi, Dale Soules, James Brolin, Uzo Aduba, Mary McDonald-Lewis, Isiah Whitlock Jr."
Spiderhead,Netflix / The New Yorker Studios,"Joseph Kosinski (director); Rhett Reese, Paul Wernick (screenplay); Chris Hemsworth, Miles Teller, Jurnee Smollett"
Jerry & Marge Go Large,Paramount+ / Paramount Players / MRC,"David Frankel (director); Brad Copeland (screenplay); Bryan Cranston, Annette Bening, Rainn Wilson, Larry Wilmore, Michael McKean, Anna Camp"
Cha Cha Real Smooth,Apple TV+ / Endeavor Content,"Cooper Raiff (director/screenplay); Cooper Raiff, Dakota Johnson, Raúl Castillo, Odeya Rush, Evan Assante, Vanessa Burghardt, Brad Garrett, Leslie Mann"
Mid-Century,Lionsgate,"Sonja O'Hara (director); Mike Stern (screenplay); Shane West, Sarah Hay, Bruce Dern, Stephen Lang"
Abandoned,Vertical Entertainment,"Spencer Squire (director); Erik Patterson, Jessica Scott (screenplay); Emma Roberts, John Gallagher Jr., Michael Shannon"
Beavis and Butt-Head Do the Universe,"Paramount+ / MTV Entertainment Studios / Titmouse, Inc.","Mike Judge (director/screenplay); Mike Judge, Gary Cole, Chris Diamantopoulos, Nat Faxon, David Herman, Brian Huskey, Chi McBride, Tig Notaro, Stephen Root, Andrea Savage, Martin Starr, Jimmy O. Yang"
Elvis,Warner Bros. Pictures,"Baz Luhrmann (director/screenplay); Sam Bromell, Craig Pearce, Jeremy Doner (screenplay); Austin Butler, Tom Hanks, Olivia DeJonge, Helen Thomson, Richard Roxburgh, Kelvin Harrison Jr., David Wenham, Kodi Smit-McPhee, Luke Bracey"
The Black Phone,Universal Pictures / Blumhouse Productions,"Scott Derrickson (director/screenplay); C. Robert Cargill (screenplay); Ethan Hawke, Mason Thames, Madeleine McGraw, Jeremy Davies, James Ransone"
The Man from Toronto,Netflix / Sony Pictures / Bron Creative / Escape Artists,"Patrick Hughes (director); Robbie Fox, Chris Bremmer (screenplay); Kevin Hart, Woody Harrelson, Kaley Cuoco, Jasmine Mathews, Lela Loren, Pierson Fodé, Jencarlos Canela, Ellen Barkin, Martin Roach"
The Sea Beast,Netflix / Netflix Animation,"Chris Williams (director/screenplay); Nell Benjamin (screenplay); Karl Urban, Zaris-Angel Hator, Jared Harris, Marianne Jean-Baptiste, Jim Carter, Doon Mackichan, Dan Stevens, Kathy Burke"
Marcel the Shell with Shoes On,A24 / Cinereach,"Dean Fleischer-Camp (director/screenplay); Jenny Slate, Nick Paley (screenplay); Jenny Slate, Rosa Salazar, Thomas Mann, Dean Fleischer-Camp, Lesley Stahl, Isabella Rossellini"
Rise,Disney+ / Walt Disney Pictures,"Akin Omotoso (director); Arash Amel (screenplay); Uche Agada, Ral Agada, Jaden Osimuwa, Elijah Shomanke, Yetide Badaki, Dayo Okeniyi"
Press Play,The Avenue / CJ Entertainment,"Greg Björkman (director/screenplay); James Bachelor (screenplay); Clara Rugaard, Lewis Pullman, Lyrica Okano, Christina Chang, Matt Walsh, Danny Glover"
Beauty,Netflix,"Andrew Dosunmu (director); Lena Waithe (screenplay); Gracie Marie Bradley, Niecy Nash, Aleyse Shannon, Giancarlo Esposito, Micheal Ward, Sharon Stone"
