Film,Production,Cast
Get Out,Universal Pictures,"Jordan Peele (director/screenplay); Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Stephen Root, Lakeith Stanfield"
Rock Dog,Summit Entertainment / Huayi Brothers,"Ash Brannon (director/screenplay); Kurt Voelker (screenplay); Luke Wilson, Eddie Izzard, J. K. Simmons, Lewis Black, Kenan Thompson, Mae Whitman, Jorge Garcia, Matt Dillon, Sam Elliott"
Collide,Open Road Films,"Eran Creevy (director/screenplay); F. Scott Frazier (screenplay); Nicholas Hoult, Felicity Jones, Marwan Kenzari, Anthony Hopkins, Ben Kingsley"
The Girl with All the Gifts,Saban Films / Lionsgate,"Colm McCarthy (director), M. R. Carey (screenplay); Gemma Arterton, Glenn Close, Paddy Considine, Sennia Nanua"
I Don't Feel at Home in This World Anymore,Netflix / XYZ Films,"Macon Blair (director/screenplay); Melanie Lynskey, Elijah Wood, David Yow, Jane Levy, Devon Graye"
Contemporary Color,Oscilloscope Laboratories,"Turner Ross, Bill Ross IV (directors)"
Logan,20th Century Fox / TSG Entertainment / Marvel Entertainment,"James Mangold (director/screenplay); Scott Frank, Michael Green (screenplay); Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant, Richard E. Grant, Eriq La Salle, Elise Neal, Elizabeth Rodriguez, Dafne Keen"
The Shack,Summit Entertainment,"Stuart Hazeldine (director); John Fusco, Andrew Lanham, Destin Cretton (screenplay); Sam Worthington, Avraham Aviv Alush, Radha Mitchell, Alice Braga, Octavia Spencer, Tim McGraw, Graham Greene, Sumire Matsubara"
Before I Fall,Open Road Films,"Ry Russo-Young (director); Maria Maggenti, Gina Prince-Bythewood (screenplay); Zoey Deutch, Halston Sage, Logan Miller, Kian Lawley, Elena Kampouris, Cynthy Wu, Medalion Rahimi, Diego Boneta, Jennifer Beals"
Table 19,Fox Searchlight Pictures,"Jeffrey Blitz (director); Jay Duplass, Mark Duplass (screenplay); Anna Kendrick, Amanda Crew, Stephen Merchant, Lisa Kudrow, Wyatt Russell, Craig Robinson, Tony Revolori, June Squibb"
The Last Word,Bleecker Street,"Mark Pellington (director); Stuart Ross Fink (screenplay); Shirley MacLaine, Amanda Seyfried"
Catfight,Dark Sky Films,"Onur Tukel (director/screenplay); Alicia Silverstone, Anne Heche, Sandra Oh, Dylan Baker, Amy Hall, Craig Bierko"
Donald Cried,The Orchard,"Kristopher Avedisian (director/screenplay); Kristopher Avedisian, Jesse Wakeman, Louisa Krause, Ted Arcidi"
Kong: Skull Island,Warner Bros. Pictures / Legendary Pictures / Tencent Pictures,"Jordan Vogt-Roberts (director); Max Borenstein, Dan Gilroy, Derek Connolly (screenplay); Tom Hiddleston, Brie Larson, Samuel L. Jackson, John Goodman, John C. Reilly, Toby Kebbell, Jing Tian, Jason Mitchell, Corey Hawkins, Thomas Mann, John Ortiz, Shea Whigham, Terry Notary"
Burning Sands,Netflix,"Gerard McMurray (director/screenplay); Christine Berg (screenplay); Trevor Jackson, Alfre Woodard, Steve Harris, Trevante Rhodes, Serayah"
Beauty and the Beast,Walt Disney Pictures / Mandeville Films,"Bill Condon (director/screenplay); Evan Spiliotopoulos, Stephen Chbosky (screenplay); Emma Watson, Dan Stevens, Luke Evans, Ewan McGregor, Ian McKellen, Emma Thompson, Kevin Kline, Josh Gad, Gugu Mbatha-Raw, Audra McDonald, Stanley Tucci"
The Belko Experiment,Orion Pictures / Metro-Goldwyn-Mayer,"Greg McLean (director); James Gunn (screenplay); John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley, Melonie Diaz, Josh Brener, Michael Rooker"
Song to Song,Broad Green Pictures,"Terrence Malick (director/screenplay); Ryan Gosling, Michael Fassbender, Rooney Mara, Natalie Portman"
Atomica,Syfy Films,"Dagen Merrill (director); Kevin Burke, Fred Fernandez-Armesto, Adam Gyngell (screenplay); Dominic Monaghan, Tom Sizemore, Sarah Habel"
All Nighter,Good Deed Entertainment,"Gavin Wiesen (director); Seth W. Owen (screenplay); J. K. Simmons, Emile Hirsch, Analeigh Lipton, Taran Killam, Kristen Schaal"
The Devil's Candy,IFC Midnight,"Sean Byrne (director/screenplay); Ethan Embry, Shiri Appleby, Kiara Glasco, Pruitt Taylor Vince, Craig Nigh, Marco Perella"
Power Rangers,Lionsgate / SCG Films / Temple Hill Entertainment,"Dean Israelite (director); John Gatins (screenplay); Dacre Montgomery, Naomi Scott, RJ Cyler, Becky G, Ludi Lin, Bill Hader, Bryan Cranston, Elizabeth Banks"
Life,Columbia Pictures / Skydance Media,"Daniel Espinosa (director); Paul Wernick, Rhett Reese (screenplay); Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds"
CHiPs,Warner Bros. Pictures / RatPac Entertainment,"Dax Shepard (director/screenplay); Dax Shepard, Michael Peña, Vincent D'Onofrio, Adam Brody, Rosa Salazar"
Wilson,Fox Searchlight Pictures,"Craig Johnson (director); Daniel Clowes (screenplay); Woody Harrelson, Laura Dern, Isabella Amara, Judy Greer, Cheryl Hines"
Victor,Ocean Avenue Entertainment,"Brandon Dickerson (director/screenplay); Thomas Ward (screenplay); Patrick Davis, Nick Eversman, Cortney Palm, Rick Gonzalez, Matt Marquez, Lisa Vidal, Josh Pence"
Car Dogs,,"Adam Collis (director); Mark Edward King (screenplay); Patrick J. Adams, George Lopez, Nia Vardalos, Octavia Spencer, Josh Hopkins, Dash Mihok, Chris Mulkey, Alessandra Torresani, Cory Hardrict, Stefanie Butler"
Walk of Fame,Level 33 Entertainment,"Jesse Thomas (director/screenplay); Scott Eastwood, Malcolm McDowell, Chris Kattan, Laura Ashley Samuels, Jamie Kennedy, Cory Hardrict"
The Marine 5: Battleground,WWE Studios / 20th Century Fox / Sony Pictures Home Entertainment,"James Nunn (director); Ed McHenry, Rory McHenry (screenplay); Mike ""The Miz"" Mizanin, Maryse Ouellet Mizanin, Curtis Axel, Heath Slater, Bo Dallas, Naomi"
Ghost in the Shell,Paramount Pictures / DreamWorks Pictures / Reliance Entertainment / Amblin Partners,"Rupert Sanders (director); Jamie Moss, William Wheeler, Ehren Kruger (screenplay); Scarlett Johansson, Michael Pitt, Pilou Asbæk, Chin Han, Juliette Binoche"
The Boss Baby,20th Century Fox / DreamWorks Animation,"Tom McGrath (director); Michael McCullers (screenplay); Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow, Tobey Maguire, Miles Bakshi"
The Zookeeper's Wife,Focus Features,"Niki Caro (director); Angela Workman (screenplay); Jessica Chastain, Daniel Brühl, Johan Heldenbergh, Michael McElhatton"
The Blackcoat's Daughter,A24,"Oz Perkins (director/screenplay); Emma Roberts, Kiernan Shipka, Lucy Boynton, Lauren Holly, James Remar"
The Discovery,Netflix,"Charlie McDowell (director/screenplay); Justin Lader (screenplay); Jason Segel, Rooney Mara, Robert Redford, Jesse Plemons, Riley Keough"
Carrie Pilby,The Orchard,"Susan Johnson (director); Bel Powley, Vanessa Bayer, Colin O'Donoghue, William Moseley, Jason Ritter, Gabriel Byrne, Nathan Lane"
The Case for Christ,Pure Flix Entertainment,"Jon Gunn (director); Brian Bird (screenplay); Mike Vogel, Erika Christensen, Frankie Faison, Robert Forster, Faye Dunaway"
Smurfs: The Lost Village,Columbia Pictures / Sony Pictures Animation / The Kerner Entertainment Company,"Kelly Asbury (director); Stacey Harmon, Pamela Ribon (screenplay); Demi Lovato, Mandy Patinkin, Jack McBrayer, Danny Pudi, Joe Manganiello, Rainn Wilson, Ariel Winter, Julia Roberts, Michelle Rodriguez, Ellie Kemper, Meghan Trainor, Jake Johnson"
Going in Style,Warner Bros. Pictures / New Line Cinema / Village Roadshow Pictures / RatPac Entertainment,"Zach Braff (director); Theodore Melfi (screenplay); Morgan Freeman, Michael Caine, Alan Arkin, Joey King, Matt Dillon, Ann-Margret, Christopher Lloyd"
Colossal,Neon,"Nacho Vigalondo (director/screenplay); Anne Hathaway, Jason Sudeikis, Dan Stevens, Austin Stowell, Tim Blake Nelson"
Gifted,Fox Searchlight Pictures / TSG Entertainment,"Marc Webb (director); Tom Flynn (screenplay); Chris Evans, Mckenna Grace, Jenny Slate, Lindsay Duncan, Octavia Spencer"
Aftermath,Lionsgate Premiere,"Elliott Lester (director); Javier Gullón (screenplay); Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Martin Donovan"
The Fate of the Furious,Universal Pictures / Original Film / One Race Films,"F. Gary Gray (director); Chris Morgan (screenplay); Vin Diesel, Dwayne Johnson, Michelle Rodriguez, Kurt Russell, Charlize Theron, Jason Statham, Helen Mirren, Tyrese Gibson, Chris Bridges, Elsa Pataky, Nathalie Emmanuel, Scott Eastwood"
Spark,Open Road Films / ToonBox Entertainment,"Aaron Woodley (director); Doug Hadders, Adam Rotstein, Aaron Woodley (screenplay); Jace Norman, Jessica Biel, Susan Sarandon, Patrick Stewart, Hilary Swank"
The Lost City of Z,Plan B Entertainment,"James Gray (director/screenplay); Charlie Hunnam, Robert Pattinson, Tom Holland, Sienna Miller, Angus Macfadyen, Ian McDiarmid, Franco Nero"
My Entire High School Sinking Into the Sea,GKIDS,"Dash Shaw (director/screenplay); Jason Schwartzman, Reggie Watts, Lena Dunham, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, John Cameron Mitchell"
The Outcasts,Swen Group,"Peter Hutchings (director); Dominique Ferrari, Suzanne Wrubel (screenplay); Victoria Justice, Eden Sher, Ashley Rickards, Claudia Lee, Katie Chang, Peyton List, Jazmyn C. Richardson, Avan Jogia"
Born in China,Disneynature,"Lu Chuan (director); David Fowler, Brian Leith, Phil Chapman, Lu Chuan (screenplay); John Krasinski (narrator)"
Unforgettable,Warner Bros. Pictures / RatPac Entertainment,"Denise Di Novi (director); David Leslie Johnson, Christina Hodson (screenplay); Katherine Heigl, Rosario Dawson, Geoff Stults"
The Promise,Open Road Films,"Terry George (director/screenplay); Robin Swicord (screenplay); Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho, Shohreh Aghdashloo, Marwan Kenzari, Angela Sarafyan, James Cromwell"
The Circle,STX Entertainment / EuropaCorp / Image Nation,"James Ponsoldt (director/screenplay); Dave Eggers (screenplay) Tom Hanks, Emma Watson, John Boyega, Karen Gillan, Ellar Coltrane, Patton Oswalt, Glenne Headly, Bill Paxton"
How to Be a Latin Lover,Pantelion Films,"Ken Marino (director); Chris Spain, Jon Zack (screenplay); Eugenio Derbez, Salma Hayek, Raphael Alejandro, Rob Lowe, Kristen Bell, Raquel Welch, Rob Riggle, Renée Taylor, Rob Huebel, Michaela Watkins, Linda Lavin"
Sleight,BH Tilt / WWE Studios,"J. D. Dillard (director/screenplay); Alex Theurer (screenplay); Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid, Sasheer Zamata, Cameron Esposito"
Becoming Bond,Hulu / Delirio Films,"Josh Greenbaum (director/screenplay); George Lazenby, Josh Lawson, Kassandra Clementi, Jane Seymour, Jeff Garlin, Jake Johnson, Dana Carvey"
Guardians of the Galaxy Vol. 2,Marvel Studios,"James Gunn (director/screenplay); Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Michael Rooker, Karen Gillan, Sean Gunn, Pom Klementieff, Elizabeth Debicki, Chris Sullivan, Sylvester Stallone, Kurt Russell"
The Lovers,A24,"Azazel Jacobs (director/screenplay); Debra Winger, Tracy Letts, Aidan Gillen, Melora Walters, Tyler Ross, Jessica Sula"
3 Generations,The Weinstein Company,"Gaby Dellal (director/screenplay); Naomi Watts, Elle Fanning, Susan Sarandon, Tate Donovan, Linda Emond, Sam Trammell"
King Arthur: Legend of the Sword,Warner Bros. Pictures / Village Roadshow Pictures / RatPac Entertainment / Weed Road Pictures,"Guy Ritchie (director/screenplay); Joby Harold, Lionel Wigram (screenplay); Charlie Hunnam, Jude Law, Àstrid Bergès-Frisbey, Djimon Hounsou, Aidan Gillen, Eric Bana"
Snatched,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Jonathan Levine (director); Katie Dippold (screenplay); Amy Schumer, Goldie Hawn, Christopher Meloni, Ike Barinholtz, Joan Cusack, Wanda Sykes"
Lowriders,BH Tilt / Imagine Entertainment,"Ricardo de Montreuil (director); Justin Tipping (screenplay); Demián Bichir, Gabriel Chavarria, Theo Rossi, Melissa Benoist, Tony Revolori, Eva Longoria"
The Wall,Roadside Attractions,"Doug Liman (director); Dwain Worrell (screenplay); Aaron Taylor-Johnson, John Cena"
Paris Can Wait,Sony Pictures Classics,"Eleanor Coppola (director/screenplay); Diane Lane, Alec Baldwin, Arnaud Viard"
Alien: Covenant,20th Century Fox / TSG Entertainment / Scott Free Productions,"Ridley Scott (director); John Logan, Dante Harper (screenplay); Michael Fassbender, Katherine Waterston, Demián Bichir, Billy Crudup, Danny McBride"
Diary of a Wimpy Kid: The Long Haul,20th Century Fox / TSG Entertainment / Color Force,"David Bowers (director/screenplay); Jeff Kinney (screenplay); Jason Ian Drucker, Owen Asztalos, Charlie Wright, Alicia Silverstone, Tom Everett Scott"
"Everything, Everything",Warner Bros. Pictures / Metro-Goldwyn-Mayer,"Stella Meghie (director); J. Mills Goodloe (screenplay); Amandla Stenberg, Nick Robinson, Anika Noni Rose, Ana de la Reguera"
Wakefield,IFC Films,"Robin Swicord (director/screenplay); Bryan Cranston, Jennifer Garner, Beverly D'Angelo, Jason O'Mara, Pippa Bennett-Warner"
Baywatch,Paramount Pictures / Uncharted / The Montecito Picture Company,"Seth Gordon (director) Mark Swift, Damian Shannon (screenplay); Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario, David Hasselhoff"
Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Pictures / Jerry Bruckheimer Films,"Joachim Rønning, Espen Sandberg (directors); Jeff Nathanson (screenplay); Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario, Kevin McNally"
Buena Vista Social Club: Adios,Broad Green Pictures,Lucy Walker (director)
War Machine,Netflix / Plan B Entertainment,"David Michôd (director/screenplay); Michael Hastings (book); Brad Pitt, Anthony Michael Hall, Topher Grace, Anthony Hayes, Will Poulter, Ben Kingsley, Tilda Swinton"
Wonder Woman,Warner Bros. Pictures / RatPac Entertainment / DC Entertainment / Atlas Entertainment / Cruel and Unusual Films,"Patty Jenkins (director); Allan Heinberg (screenplay); Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis, Elena Anaya"
Captain Underpants: The First Epic Movie,20th Century Fox / DreamWorks Animation,"David Soren (director); Nicholas Stoller (screenplay); Kevin Hart, Ed Helms, Thomas Middleditch, Nick Kroll, Jordan Peele, Kristen Schaal"
Dean,Lionsgate / CBS Films,"Demetri Martin (director/screenplay); Demetri Martin, Kevin Kline, Gillian Jacobs, Mary Steenburgen, Reid Scott, Rory Scovel, Christine Woods, Ginger Gonzaga, Peter Scolari, Briga Heelan"
The Mummy,Universal Pictures / K/O Paper Products,"Alex Kurtzman (director); David Koepp, Christopher McQuarrie, Dylan Kussman (screenplay); Tom Cruise, Russell Crowe, Sofia Boutella, Annabelle Wallis, Jake Johnson, Marwan Kenzari, Courtney B. Vance"
It Comes at Night,A24,"Trey Edward Shults (director/screenplay); Joel Edgerton, Riley Keough, Christopher Abbott, Kelvin Harrison Jr., Carmen Ejogo"
My Cousin Rachel,Fox Searchlight Pictures,"Roger Michell (director/screenplay); Rachel Weisz, Sam Claflin, Iain Glen, Holliday Grainger, Pierfrancesco Favino"
Megan Leavey,Bleecker Street,"Gabriela Cowperthwaite (director); Pamela Gray, Annie Mumolo, Tim Lovestedt (screenplay); Kate Mara, Edie Falco, Common, Ramón Rodríguez, Tom Felton, Bradley Whitford, Will Patton, Sam Keeley"
Beatriz at Dinner,Roadside Attractions,"Miguel Arteta (director); Mike White (screenplay); Salma Hayek, Chloë Sevigny, Connie Britton, John Lithgow, Jay Duplass, David Warshofsky, Amy Landecker, John Early"
Cars 3,Walt Disney Pictures / Pixar Animation Studios,"Brian Fee (director); Kiel Murray, Bob Peterson, Mike Rich (screenplay); Owen Wilson, Cristela Alonzo, Chris Cooper, Armie Hammer, Larry the Cable Guy, Bonnie Hunt, Nathan Fillion, Lea DeLaria, Kerry Washington"
Rough Night,Columbia Pictures,"Lucia Aniello (director/screenplay); Paul W. Downs (screenplay); Scarlett Johansson, Zoë Kravitz, Kate McKinnon, Jillian Bell, Ilana Glazer"
All Eyez on Me,Summit Entertainment / Morgan Creek Productions / Codeblack Films,"Benny Boom (director); Eddie Gonzalez, Jeremy Haft, Steven Bagatourian (screenplay); Demetrius Shipp Jr., Kat Graham, Lauren Cohan, Hill Harper, Danai Gurira"
47 Meters Down,Entertainment Studios,"Johannes Roberts (director); Johannes Roberts, Ernest Riera (screenplay); Mandy Moore, Claire Holt, Matthew Modine, Chris J. Johnson, Yani Gellman, Santiago Segura"
The Book of Henry,Focus Features,"Colin Trevorrow (director); Gregg Hurwitz (screenplay); Naomi Watts, Jacob Tremblay, Jaeden Lieberher, Dean Norris, Maddie Ziegler, Sarah Silverman, Lee Pace, Tonya Pinkins"
Once Upon a Time in Venice,RLJ Entertainment,"Mark Cullen (director/screenplay); Robb Cullen (screenplay); Bruce Willis, Jason Momoa, John Goodman, Thomas Middleditch, Famke Janssen, Adam Goldberg, Jessica Gomes"
Transformers: The Last Knight,Paramount Pictures,"Michael Bay (director); Ken Nolan, Art Marcum, Matt Holloway (screenplay); Mark Wahlberg, Josh Duhamel, Anthony Hopkins, Laura Haddock, Isabela Moner, John Turturro, Jerrod Carmichael, Stanley Tucci, Peter Cullen, John Goodman, John DiMaggio"
The Beguiled,Focus Features,"Sofia Coppola (director/screenplay); Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning, Angourie Rice, Oona Laurence"
The Big Sick,Lionsgate / Amazon Studios,"Michael Showalter (director); Kumail Nanjiani, Emily V. Gordon (screenplay); Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano"
The Bad Batch,Neon,"Ana Lily Amirpour (director/screenplay); Suki Waterhouse, Jason Momoa, Giovanni Ribisi, Yolonda Ross, Diego Luna, Keanu Reeves, Jim Carrey"
Baby Driver,TriStar Pictures / Media Rights Capital / Working Title Films,"Edgar Wright (director/screenplay); Ansel Elgort, Lily James, Jamie Foxx, Jon Hamm, Kevin Spacey, Jon Bernthal, Eiza González"
Okja,Netflix / Plan B Entertainment,"Bong Joon-ho (director/screenplay); Jon Ronson (screenplay); Tilda Swinton, Paul Dano, Ahn Seo-hyun, Byun Hee-bong, Steven Yeun, Lily Collins, Yoon Je-moon, Shirley Henderson, Daniel Henshall, Devon Bostick, Choi Woo-shik, Giancarlo Esposito, Jake Gyllenhaal"
Despicable Me 3,Universal Pictures / Illumination,"Pierre Coffin, Kyle Balda (directors), Eric Guillon (co-director); Cinco Paul, Ken Daurio (screenplay); Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Dana Gaier, Nev Scharrel, Steve Coogan, Jenny Slate, Julie Andrews"
The House,Warner Bros. Pictures / New Line Cinema / Village Roadshow Pictures / Gary Sanchez Productions / Good Universe,"Andrew J. Cohen (director/screenplay); Brendan O'Brien (screenplay); Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas, Nick Kroll, Allison Tolman, Cedric Yarbrough, Jeremy Renner"
The Little Hours,Gunpowder & Sky,"Jeff Baena (director/screenplay); Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza, John C. Reilly, Molly Shannon"
Inconceivable,Lionsgate Premiere,"Jonathan Baker (director); Chloe King (screenplay); Nicolas Cage, Faye Dunaway, Gina Gershon, Nicky Whelan"
2:22,Magnet Releasing,"Paul Currie (director); Nathan Parker, Todd Stein (screenplay); Michiel Huisman, Teresa Palmer, Sam Reid, Simone Kessell, Maeve Dermody, Kerry Armstrong, John Waters"
A Ghost Story,A24,"David Lowery (director/screenplay); Casey Affleck, Rooney Mara"
Spider-Man: Homecoming,Columbia Pictures / Marvel Studios,"Jon Watts (director/screenplay); John Francis Daley, Jonathan M. Goldstein, Christopher Ford, Chris McKenna, Erik Sommers (screenplay); Tom Holland, Michael Keaton, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Tony Revolori, Bokeem Woodbine, Tyne Daly, Marisa Tomei, Robert Downey Jr."
War for the Planet of the Apes,20th Century Fox / Chernin Entertainment / TSG Entertainment,"Matt Reeves (director/screenplay); Mark Bomback (screenplay); Andy Serkis, Gabriel Chavarria, Woody Harrelson, Judy Greer, Steve Zahn, Amiah Miller"
