Film,Production,Cast
Pirates of the Caribbean: On Stranger Tides,Walt Disney Pictures / Jerry Bruckheimer Films,"Rob Marshall (director); Ted Elliott, Terry Rossio (screenplay); Johnny Depp, Geoffrey Rush, Ian McShane, Penélope Cruz, Kevin R. McNally, Sam Claflin, Àstrid Bergès-Frisbey, Stephen Graham, Richard Griffiths, Greg Ellis, Damian O'Hare, Óscar Jaenada, Keith Richards, Anton Lesser, Roger Allam, Judi Dench, Christopher Fairbank, Paul Bazely, Bronson Webb, Yuki Matsuzaki, Robbie Kay, Steve Evets, Ian Mercer, Deobia Oparei, Gemma Ward, Sebastian Armesto, Juan Carlos Vellido, Gerard Monaco, Luke Roberts, Daniel Ings, Emilia Jones, Patrick Kennedy, Clifford Rose, Derek Mears"
Too Big to Fail,HBO Films / Spring Creek Productions / Deuce Three Productions,"Curtis Hanson (director); Peter Gould (screenplay); William Hurt, Edward Asner, Billy Crudup, Paul Giamatti, Topher Grace, Cynthia Nixon, Bill Pullman, Tony Shalhoub, James Woods, Matthew Modine, Michael O'Keefe, Ayad Akhtar, Kathy Baker, Amy Carlson, Evan Handler, John Heard, Dan Hedaya, Peter Hermann, Chance Kelly, Tom Mason, Ajay Mehta, Tom Tammi, Laila Robins, Victor Slezak, Joey Slotnick, Casey Biggs, Steve Tom, Bud Jones, Jonathan Freeman"
Kung Fu Panda 2,Paramount Pictures / DreamWorks Animation,"Jennifer Yuh Nelson (director); Jonathan Aibel, Glenn Berger (screenplay); Jack Black, Angelina Jolie, Gary Oldman, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Michelle Yeoh, Danny McBride, Dennis Haysbert, Jean-Claude Van Damme, Victor Garber, Paul Mazursky, Romy Rosemont, Maury Sterling, Fred Tatasciore, Lauren Tom, Conrad Vernon, Liam Knight"
The Hangover Part II,Warner Bros. Pictures / Legendary Pictures / Green Hat Films,"Todd Phillips (director/screenplay); Scot Armstrong, Craig Mazin (screenplay); Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Jeffrey Tambor, Ken Jeong, Mike Tyson, Bryan Callen, Paul Giamatti, Jamie Chung, Nick Cassavetes, Sasha Barrese, Gillian Vigman, Mason Lee, Sondra Currie, Brody Stevens, Michael Berry Jr., Andrew Howard, Yasmin Lee, Nirut Sirijanya, Penpak Sirikul, Crystal the Monkey, Todd Phillips"
The Tree of Life,Fox Searchlight Pictures / Plan B Entertainment,"Terrence Malick (director/screenplay); Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken, Laramie Eppler, Tye Sheridan"
Beautiful Boy,Anchor Bay Entertainment,"Shawn Ku (director/screenplay); Michael Armbruster (screenplay); Maria Bello, Michael Sheen, Alan Tudyk, Moon Bloodgood, Kyle Gallner, Meat Loaf, Bruce French, Austin Nichols, David Lipper, Brooke Lyons, Jessie Usher, Myra Turley"
Beginners,Focus Features / Olympus Pictures,"Mike Mills (director/screenplay); Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Višnjić, Mary Page Keller, China Shavers, Lou Taylor Pucci"
Submarine,The Weinstein Company / Warp Films / Film4 Productions / UK Film Council / Red Hour Films,"Richard Ayoade (director/screenplay); Craig Roberts, Yasmin Paige, Noah Taylor, Paddy Considine, Sally Hawkins, Gemma Chan, Melanie Walters, Steffan Rhodri, Ben Stiller"
X-Men: First Class,20th Century Fox / Bad Hat Harry Productions / Marvel Entertainment / Dune Entertainment,"Matthew Vaughn (director/screenplay); Ashley Edward Miller, Zack Stentz, Jane Goldman (screenplay); James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult, Oliver Platt, Jason Flemyng, Lucas Till, Edi Gathegi, Kevin Bacon, Caleb Landry Jones, Zoë Kravitz, Matt Craven, Álex González, Rade Šerbedžija, Glenn Morshower, Corey Johnson, Demetri Goritsas, Don Creech, James Remar, Ludger Pistor, Ray Wise, Olek Krupa, Gene Farber, James Faulkner, Annabelle Wallis, Sasha Pieterse, Brendan Fehr, Michael Ironside, Jason Beghe, Tony Curran, Randall Batinkoff, Laurence Belcher, Bill Milner, Morgan Lily, Hugh Jackman, Jim Meskimen, Rebecca Romijn"
The Lion of Judah,Animated Family Films,"Deryck Broom, Roger Hawkins (directors); Brent Dawes (screenplay); Michael Madsen, Ernest Borgnine, Scott Eastwood, Vic Mignogna"
Judy Moody and the Not Bummer Summer,Relativity Media / Smokewood Entertainment,"John Schultz (director); Kathy Waugh, Megan McDonald (screenplay); Jordana Beatty, Heather Graham, Parris Mosteller, Janet Varney, Kristoffer Winters, Jaleel White, Preston Bailey, Taylar Hender, Bobbi Sue Luther, Hunter King, Ashley Boettcher, Robert Costanzo, Cameron Boyce, Dean Cameron, Brian Palermo, Richard Riehle"
Super 8,Paramount Pictures / Amblin Entertainment / Bad Robot Productions,"J. J. Abrams (director/screenplay); Joel Courtney, Elle Fanning, Kyle Chandler, Riley Griffiths, Ryan Lee, Ron Eldard, Gabriel Basso, Zach Mills, AJ Michalka, Joel McKinnon Miller, Jessica Tuck, Brett Rice, Noah Emmerich, Richard T. Jones, Bruce Greenwood, David Gallagher, Glynn Turman, Dan Castellaneta, Caitriona Balfe, Patrick St. Esprit, Katie Lowes, Michael Giacchino, Michael Hitchcock, Jay Scully, Beau Knapp, Dale Dickey"
The Trip,IFC Films / BBC / Baby Cow Productions / Revolution Films,"Michael Winterbottom (director); Steve Coogan, Rob Brydon, Dolya Gavanski, Claire Keelan, Justin Edwards, Margo Stilley, Kerry Shale, Rebecca Johnson, Elodie Harrod, Anna Stockton, Marta Barrio"
The Art of Getting By,Fox Searchlight Pictures / Gigi Films / Goldcrest Films,"Gavin Wiesen (director/screenplay); Freddie Highmore, Emma Roberts, Michael Angarano, Elizabeth Reaser, Sam Robards, Rita Wilson, Blair Underwood, Alicia Silverstone, Marcus Carl Franklin, Sasha Spielberg, Jarlath Conroy, Ann Dowd"
Buck,IFC Films,Cindy Meehl (director); Buck Brannaman
Green Lantern,Warner Bros. Pictures / DC Comics,"Martin Campbell (director); Greg Berlanti, Michael Green, Marc Guggenheim, Michael Goldenberg (screenplay); Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Geoffrey Rush, Angela Bassett, Temuera Morrison, Michael Clarke Duncan, Taika Waititi, Clancy Brown, Jon Tenney, Jay O. Sanders, Mike Doyle, Nick Jandl"
Mr. Popper's Penguins,20th Century Fox / Dune Entertainment / Davis Entertainment,"Mark Waters (director); Sean Anders, John Morris, Jared Stern (screenplay); Jim Carrey, Carla Gugino, Angela Lansbury, Madeline Carroll, Clark Gregg, Maxwell Perry Cotton, Desmin Borges, Philip Baker Hall, Dominic Chianese, Ophelia Lovibond, Jeffrey Tambor, David Krumholtz, James Tupper, Brian T. Delaney, Betsy Aidem, Frank Welker"
A Better Life,Summit Entertainment,"Chris Weitz (director); Eric Eason (screenplay); Demián Bichir, José Julián, Dolores Heredia, Carlos Linares, Eddie ""Piolín"" Sotelo, Joaquín Cosío, Nancy Lenehan, Gabriel Chavarria"
Bad Teacher,Columbia Pictures / Mosaic Media Group,"Jake Kasdan (director); Lee Eisenberg, Gene Stupnitsky (screenplay); Cameron Diaz, Justin Timberlake, Jason Segel, Lucy Punch, Phyllis Smith, John Michael Higgins, Dave Allen, Jillian Armenante, Kaitlyn Dever, Kathryn Newton, Molly Shannon, Eric Stonestreet, Thomas Lennon, Noah Munck, Finneas O'Connell, Jeff Judah, Nat Faxon, Stephanie Faracy, David Paymer, Alanna Ubach, Christine Smith, Paul Feig, Deirdre Lovejoy, Rose Abdoo, Jerry Lambert, Jennifer Irwin, Rick Overton, Matt Besser, Lee Eisenberg, Dot-Marie Jones, Ryan Seacrest"
Cars 2,Walt Disney Pictures / Pixar Animation Studios,"John Lasseter, Brad Lewis (directors); Ben Queen (screenplay); Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer, John Turturro, Eddie Izzard, Brent Musburger, Joe Mantegna, Thomas Kretschmann, Peter Jacobson, Bonnie Hunt, Darrell Waltrip, Franco Nero, David Hobbs, Tony Shalhoub, Jeff Garlin, Jason Isaacs, Lloyd Sherr, Bruce Campbell, Teresa Gallagher, Jenifer Lewis, Stanley Townsend, Velibor Topic, Sig Hansen, Guido Quaroni, Vanessa Redgrave, Brad Lewis, Cheech Marin, Jeff Gordon, Lewis Hamilton, Paul Dooley, Edie McClurg, Richard Kind, Katherine Helmond, John Ratzenberger, Michael Wallis, John Lasseter, Daisuke ""Dice"" Tsutsumi, Patrick Walker, Michel Michelis, John Mainieri, Catherine Bolt, Gillian Bolt, Jess Fulton, Sonoko Konishi"
Transformers: Dark of the Moon,Paramount Pictures / Hasbro,"Michael Bay (director); Ehren Kruger (screenplay); Shia LaBeouf, Josh Duhamel, John Turturro, Tyrese Gibson, Rosie Huntington-Whiteley, Patrick Dempsey, Kevin Dunn, Julie White, Ken Jeong, John Malkovich, Frances McDormand, Alan Tudyk, Glenn Morshower, Elya Baskin, Mindy Sterling, Maile Flanagan, Meredith Monroe, Chris Sheffield, Buzz Aldrin, David St. James, John F. Kennedy, Richard Nixon, Bill O'Reilly, Keiko Agena, Lester Speight, Josh Kelly, Mark Ryan, Andy Daly, Iqbal Theba, Sammy Sheik, Anthony Azizi, Peter Cullen, Hugo Weaving, Leonard Nimoy, Jess Harnell, Charlie Adler, Robert Foxworth, James Remar, Francesco Quinn, George Coe, Tom Kenny, Reno Wilson, Frank Welker, John DiMaggio, Keith Szarabajka, Greg Berg, Ron Bottitta, Jim Wood"
Larry Crowne,Universal Pictures,"Tom Hanks (director/screenplay); Nia Vardalos (screenplay); Tom Hanks, Julia Roberts, Taraji P. Henson, Cedric the Entertainer, George Takei, Rita Wilson, Bryan Cranston, Gugu Mbatha-Raw, Wilmer Valderrama, Pam Grier, Rami Malek, Maria Canals-Barrera, Sy Richardson, Dale Dye, Ian Gomez, Malcolm Barrett, Chet Hanks, Nia Vardalos, Jon Seda, Grace Gummer, Rob Riggle, Barry Sobel, Tina Huang, Randall Park"
Monte Carlo,Fox 2000 Pictures / Regency Enterprises,"Tom Bezucha (director/screenplay); Maria Maggenti, April Blair (screenplay); Selena Gomez, Leighton Meester, Katie Cassidy, Cory Monteith, Andie MacDowell, Pierre Boulanger, Luke Bracey, Catherine Tate, Brett Cullen, Giulio Berruti, Valérie Lemercier, Franck de Lapersonne"
Septien,IFC Films,"Michael Tully (director); Michael Tully, Onur Tukel, Robert Longstreet, Rachel Korine"
Rapt,Lorber Films,Lucas Belvaux (director); Yvan Attal
"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",Sony Pictures Classics,Michael Rapaport (director); A Tribe Called Quest
Horrible Bosses,Warner Bros. Pictures / New Line Cinema,"Seth Gordon (director); Michael Markowitz, John Francis Daley, Jonathan Goldstein (screenplay); Jason Bateman, Charlie Day, Jason Sudeikis, Jamie Foxx, Jennifer Aniston, Kevin Spacey, Colin Farrell, Donald Sutherland, Julie Bowen, Lindsay Sloane, Barry Livingston, Meghan Markle, John Francis Daley, P.J. Byrne, Dave Sheridan, Ioan Gruffudd, Brian George, Chad L. Coleman, Isaiah Mustafa, Wendell Pierce, Ron White, Bob Newhart, Seth Gordon"
Project Nim,Roadside Attractions,"James Marsh (director); Bob Angelini, Bern Cohen, Renne Falitz, Bob Ingersoll"
Zookeeper,Columbia Pictures / Metro-Goldwyn-Mayer,"Frank Coraci (director); Nick Bakay, Kevin James, Rock Reuben, Jay Sherick, David Ronn (screenplay); Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong, Donnie Wahlberg, Joe Rogan, Nat Faxon, Steffiana de la Cruz, Nick Bakay, Jackie Sandler, Nick Turturro, Thomas Gottschalk, Brandon Keener, Gary Valentine, Nick Nolte, Sylvester Stallone, Adam Sandler, Cher, Judd Apatow, Jon Favreau, Faizon Love, Maya Rudolph, Bas Rutten, Don Rickles, Jim Breuer, Tom Woodruff, Jr., Bart the Bear 2, Crystal the Monkey"
Harry Potter and the Deathly Hallows – Part 2,Warner Bros. Pictures / Heyday Films,"David Yates (director); Steve Kloves (screenplay); Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter, Robbie Coltrane, Warwick Davis, David Bradley, Tom Felton, Ralph Fiennes, Michael Gambon, John Hurt, Jason Isaacs, Gary Oldman, Alan Rickman, Maggie Smith, Jim Broadbent, Timothy Spall, David Thewlis, Emma Thompson, Julie Walters, Mark Williams, Bonnie Wright, Matthew Lewis, James Phelps, Oliver Phelps, Chris Rankin, Natalia Tena, Evanna Lynch, Adrian Rawlins, Geraldine Somerville, Ciarán Hinds, Domhnall Gleeson, Clémence Poésy, Kelly Macdonald, Helen McCrory, Miriam Margoyles, Gemma Jones, Jessie Cave, Afshan Azad, Anna Shaffer, Georgina Leonidas, Devon Murray, Freddie Stroma, Alfred Enoch, Katie Leung, Ralph Ineson, Scarlett Byrne, Josh Herdman, George Harris, Guy Henry, Nick Moran, Dave Legeno, Alfie McIlwain, Ellie Darcey-Alden, Leslie Phillips"
Winnie the Pooh,Walt Disney Pictures / Walt Disney Animation Studios,"Stephen J. Anderson, Don Hall (directors); Jim Cummings, Tom Kenny, Craig Ferguson, Travis Oates, Bud Luckey, John Cleese, Huell Howser, Jack Boulter, Kristen Anderson-Lopez, Wyatt Dean Hall"
Another Earth,Fox Searchlight Pictures,"Mike Cahill (director/screenplay); Brit Marling (screenplay); William Mapother, Brit Marling, Robin Lord Taylor, Kumar Pallana, Rupert Reid, Richard Berendzen, Jordan Baker, Flint Beverage, Diane Ciesla"
Captain America: The First Avenger,Paramount Pictures / Marvel Studios,"Joe Johnston (director); Christopher Markus, Stephen McFeely (screenplay); Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Neal McDonough, Derek Luke, Stanley Tucci, Richard Armitage, Samuel L. Jackson, Toby Jones, Kenneth Choi, JJ Feild, Natalie Dormer, William Hope, David Bradley, Simon Kunz, Laura Haddock, Amanda Righetti, Spencer Garrett, Stan Lee, Lex Shrapnel, Amanda Walker, Bruno Ricci"
Friends with Benefits,Screen Gems / Castle Rock Entertainment,"Will Gluck (director/screenplay); Harley Peyton, Keith Merryman, David A. Newman (screenplay); Justin Timberlake, Mila Kunis, Patricia Clarkson, Jenna Elfman, Bryan Greenberg, Richard Jenkins, Woody Harrelson, Andy Samberg, Nolan Gould, Shaun White, Andrew Fleming, Catherine Reitman, Courtney Henggeler, Masi Oka, Tiya Sircar, Emma Stone, Lili Mirojnick, Angelique Cabral, Rashida Jones, Jason Segel"
Attack the Block,Screen Gems / StudioCanal / Film4 Productions / UK Film Council / Big Talk Pictures,"Joe Cornish (director/screenplay); John Boyega, Alex Esmail, Franz Drameh, Leeon Jones, Nick Frost, Jodie Whittaker, Luke Treadaway, Paige Meade"
Cowboys & Aliens,Universal Pictures / DreamWorks Pictures / Reliance Entertainment / Relativity Media / Imagine Entertainment,"Jon Favreau (director); Roberto Orci, Alex Kurtzman, Damon Lindelof, Mark Fergus, Hawk Ostby (screenplay); Daniel Craig, Harrison Ford, Olivia Wilde, Sam Rockwell, Paul Dano, Clancy Brown, Keith Carradine, Noah Ringer, Adam Beach, Abigail Spencer, Ana de la Reguera, Walton Goggins, Julio Cedillo, David O'Hara, Toby Huss, Raoul Trujillo, Chris Browning, Paul Ortega"
"Crazy, Stupid, Love.",Warner Bros. Pictures,"John Requa, Glenn Ficarra (directors); Dan Fogelman (screenplay); Steve Carell, Julianne Moore, Ryan Gosling, Analeigh Tipton, Emma Stone, Marisa Tomei, Kevin Bacon, John Carroll Lynch, Jonah Bobo, Josh Groban, Liza Lapira, Joey King, Beth Littleford, Julianna Guill, Crystal Reed, Dan Butler"
The Devil's Double,Lionsgate,"Lee Tamahori (director); Michael Thomas (screenplay); Dominic Cooper, Philip Quast, Mem Ferda, Dar Salim, Jamie Harding, Ludivine Sagnier, Mimoun Oaïssa, Akin Gazi, Amrita Acharia"
The Guard,Sony Pictures Classics,"John Michael McDonagh (director/screenplay); Brendan Gleeson, Don Cheadle, Mark Strong, Liam Cunningham, Fionnula Flanagan, David Wilmot, Sarah Greene, Rory Keenan, Dominique McElligott, Katarina Čas, Dermot Healy, Pat Shortt, Laurence Kinlan, Wale Ojo, Mícheál Óg Lane, Darren Healy"
The Smurfs,Columbia Pictures / Sony Pictures Animation / The Kerner Entertainment Company,"Raja Gosnell (director); J. David Stem, David N. Weiss, Jay Scherick, David Ronn (screenplay); Neil Patrick Harris, Jayma Mays, Sofía Vergara, Hank Azaria, Tim Gunn, Jonathan Winters, Katy Perry, Alan Cumming, George Lopez, Anton Yelchin, Fred Armisen, John Kassir, Paul Reubens, John Oliver, Kenan Thompson, B. J. Novak, Jeff Foxworthy, Wolfgang Puck, Gary Basaraba, Tom Kane, Frank Welker, Joel McCrary"
Bellflower,Oscilloscope Laboratories,"Evan Glodell (director/screenplay); Evan Glodell, Jessie Wiseman, Tyler Dawson, Rebekah Brandes"
The Change-Up,Universal Pictures / Relativity Media,"David Dobkin (director); Jon Lucas, Scott Moore (screenplay); Ryan Reynolds, Jason Bateman, Leslie Mann, Olivia Wilde, Alan Arkin, Mircea Monroe, Gregory Itzin, Ned Schmidtke, Craig Bierko, Dax Griffin, Taaffe O'Connell, Fred Stoller, TJ Hassan, Jeanette Miller"
Phineas and Ferb the Movie: Across the 2nd Dimension,Disney-ABC Domestic Television,"Dan Povenmire (director/screenplay); Robert F. Hughes (director); Jon Colton Barry, Jeff ""Swampy"" Marsh (screenplay); Vincent Martella, Thomas Brodie-Sangster, Ashley Tisdale, Dee Bradley Baker, Dan Povenmire, Jeff ""Swampy"" Marsh, Tyler Alexander Mann, Mitchel Musso, Alyson Stoner, Caroline Rhea, Richard O'Brien, John Viener, Kevin Michael Richardson, Kelly Hu, Maulik Pancholy, Bobby Gaylor, Jack McBrayer, Jaret Reddick, Carlos Alazraqui, Steve Zahn, Doris Roberts, Slash, Loni Love, Jeff Bennett, Ariel Winter, Todd Stashwick, Olivia Olson, Danny Jacob"
Rise of the Planet of the Apes,20th Century Fox / Dune Entertainment / Chernin Entertainment,"Rupert Wyatt (director); Rick Jaffa and Amanda Silver (screenplay); James Franco, Freida Pinto, John Lithgow, Brian Cox, Tom Felton, Andy Serkis, David Oyelowo, Tyler Labine, David Hewlett, Jamie Harris, Chelah Horsdal, Karin Konoval, Terry Notary, Richard Ridings, Devyn Dalton, Jay Caputo, Christopher Gordon"
The Help,Touchstone Pictures / DreamWorks Pictures / Reliance Entertainment / Participant Media / Imagenation Abu Dhabi / 1492 Pictures,"Tate Taylor (director/screenplay); Emma Stone, Viola Davis, Octavia Spencer, Jessica Chastain, Bryce Dallas Howard, Allison Janney, Ahna O'Reilly, Sissy Spacek, Chris Lowell, Mike Vogel, Wes Chatham, Cicely Tyson, Anna Camp, Ashley Johnson, Brian Kerwin, Aunjanue Ellis, Mary Steenburgen, Leslie Jordan, David Oyelowo, Dana Ivey"
30 Minutes or Less,Columbia Pictures / Media Rights Capital,"Ruben Fleischer (director); Michael Diliberti, Matthew Sullivan (screenplay); Jesse Eisenberg, Aziz Ansari, Danny McBride, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward, Brett Gelman"
Final Destination 5,Warner Bros. Pictures / New Line Cinema,"Steven Quale (director); Eric Heisserer (screenplay); Nicholas D'Agosto, Emma Bell, Miles Fisher, Arlen Escarpeta, David Koechner, Tony Todd, Jacqueline MacInnes Wood, P.J. Byrne, Courtney B. Vance, Brent Stait, Barclay Hope, Chasty Ballesteros, Mike Dopud, Ellen Wroe, Roman Podhora, Jasmin Dring"
Glee: The 3D Concert Movie,20th Century Fox,"Kevin Tancharoen (director); Dianna Agron, Chris Colfer, Darren Criss, Kevin McHale, Lea Michele, Cory Monteith, Heather Morris, Amber Riley, Naya Rivera, Mark Salling, Jenna Ushkowitz, Harry Shum Jr., Chord Overstreet, Ashley Fink"
The Idiotmaker's Gravity Tour,ConFluence-Film,"Daniel Kremer (director); Daniel Kremer, William Cully Allen (writer); William Cully Allen, Glenn Walsh, K.J. Linhein, Pappu Rai, Peter Brunette, William McKeever, Julie Edelstein"
Conan the Barbarian,Lionsgate / Millennium Films / Paradox Entertainment,"Marcus Nispel (director); Thomas Dean Donnelly, Joshua Oppenheimer, Sean Hood (screenplay); Jason Momoa, Rachel Nichols, Stephen Lang, Rose McGowan, Saïd Taghmaoui, Leo Howard, Bob Sapp, Ron Perlman, Steven O'Donnell, Nonso Anozie, Gisella Marengo, Laila Rouass, Alina Pușcău, Morgan Freeman, Diana Lubenova, Milton Welsh, Raad Rawi, Anton Trendafilov, Ivana Staneva"
Flypaper,Foresight Unlimited / The Safran Company,"Rob Minkoff (director); Patrick Dempsey, Ashley Judd"
Fright Night,Touchstone Pictures / DreamWorks Pictures / Reliance Entertainment,"Craig Gillespie (director); Marti Noxon (screenplay); Anton Yelchin, Colin Farrell, Christopher Mintz-Plasse, David Tennant, Imogen Poots, Toni Collette, Dave Franco, Reid Ewing, Will Denton, Sandra Vergara, Lisa Loeb, Brian Huskey, Grace Phipps, Chris Sarandon, Dee Bradley Baker"
One Day,Focus Features / Random House Films / Film4 Productions,"Lone Scherfig (director); David Nicholls (screenplay); Anne Hathaway, Jim Sturgess, Patricia Clarkson, Rafe Spall, Ken Stott, Romola Garai, Jodie Whittaker, Tom Mison, Jamie Sives, Toby Regbo, Georgia King, Matt Berry, Matthew Beard, Heida Reed, Amanda Fairbank Hynes"
Spy Kids: All the Time in the World,Dimension Films / Troublemaker Studios,"Robert Rodriguez (director/screenplay); Jessica Alba, Joel McHale, Alexa Vega, Daryl Sabara, Rowan Blanchard, Mason Cook, Ricky Gervais, Jeremy Piven, Danny Trejo, Angela Lanza"
Colombiana,TriStar Pictures / Stage 6 Films,"Olivier Megaton (director); Luc Besson, Robert Mark Kamen (screenplay); Zoe Saldana, Michael Vartan, Cliff Curtis, Lennie James, Jordi Molla, Beto Benites, Jesse Borrego, Cynthia Addai-Robinson, Ofelia Medina, Callum Blue, Max Martini, Sam Douglas, Graham McTavish, Affif Ben Badra, Amandla Stenberg, Angel Garnica, Charles Maquignon"
Higher Ground,Sony Pictures Classics,"Vera Farmiga (director); Carolyn S. Briggs, Tim Metcalfe (screenplay); Vera Farmiga, Joshua Leonard, Bill Irwin, Donna Murphy, Norbert Leo Butz, John Hawkes, Dagamara Domińczyk, Ebon Moss-Bachrach"
Bol,Shoman Productions,"Shoaib Mansoor (director); Manzar Sehbai, Shafqat Cheema, Humaima Malik, Mahira Khan, Atif Aslam, Iman Ali, Zaib Rehman, Mahnoor Khan, Meher Sagar, Amr Kashmiri, Irfan Khoosat"
Apollo 18,Dimension Films,Gonzalo López-Gallego (director); Brian Miller (screenplay)
Seven Days in Utopia,Utopia Films,"Matt Russell (director/screenplay); David L. Cook, Rob Levine, Sandra Thrift (screenplay); Lucas Black, Robert Duvall, Melissa Leo"
Shark Night,Relativity Media / Rogue Pictures,"David R. Ellis (director); Jesse Studenberg, Will Hayes (screenplay); Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee, Donal Logue, Joshua Leonard, Joel David Moore, Sinqua Walls, Alyssa Diaz, Chris Zylka"
Bucky Larson: Born to Be a Star,Columbia Pictures / Happy Madison Productions,"Tom Brady (director); Adam Sandler, Allen Covert, Nick Swardson (screenplay); Nick Swardson, Christina Ricci, Stephen Dorff, Don Johnson, Ido Mosseri, Kevin Nealon, Edward Herrmann, Miriam Flynn, Mario Joyner, Nick Turturro, Mary Pat Gleason, Curtis Armstrong, Brandon Hardesty, Adam Herschman, Pauly Shore, Beverly Polcyn, Jonathan Loughran, Peter Dante, Pasha Lychnikoff, Jimmy Fallon, Joey Diaz"
Contagion,Warner Bros. Pictures / Participant Media / Imagenation Abu Dhabi,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Marion Cotillard, Matt Damon, Laurence Fishburne, Jude Law, Gwyneth Paltrow, Kate Winslet, Bryan Cranston, Jennifer Ehle, Elliott Gould, Chin Han, John Hawkes, Josie Ho, Sanaa Lathan, Demetri Martin, Armin Rohde, Enrico Colantoni, Monique Gabriela Curnen"
Warrior,Lionsgate,"Gavin O'Connor (director/screenplay); Anthony Tambakis, Cliff Dorfman (screenplay); Joel Edgerton, Tom Hardy, Jennifer Morrison, Nick Nolte, Frank Grillo, Kevin Dunn, Noah Emmerich, Denzel Whitaker, Maximiliano Hernández, Fernando Chien, Kurt Angle, Erik Apple, Nate Marquardt, Anthony Johnson, Roan Carneiro, Yves Edwards, Gavin O'Connor, Jake McLaughlin, Amir Perets, Dan Caldwell, Bryan Callen, Rashad Evans, Vanessa Martinez, Laura Chinn, Capri Thomas, Lexi Cowan, Carlos Miranda, Nick Lehane, Charlie Smith"
Drive,FilmDistrict,"Nicolas Winding Refn (director/screenplay); Hossein Amini (screenplay); Ryan Gosling, Carey Mulligan, Bryan Cranston, Ron Perlman, Albert Brooks, Christina Hendricks, Oscar Isaac, James Biberi, Russ Tamblyn, John Pyper-Ferguson, Joe Pingue, Ralph Lawler, Laurene Landon"
I Don't Know How She Does It,The Weinstein Company,"Douglas McGrath (director); Aline Brosh McKenna (screenplay); Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear, Christina Hendricks, Olivia Munn, Busy Philipps, Kelsey Grammer, Seth Meyers, Jane Curtin, Mark Blum, Sarah Shahi, Jessica Szohr, Emma Rayne Lyle, Mika Brzezinski, Eugenia Yuan, Michelle Hurst, Beth Fowler, Marceline Hugot, Natalie Gold"
The Lion King in 3D,Walt Disney Pictures,"Roger Allers, Rob Minkoff (director); Irene Mecchi, Jonathan Roberts, Linda Woolverton (screenplay); Matthew Broderick, James Earl Jones, Jeremy Irons, Jonathan Taylor Thomas, Moira Kelly, Nathan Lane, Ernie Sabella, Rowan Atkinson, Robert Guillaume, Madge Sinclair, Whoopi Goldberg, Cheech Marin, Jim Cummings"
Restless,Sony Pictures Classics / Imagine Entertainment,"Gus Van Sant (director); Jason Lew (screenplay); Henry Hopper, Mia Wasikowska, Ryō Kase, Schuyler Fisk, Jane Adams, Chin Han, Lusia Strus"
Straw Dogs,Screen Gems,"Rod Lurie (director/screenplay); James Marsden, Kate Bosworth, Alexander Skarsgård, Dominic Purcell, James Woods, Willa Holland, Laz Alonso, Rhys Coiro, Billy Lush, Walton Goggins, Anson Mount, Drew Powell, Rod Lurie"
Setup,Lionsgate Films,"Mike Gunther (director/screenplay); Mike Behrman (screenplay); 50 Cent, Bruce Willis, Ryan Phillippe, Jenna Dewan, Randy Couture, Will Yun Lee, Shaun Toub, Rory Markham, Jay Karnes, James Remar"
Abduction,Lionsgate,"John Singleton (director); Shawn Christensen, Jeffrey Nachmanoff (screenplay); Taylor Lautner, Lily Collins, Alfred Molina, Jason Isaacs, Maria Bello, Sigourney Weaver, Michael Nyqvist, Dermot Mulroney, Nickola Shreli, Elisabeth Röhm, Antonique Smith, Denzel Whitaker, Ilia Volok, Tim Griffin, Emily Peachey, William Peltz, Victor Slezak, Roger Guenveur Smith"
Dolphin Tale,Warner Bros. Pictures / Alcon Entertainment,"Charles Martin Smith (director); Karen Janszen, Noam Dromi (screenplay); Harry Connick Jr., Ashley Judd, Morgan Freeman, Nathan Gamble, Kris Kristofferson, Austin Stowell, Cozi Zuehlsdorff, Frances Sternhagen, Austin Highsmith, Juliana Harkavy, Jim Fitzpatrick, Kim Ostrenko, Richard Libertini, Ray McKinnon, Marc Macaulay, Kurt Yaeger, Mike Pniewski, Betsy Landin, Megan Lozicki, Michael Roark, Ashley White, Tom Nowicki, Rus Blackwell"
