Film,Production,Cast
Columbia Pictures / Revolution Studios,"Stephen Herek (director); Robert Ramsey, Matthew Stone, John J. McLaughlin (screenplay); Tommy Lee Jones, Christina Milian, Paula Garcés, Monica Keena, Vanessa Ferlito, Kelli Garner, Anne Archer, Brian Van Holt, Cedric the Entertainer, Shea Whigham, R. Lee Ermey, Terrence Parks, Paget Brewster, Shannon Marie Woodward, Liz Vassey, Rick Perry",Comedy
Warner Independent Pictures / Mandalay Pictures,"John Maybury (director); Massy Tadjedin (screenplay); Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh, Kelly Lynch, Brad Renfro, Daniel Craig, Steven Mackintosh, Brendan Coyle, Mackenzie Phillips, Jason Lewis, Richard Dillane, Jonah Lotan, Angel Coulby, Paul Birchard, Nigel Whitmey, Ian Porter, Anthony Edridge, Kerry Shale, Angus MacInnes, Richard Durden, Tristan Gemmill, Colin Stinton, Tara Summers, Angelo Andreou, Teresa Gallagher, Charneh Demir, Garrick Hagon, Fish","Horror, Thriller"
Walt Disney Pictures / Spyglass Entertainment,"Adam Shankman (director); Thomas Lennon, Robert Ben Garant (screenplay); Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow, Max Thieriot, Carol Kane, Brad Garrett, Morgan York, Kegan and Logan Hoover, Bo and Luke Vink, Chris Potter, Tate Donovan, Denis Akiyama, Scott Thompson","Comedy, Family"
Miramax Films / Stratus Film Company / Cheyenne Enterprises / Equity Pictures,"Florent Siri (director); Doug Richardson (screenplay); Bruce Willis, Kevin Pollak, Ben Foster, Jonathan Tucker, Jimmy Bennett, Michelle Horn, Marshall Allman, Serena Scott Thomas, Rumer Willis, Kim Coates, Robert Knepper, Tina Lifford, Ransford Doherty, Marjean Holden, Michael D. Roberts, Art LaFleur, Keith Hines, Randy McPherson, Hector Luis Bustamante, Kathryn Joosten, Johnny Messner, Glenn Morshower, Jamie McShane, Jimmy 'Jax' Pinchak","Action, Thriller"
20th Century Fox Animation / Blue Sky Studios,"Chris Wedge (director); David Lindsay-Abaire, Lowell Ganz, Babaloo Mandel (screenplay); Ewan McGregor, Halle Berry, Greg Kinnear, Mel Brooks, Amanda Bynes, Drew Carey, Jim Broadbent, Stanley Tucci, Robin Williams, Dianne Wiest, Jennifer Coolidge, Paul Giamatti, Dan Hedaya, Jay Leno, Natasha Lyonne, Harland Williams, Chris Wedge, Lucille Bliss, Paula Abdul, Randy Jackson, Simon Cowell, Al Roker, Stephen Tobolowsky, Lowell Ganz, James Earl Jones, Will Denton, Jansen Panettiere","Comedy, Family"
DreamWorks Pictures,"Hideo Nakata (director); Ehren Kruger (screenplay); Naomi Watts, Simon Baker, David Dorfman, Elizabeth Perkins, Gary Cole, Sissy Spacek, Ryan Merriman, Emily VanCamp, Kelly Stables, Mary Elizabeth Winstead, Kelly Overton, James Lesure",Horror
Columbia Pictures / Regency Enterprises,"Kevin Rodney Sullivan (director); David Ronn, Jay Scherick, Peter Tolan (screenplay); Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott, Hal Williams, Kellee Stewart, Lawrence Hilton-Jacobs, Sherri Shepherd, Robert Curtis Brown, RonReaco Lee, Phil Reeves, Nicole Sullivan, Jessica Cauffiel, Niecy Nash, Kimberly Scott, Richard Lawson","Comedy, Romance"
IFC Films,"Rebecca Miller (director/screenplay); Daniel Day-Lewis, Catherine Keener, Camilla Belle, Ryan McDonald, Paul Dano, Jason Lee, Jena Malone, Beau Bridges, Susanna Thompson",Drama
New Line Cinema,"Mike Binder (director/screenplay); Joan Allen, Kevin Costner, Erika Christensen, Keri Russell, Alicia Witt, Evan Rachel Wood, Mike Binder, Tom Harper, Sarah Coomes, Dane Christensen, Danny Webb, Magdalena Manville, Suzanne Bertish, David Firth, Rod Woodruff, Stephen Greif, Arthur Penhallow","Comedy, Drama"
Buena Vista Television,"Steve Loter (director); Bob Schooley, Mark McCorkle (screenplay); Christy Carlson Romano, Will Friedle, Nancy Cartwright, Tahj Mowry, John DiMaggio, Nicole Sullivan, Ricky Ullman, Gary Cole, Jean Smart, Shaun Fleming, Raven-Symoné, Kirsten Storms, Rider Strong, Diedrich Bader, Eddie Deezen, Clyde Kusatsu, Lauren Tom, Kevin Michael Richardson, Maurice LaMarche, Stephen Root, Tara Strong, April Winchell","Action, Adventure"
Paramount Pictures / Bristol Bay Productions,"Breck Eisner (director); Thomas Dean Donnelly, Joshua Oppenheimer, John C. Richards, James V. Hart (screenplay); Matthew McConaughey, Steve Zahn, Penélope Cruz, Lambert Wilson, Glynn Turman, Delroy Lindo, William H. Macy, Lennie James, Rainn Wilson, Patrick Malahide, Robert Cavanah, Jude Akuwudike, Rakie Ayola, Paulin Fudouop, Maurice Lee",Adventure
New Line Cinema,"Jeffrey W. Byrd (director); Wayne Conley (screenplay); Anthony Anderson, Jay Mohr, Kellita Smith, Nicole Ari Parker, Regina Hall, Loretta Devine, Donald Faison, Charlie Murphy, Leila Arcieri, Brooke D'Orsay, Roger Cross, Jackie Burroughs, Christian Potenza, Lawrence Dane, Lisa Marcos, Robert Norman Smith",Comedy
Touchstone Pictures / Beacon Pictures,"Nigel Cole (director); Colin Patrick Lynch (screenplay); Ashton Kutcher, Amanda Peet, Kathryn Hahn, Kal Penn, Ali Larter, Taryn Manning, Gabriel Mann, Jeremy Sisto, Tyrone Giordano, Amy Aquino, Moon Bloodgood, Sam Pancake","Romance, Comedy"
Columbia Pictures / Revolution Studios,"Lee Tamahori (director); Simon Kinberg (screenplay); Ice Cube, Willem Dafoe, Samuel L. Jackson, Scott Speedman, Peter Strauss, Xzibit, Michael Roof, Sunny Mabrey, Nona Gaye, John G. Connolly, Ramon De Ocampo",Action
Warner Bros. Pictures / Village Roadshow Pictures / Dark Castle Entertainment,"Jaume Collet-Serra (director); Chad Hayes, Carey W. Hayes (screenplay); Elisha Cuthbert, Chad Michael Murray, Brian Van Holt, Paris Hilton, Jared Padalecki, Jon Abrahams, Robert Ri'chard, Damon Herriman, Andy Anderson, Emma Lung, Dragicia Debert, Murray Smith",Horror
Metro-Goldwyn-Mayer / Gold Circle Films,"Vadim Jean (director); Martin Short, Michael Short, Paul Flaherty (screenplay); Martin Short, Jan Hooks, Janeane Garofalo, Mo Collins, Aries Spears, Linda Cardellini, John Michael Higgins, Elizabeth Perkins, Larry Joe Campbell, Carlos Jacott, Corey Pearson, Robert Trebor, Gary Anthony Williams, Alex Diakun, Peter Breck, Ellie Harvie, Darren Shahlavi, Christine Willes, Peter Kelamis, Willem Dafoe, Whoopi Goldberg, Jake Gyllenhaal, Kevin Kline, Rob Lowe, Steve Martin, Kurt Russell, Susan Sarandon, Chloë Sevigny, Sharon Stone, Kiefer Sutherland, Forest Whitaker",Comedy
20th Century Fox / Scott Free Productions,"Ridley Scott (director); William Monahan (screenplay); Orlando Bloom, Eva Green, Jeremy Irons, David Thewlis, Brendan Gleeson, Marton Csokas, Liam Neeson, Edward Norton, Michael Sheen, Kevin McKidd, Ulrich Thomsen, Nikolaj Coster-Waldau, Iain Glen, Alexander Siddig, Eriq Ebouaney, Bronson Webb, Velibor Topić, Ghassan Massoud, Khaled Nabawy, Jon Finch, Martin Hancock, Nathalie Cox, Jouko Ahola, Giannina Facio, Philip Glenister, Steven Robertson, Angus Wright",Drama
Paramount Classics / Nickelodeon Movies,Marilyn Argrelo (director); Madeleine Hackney,"Documentary, Family"
Dimension Films / Intermedia Films,"Renny Harlin (director); Wayne Kramer, Kevin Brodbin (screenplay); LL Cool J, Jonny Lee Miller, Kathryn Morris, Patricia Velásquez, Clifton Collins Jr., Eion Bailey, Will Kemp, Val Kilmer, Christian Slater, Trevor White, Cassandra Bell, Jasmine Sendar, Anthonie Kamerling, Daniël Boissevain",Thriller
New Line Cinema,"Robert Luketic (director); Anya Kochoff (screenplay); Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes, Adam Scott, Monet Mazur, Annie Parisse, Will Arnett, Elaine Stritch, Stephen Dunham, Randee Heller, Mark Moses, Tomiko Fraser, Jenny Wade, Bruce Gray, Harriet Sansom Harris, Jimmy Jean-Louis, John Aylward",Comedy
Warner Bros. Animation / Kidtoon Films,"Joe Sichta (director/screenplay); Joseph Barbera, George Doty IV, William Hanna, Ed Scharlach, Catherine Trillo, Thommy Wojciechowski (screenplay); Frank Welker, Casey Kasem, Mindy Cohn, Grey DeLisle, Christine Baranski, Ajay Naidu, Ron Perlman, Jeremy Piven, Wynton Marsalis, Oded Fehr, Virginia Madsen",Adventure
Rogue Pictures / EuropaCorp,"Louis Leterrier (director); Luc Besson (screenplay); Jet Li, Morgan Freeman, Bob Hoskins, Kerry Condon, Vincent Regan, Tamer Hassan, Scott Adkins, Dylan Brown, Michael Jenn, Mike Ian Lambert","Martial Arts, Action, Thriller"
ABC / Buena Vista Television / The Muppets Holding Company / The Jim Henson Company / Touchstone Television,"Kirk R. Thatcher (director); Debra Frank, Steve Hayes, Tom Martin, Adam F. Goldberg (screenplay); Ashanti, Jeffrey Tambor, Queen Latifah, David Alan Grier, Quentin Tarantino, Kelly Osbourne, Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson, Brian Henson, Kevin Clash, John Kennedy, Rickey Boyd, Tyler Bunch, Julianne Buescher, John Henson, Mike Quinn, Allan Trautman, Drew Massey, Alice Dinnean","Musical, Fantasy"
DreamWorks Animation / PDI/DreamWorks,"Eric Darnell, Tom McGrath (directors/screenplay); Mark Burton, Billy Frolick (screenplay); Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, John DiMaggio, Tom McGrath, Chris Miller, Jeffrey Katzenberg, Cody Cameron, Christopher Knights, Conrad Vernon, Eric Darnell, Elisa Gabrielli, Bob Saget, Devika Parikh","Comedy, Family"
Columbia Pictures / TriStar Pictures,"Catherine Hardwicke (director); Stacy Peralta (screenplay); Emile Hirsch, Victor Rasuk, John Robinson, Heath Ledger, Michael Angarano, Nikki Reed, Rebecca De Mornay, William Mapother, Vincent Laresca, Elden Henson, Mitch Hedberg, Stephanie Limb, Mike Ogas, Don Nguyen, Melonie Diaz, Eddie Cahill, Laura Ramsey, Steve Badillo, Pablo Schreiber, America Ferrera, Sofia Vergara, Chelsea Hobbs, Ned Bellamy, Shea Whigham, Johnny Knoxville, Charles Napier, Jay Adams, Tony Alva, Stacy Peralta, Skip Engblom, Tony Hawk, Jeremy Renner, Joel McHale, Alexis Arquette, Bai Ling, Lance Mountain, Craig Stecyk","Sports, Drama"
Buena Vista Television,"Francine McDougall (director); Patrick J. Clifton, Beth Rigazio (screenplay); Jordan Hinson, Brittany Curran, Whitney Sloan, Ryan Malgarini, Tania Gunadi, Amy Halloran, Jake Abel, Cristine Rose, Kristi Yamaguchi, Sabrina Speer, Jodi Russell, Curt Dousett, Paul Kiernan, Morgan Lund, Austin Jepson, Anne Sward","Comedy, Drama, Family"
Paramount Pictures,"John Schultz (director); Danny Jacobson, David Sheffield, Barry W. Blaustein, Don Rhymer (screenplay); Cedric the Entertainer, Mike Epps, Gabrielle Union, Regina Hall, Eric Stoltz, Jon Polito, John Leguizamo, Carol Woods, Doreen Keogh, Lenny Venito, Ajay Naidu, Alice Drummond, Kevin Corrigan",Comedy
20th Century Fox / Regency Enterprises,"Doug Liman (director); Simon Kinberg (screenplay); Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody, Kerry Washington, Keith David, Chris Weitz, Michelle Monaghan, Stephanie March, Jennifer Morrison, Perrey Reeves, William Fichtner, Angela Bassett, Rachael Huntley","Action, Comedy, Romance"
Universal Pictures / Atmosphere Pictures,"George A. Romero (director/screenplay); Simon Baker, John Leguizamo, Dennis Hopper, Asia Argento, Robert Joy, Eugene Clark, Joanne Boland, Tony Nappo, Jennifer Baxter, Boyd Banks, Jasmin Geljo, Maxwell McCabe-Lokos, Tony Munch, Shawn Roberts, Pedro Miguel Arce, Sasha Roiz, Krista Bridges, Bruce McFee, Phil Fondacaro, Alan van Sprang, Earl Pastko, Peter Outerbridge, Gene Mack, Devon Bostick, Simon Pegg, Edgar Wright, Tom Savini, Gregory Nicotero",Horror
20th Century Fox / Marvel Enterprises,"Tim Story (director); Mark Frost, Michael France (screenplay); Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington, Laurie Holden, Hamish Linklater, Kevin McNulty, Maria Menounos, Michael Kopsa, Stan Lee, Terry David Mulligan, Ben Mulroney, Lauren Sanchez, Kenny Bartram, Brian Deegan, Jamie Little","Action, Superhero"
Buena Vista Television,"Charles Haid (director); Eddie Guzelian (screenplay); Kyle Massey, Kay Panabaker, Mitchel Musso, Carter Jenkins, Mark Christopher Lawrence, Judith Moreland","Comedy, Family"
New Line Cinema / Tapestry Films,"David Dobkin (director); Steve Faber, Bob Fisher (screenplay); Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams, Isla Fisher, Bradley Cooper, Jane Seymour, Ellen Albertini Dow, Keir O'Donnell, Henry Gibson, Ron Canada, Dwight Yoakam, Rebecca De Mornay, David Conrad, Jenny Alden, Geoff Stults, Larry Joe Campbell, Kathryn Joosten, Will Ferrell, Richard Riehle, John McCain, James Carville",Comedy
Lions Gate Films,"Rob Zombie (director/screenplay); Sid Haig, Bill Moseley, Sheri Moon Zombie, Ken Foree, Matthew McGrory, Leslie Easterbrook, Priscilla Barnes, William Forsythe, Dave Sheridan, E.G. Daily, Geoffrey Lewis, Kate Norby, Lew Temple, Danny Trejo, Diamond Dallas Page, Brian Posehn, Ginger Lynn Allen, Tom Towles, Michael Berryman, P.J. Soles, Deborah Van Valkenburgh, Jossara Jinaro, Chris Ellis, Mary Woronov, Daniel Roebuck, Duane Whitaker, Tyler Mane, Jordan Orr, Robert Trebor, Kane Hodder",Horror
Paramount Classics / MTV Films / New Deal Entertainment,"Craig Brewster (director/screenplay); Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, Paula Jai Parker, Elise Neal, Isaac Hayes, D.J. Qualls, Ludacris, Juicy J, Haystak, DJ Paul, I-20, Josey Scott, Al Kapone, William 'Poon' Engram, Claude Phillips",Drama
DreamWorks Pictures,"Michael Bay (director); Caspian Tredwell-Owen, Alex Kurtzman, Roberto Orci (screenplay); Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean, Michael Clarke Duncan, Steve Buscemi, Kim Coates, Ethan Phillips, Noa Tishby, Max Baker, Brian Stepanek, Siobhan Flynn, Phil Abrams","Action, Sci-Fi, Thriller"
Warner Independent Pictures / Wild Bunch / National Geographic Films,Luc Jacquet (director); Morgan Roberts (screenplay); Morgan Freeman,Documentary
Sony Pictures Classics,"Greg Harrison (director/screenplay); Benjamin Brand (screenplay); Courteney Cox, James LeGros, Michael Ealy, Nora Dunn, Anne Archer, Nick Offerman, Brittany Ishibashi, Matthew Carey",Thriller
Walt Disney Pictures,"Mike Mitchell (director); Paul Hernandez, Bob Schooley, Mark McCorkle (screenplay); Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker, Mary Elizabeth Winstead, Patrick Warburton, Steven Strait, Lynda Carter, Bruce Campbell, Dave Foley, Cloris Leachman, Kevin McDonald, Dee Jay Daniels, Nicholas Braun, Malika Haqq, Jake Sandvig, Kevin Heffernan, Jim Rash, Kim Rhodes, Tom Kenny, Jill Talley, Will Harris, Kelly Vitz, Loren Berman, Dustin Ingram, Nicole Malgarini","Superhero, Comedy, Family"
Columbia Pictures,"Rob Cohen (director/screenplay); W.D. Richter (screenplay); Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard, Joe Morton, Richard Roxburgh, Ebon Moss-Bachrach, David Andrews, Wentworth Miller","Sci-Fi, Action"
Sony Pictures Classics,"Phil Morrison (director); Angus MacLachlan (screenplay); Embeth Davidtz, Amy Adams, Ben McKenzie, Celia Weston, Alessandro Nivola, Scott Wilson, Jill Wagner, Frank Hoyt Taylor, Joanne Pankow, Alicia Van Couvering","Comedy, Drama"
Paramount Pictures,"John Singleton (director); David Elliot, Paul Lovett (screenplay); Mark Wahlberg, Tyrese Gibson, André Benjamin, Garrett Hedlund, Terrence Howard, Josh Charles, Sofía Vergara, Chiwetel Ejiofor, Fionnula Flanagan, Taraji P. Henson, Kenneth Welsh, Barry Shabaka Henley, Lyriq Bent, Adam Beach, Tony Nappo, Shawn Singleton, Richard Chevolleau, Mpho Koaho, Kevin Duhaney, Benz Antoine, Jernard Burks, Reiya West Downs, Riele West Downs","Crime, Thriller"
Miramax Films,"John Dahl (director); Carlo Bernard, Doug Miro (screenplay); Benjamin Bratt, James Franco, Connie Nielsen, Marton Csokas, Joseph Fiennes, Mark Consuelos, Max Martini, Logan Marshall-Green, Robert Mammone, Cesar Montano, James Carpinello, Clayne Crawford, Craig McLachlan, Sam Worthington, Kenny Doughty, Natalie Mendoza, Paolo Montalban, Masa Yamaguchi, Paul Nakauchi, Laird Macintosh, Jeremy Callaghan, Dale Dye, Brett Tucker, Eugenia Yuan","War, Drama"
Universal Pictures,"Iain Softley (director); Ehren Kruger (screenplay); Kate Hudson, Gena Rowlands, Peter Sarsgaard, Joy Bryant, John Hurt, Jeryl Prescott, Forrest Landis, Ronald McCall",Horror
Buena Vista Television,"Bruce W. Smith (director); Calvin Brown Jr., Ralph Farquhar, John Patrick White, Stiles White (screenplay); Kyla Pratt, Tommy Davidson, Paula Jai Parker, Jo Marie Payton, Tara Strong, Orlando Brown, Jeff Bennett, Soleil Moon Frye, Alisa Reyes, Karen Malina White, Omarion, LisaRaye McCoy, Arsenio Hall, Jeremy Suarez, Carlos Alazraqui, Billy West, Carlos Mencia, Maria Canals-Barrera, Phil LaMarr, Aries Spears, Keith David, Kevin Michael Richardson, Masi Oka, Raquel Lee, Big Boy, Patricia Belcher, Alvaro Guttierez, Christian Mills, Michele Lisette Jennings","Adventure, Comedy"
DreamWorks Pictures,"Wes Craven (director); Carl Ellsworth (screenplay); Rachel McAdams, Cillian Murphy, Brian Cox, Jayma Mays, Jack Scalia, Robert Pine, Angela Paton, Suzie Plakson, Laura Johnson, Loren Lester, Max Kasch, Kyle Gallner, Beth Toussaint, Colby Donaldson, Marc Macaulay, Jenny Wade, Chris Bender, Wes Craven, Marianne Maddalena, Teresa Press-Marx, Brittany Oaks",Thriller
Walt Disney Pictures / Ealing Studios / Vanguard Animation,"Gary Chapman (director); Jordan Katz, George Webster, George Melrod (screenplay); Ewan McGregor, Ricky Gervais, Jim Broadbent, Tim Curry, Hugh Laurie, John Cleese, John Hurt, Pip Torrens, Rik Mayall, Olivia Williams, Dan Roberts, Brian Lonsdale, Annette Badland, Michael Schlingmann, Sharon Horgan, Buckley Collum, Sean Samuels, Jonathan Ross, Mike Harbour","Comedy, Family"
Screen Gems / Lakeshore Entertainment,"Bruce Hunt (director); Michael Steinberg, Tegan West (screenplay); Cole Hauser, Eddie Cibrian, Morris Chestnut, Rick Ravanello, Daniel Dae Kim, Marcel Iureș, Lena Headey, Piper Perabo, Kieran Darcy-Smith, Vlad Rădescu","Action, Horror"
Lions Gate Films / Lakeshore Entertainment / Cinerenta,"Meiert Avis (director); John Galt (screenplay); Pell James, Steven Strait, Kip Pardue, Shannyn Sossamon, Carrie Fisher, Peter Weller, Fisher Stevens, Ashlee Simpson, Perrey Reeves, Stephen Moyer, Ewan Chung",Drama
20th Century Fox / Current Entertainment / EuropaCorp,"Louis Leterrier (director); Luc Besson, Robert Mark Kamen (screenplay); Jason Statham, Alessandro Gassmann, Amber Valletta, Kate Nauta, François Berléand, Matthew Modine, Jason Flemyng, Keith David, Shannon Briggs, Jeff Chase, Marc Macaulay, Jim Coleman, AnnaLynne McCord, Hunter Clary","Action, Thriller"
Miramax Films,"Marcos Siega (director); David T, Wagner, Brent Goldberg (screenplay); Nick Cannon, Shawn Ashmore, Roselyn Sánchez, Kelly Hu, Hugh Bonneville, Cheech Marin, Ian Gomez, Johnny Lewis, Don McManus, Mary Pat Gleason, Kaylee DeFer, Peter Bryant, Sam Easton, Terry Chen, Jamie Kaler, Ben Cotton, Zak Santiago, Dan Shea, Sarah Jane Morris, Angelo Spizzirri, Vishiss, Adrian Young","Comedy, Action"
New Line Cinema,"Les Mayfield (director); Jim Piddock, Margaret Oberman, Steve Carpenter (screenplay); Samuel L. Jackson, Eugene Levy, Miguel Ferrer, Luke Goss, Susie Essman, Anthony Mackie, Gigi Rice, Rachael Crawford, Philip Akin, Horatio Sanz, Nestor Serrano","Comedy, Action"
Miramax Films / Revolution Studios,"Lasse Hallström (director); Mark Spragg, Virginia Korus Spragg (screenplay); Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Camryn Manheim, Lynda Boyd, Damian Lewis, Becca Gardner, Trevor Moss, Bart the Bear 2",Drama
DreamWorks Pictures,"Mark Waters (director); Peter Tolan, Leslie Dixon (screenplay); Reese Witherspoon, Mark Ruffalo, Jon Heder, Ivana Miličević, Donal Logue, Dina Waters, Rosalind Chao, Ben Shenkman, Joel McKinnon Miller, Caroline Aaron, Kerris Dorsey, Alyssa Shafer, Willie Garson","Romance, Comedy, Fantasy"
Lions Gate Films / Entertainment Manufacturing Company / Saturn Films,"Andrew Niccol (director/screenplay); Nicolas Cage, Jared Leto, Bridget Moynahan, Ian Holm, Ethan Hawke, Nalu Tripician, Eamonn Walker, Tanit Phoenix, Donald Sutherland, Weston Coppola Cage, Sammi Rotibi, Eugene Lazarev, Kobus Marx, Liya Kebede, Jasmine Sais Burgess","Crime, Drama"
Dimension Films / Outerbanks Entertainment,"Jim Gillespie (director); Flint Dille, John Zuur Platten, Brandon Boyce (screenplay); Agnes Bruckner, Jonathan Jackson, Laura Ramsey, D.J. Cotrona, Rick Cramer, Meagan Good, Bijou Phillips, Method Man, Pawel Szajda, Davetta Sherwood, Stacey Travis",Horror
First Look Studios,"John Mallory Asher (director); Jenny McCarthy (screenplay); Jenny McCarthy, Eddie Kaye Thomas, Carmen Electra, Kam Heskin, Victor Webster, Deryck Whibley, Guillermo Díaz, Jessica Collins, Noah Harpster, Jay Johnston, Bob Glouberman, Lochlyn Munro, Kathy Griffin, Brian George, Amy McCarthy, Jonathan Torrens, Roger Perry, Joyce Bulifant, Sum 41",Comedy
Touchstone Pictures / Imagine Entertainment,"Robert Schwentke (director); Peter A. Dowling, Billy Ray (screenplay); Jodie Foster, Peter Sarsgaard, Erika Christensen, Sean Bean, Marlene Lawston, Kate Beahan, Matt Bomer, Amanda Brooks, Jesse Burch, Assaf Cohen, Shane Edelman, David Farkas, Stephanie Faracy, Mary Gallagher, Christopher Gartin, Lois Hall, John Benjamin Hickey, Michael Irby, Jana Kolesarova, Forrest Landis, Haley Ramm, Greta Scacchi, Judith Scott, Brent Sexton, Fred Tungulsten, Kirk B.R. Woller",Thriller
Fox Searchlight Pictures,"Malcolm D. Lee (director); Norman Vance Jr. (screenplay); Bow Wow, Chi McBride, Mike Epps, Wesley Jonathan, Meagan Good, Nick Cannon, Kellita Smith, Khleo Thomas, Jurnee Smollett, Marcus T. Paulk, Brandon T. Jackson, Rick Gonzalez, Paul Wesley, Wayne Brady, Charlie Murphy, Darryl McDaniels","Comedy, Drama"
Walt Disney Pictures,"Bill Paxton (director); Mark Frost (screenplay); Shia LaBeouf, Stephen Dillane, Peter Firth, Elias Koteas, Luke Askew, Josh Flitter, Peyton List, Marnie McPhail, Len Cariou, Michael Sinelnikoff, Stephen Marcus, Max Kasch, Mike 'Nug' Nahrgang, Walter Massey, Justin Ashforth",Drama
New Line Cinema,"David Cronenberg (director); Josh Olson (screenplay); Viggo Mortensen, Maria Bello, Ed Harris, William Hurt, Ashton Holmes, Peter MacNeill, Stephen McHattie, Greg Bryk, Kyle Schmid, Aidan Devine, R.D. Reid, Morgan Kelly, Sumela Kay, Gerry Quigley, Deborah Drakeford, Heidi Hayes, Bill McDonald, Michelle McCree, Ian Matthews","Crime, Thriller, Drama"
