Film,Production,Cast
Spring Breakers,A24,"Harmony Korine (director/screenplay); James Franco, Selena Gomez, Vanessa Hudgens, Ashley Benson, Rachel Korine, Heather Morris, Gucci Mane"
Welcome to the Punch,IFC Films,"Eran Creevy (director/screenplay); James McAvoy, Mark Strong, Andrea Riseborough, Elyes Gabel, Peter Mullan, David Morrissey, Daniel Mays, Johnny Harris, Dannielle Brent, Jason Flemyng"
Admission,Focus Features,"Paul Weitz (director/screenplay); Karen Croner (screenplay); Tina Fey, Paul Rudd, Michael Sheen, Gloria Reuben, Wallace Shawn, Lily Tomlin"
The Croods,20th Century Fox / DreamWorks Animation,"Chris Sanders, Kirk DeMicco (directors/screenplay); Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener, Clark Duke, Cloris Leachman"
Inappropriate Comedy,Freestyle Releasing,"Vince Offer (director/Screenwriter); Ari Shaffir, Ken Pringle (screenplay); Rob Schneider, Michelle Rodriguez, Adrien Brody, Lindsay Lohan"
Love and Honor,IFC Films,"Danny Mooney (director); Jim Burnstein, Garrett K. Schiff (screenplay); Liam Hemsworth, Aimee Teegarden, Teresa Palmer, Austin Stowell"
Olympus Has Fallen,FilmDistrict,"Antoine Fuqua (director); Creighton Rothenburger, Katrin Benedikt (screenplay); Gerard Butler, Aaron Eckhart, Morgan Freeman, Rick Yune, Dylan McDermott, Angela Bassett, Radha Mitchell, Robert Forster, Ashley Judd, Melissa Leo"
Phil Spector,HBO Films,"David Mamet (director/screenplay); Al Pacino, Helen Mirren, Jeffrey Tambor, Chiwetel Ejiofor, Clara Mamet, James Tolkan, Natalia Nogulich, Rebecca Pidgeon, George Aguilar, David Aaron Baker, Matt Malloy, Jack Wallace, Dominic Hoffman, Jenn Lyon, Lauren Schacher, Martin Jarvis, Yolonda Ross, Alfredo Narciso, Stephen Tyrone Williams, Philip Martin, John Pirruccello, Matthew Rauch, Linda Miller"
Trance,Fox Searchlight Pictures / Pathé,"Danny Boyle (director); John Hodge, Joe Ahearne (screenplay); James McAvoy, Vincent Cassel, Rosario Dawson, Tuppence Middleton, Lee Nicholas Harris"
G.I. Joe: Retaliation,Paramount Pictures / Metro-Goldwyn-Mayer / Skydance Productions / Hasbro Studios / Di Bonaventura Pictures,"Jon Chu (director); Rhett Reese, Paul Wernick (screenplay); Channing Tatum, Ray Park, Dwayne Johnson, Bruce Willis, Élodie Yung, D. J. Cotrona, Adrianne Palicki, Ray Stevenson, Byung-hun Lee, Jonathan Pryce, RZA, Walton Goggins, Joseph Mazzello, DeRay Davis, Robert Baker, Arnold Vosloo, Luke Bracey"
Himmatwala,UTV Motion Pictures,"Sajid Khan (director/screenplay); Ajay Devgn, Tamannaah, Paresh Rawal, Adhyayan Suman, Zarina Wahab, Leena Jumani, Surveen Chawla, Amruta Khanvilkar, Sayantani Ghosh, Mona Thiba, Dheer Charan Srivastav"
The Host,Open Road Films,"Andrew Niccol (director/screenplay); Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger, William Hurt, Frances Fisher"
The Place Beyond the Pines,Focus Features / Sidney Kimmel Entertainment,"Derek Cianfrance (director/screenplay); Ben Coccio, Darius Marder (screenplay); Ryan Gosling, Bradley Cooper, Rose Byrne, Eva Mendes, Ray Liotta, Bruce Greenwood, Ben Mendelsohn, Dane DeHaan"
Temptation: Confessions of a Marriage Counselor,Lionsgate / Tyler Perry Studios,"Tyler Perry (director/screenplay); Jurnee Smollett, Lance Gross, Robbie Jones, Vanessa Williams, Kim Kardashian, Brandy Norwood, Ella Joyce"
Wrong,Drafthouse Films,"Mr. Oizo (director/screenplay); Jack Plotnick, Éric Judor, Alexis Dziena, Steve Little, William Fichtner, Regan Burns, Arden Myrin, Maile Flanagan, Gary Valentine"
Dragon Ball Z: Battle of Gods,Toei Company,"Masahiro Hosoda (director), Yūsuke Watanabe (screenplay); Masako Nozawa, Ryō Horikawa, Toshio Furukawa, Mayumi Tanaka, Tōru Furuya, Hikaru Midorikawa, Takeshi Kusao, Naoko Watanabe, Naoki Tatsuta, Masaharu Satō, Hiromi Tsuru, Miki Itō, Unshō Ishizuka, Kōzō Shioya, Yūko Minaguchi, Aya Hirano, Shigeru Chiba, Kenji Utsumi, Jōji Yanami, Ryūzaburō Ōtomo, Eiko Hisamura, Tesshō Genda"
Baadshah,Parameswara Art Productions,"Srinu Vaitla (director/screenplay); N. T. Rama Rao Jr., Kajal Aggarwal, Mukesh Rishi, Adithya, Kelly Dorji, Pradeep Rawat, Nassar, Ashish Vidyarthi, Sayaji Shinde, Brahmanandam, M. S. Narayana, Thagubothu Ramesh, Vennela Kishore, Chandra Mohan, Suhasini Maniratnam, Ajay, Pragathi, Siddharth, Navdeep, Meenakshi Dixit"
The Brass Teapot,Magnolia Pictures,"Ramaa Mosley (director); Tim Macy (screenplay); Juno Temple, Michael Angarano, Alexis Bledel, Alia Shawkat, Bobby Moynihan, Ben Rappaport, Billy Magnussen"
Evil Dead,TriStar Pictures / FilmDistrict / Ghost House Pictures,"Fede Álvarez (director/screenplay); Rodo Sayagues, Diablo Cody (screenplay); Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore"
Jurassic Park 3D,Universal Pictures,"Steven Spielberg (director); Michael Crichton, David Koepp (screenplay); Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero, Joseph Mazzello, Ariana Richards, Samuel L. Jackson, B. D. Wong, Wayne Knight, Miguel Sandoval, Jerry Molen, Cameron Thor, Christopher John Fields, Whitby Hertford, Dean Cundey, Greg Burson, Richard Kiley, Michael Lantieri"
Settai,UTV Motion Pictures,"R. Kannan (director/screenplay); G. Dhananjayan, John Mahendran (screenplay); Arya, Anjali, Hansika Motwani, Premji Amaren, N. Santhanam, Nassar, Ali, Sayaji Shinde, Subbu Panchu Arunachalam, Neetu Chandra"
Upstream Color,ERBP,"Shane Carruth (director/screenplay); Shane Carruth, Amy Seimetz, Andrew Sensenig, Thiago Martins, Frank Mosley, Meredith Burke, Myles McGee, Kathy Carruth, Carolyn King"
Fists of Legend,Cinema Service,"Kang Woo-suk (director); Jang Min-seok (screenplay); Hwang Jung-min, Yoo Jun-sang, Yoon Je-moon, Lee Yo-won, Jung Woong-in, Kwon Hyun-sang"
42,Warner Bros. Pictures / Legendary Pictures,"Brian Helgeland (director/screenplay); Harrison Ford, Chadwick Boseman, Christopher Meloni, Ryan Merriman, Andre Holland, Kelley Jakle, Brad Beyer, Toby Huss, T. R. Knight, Alan Tudyk, Hamish Linklater, John C. McGinley, Lucas Black, Nicole Beharie, C. J. Nitkowski, Brett Cullen"
Disconnect,LD Entertainment,"Henry Alex-Rubin (director); Andrew Stern (screenplay); Jason Bateman, Hope Davis, Frank Grillo, Michael Nyqvist, Paula Patton, Andrea Riseborough, Alexander Skarsgård, Max Thieriot, Colin Ford, Jonah Bobo, Haley Ramm"
It's a Disaster,Oscilloscope Laboratories,"Todd Berger (director/screenplay); Rachel Boston, David Cross, America Ferrera, Julia Stiles, Jeff Grace, Erinn Hayes, Kevin M. Brennan, Blaise Miller"
Scary Movie 5,Dimension Films,"Malcolm D. Lee (director/screenplay); David Zucker, Pat Proft (screenplay); Ashley Tisdale, Simon Rex, Erica Ash, Katrina Bowden, Terry Crews, Heather Locklear, J. P. Manoux, Mac Miller, Jerry O'Connell, Molly Shannon, Snoop Dogg, Kate Walsh, Katt Williams"
Java Heat,IFC Films,"Conor Allyn (director); Rob Allyn (screenplay); Kellan Lutz, Mickey Rourke, Atiqah Hasiholan, Ario Bayu, Uli Auliani, Nick McKinless, Mike Muliadro, Mike Duncan, Rio Dewanto, Brent Duke"
Home Run,Samuel Goldwyn Films / Provident Films,"David Boyd (director); Brian Brightly, Candace Lee, Eric Newman, Melanie Wistar (Screenplay); Scott Elrod, Dorian Brown, Vivica A. Fox, Charles Henry Wyson"
The Lords of Salem,Anchor Bay Films,"Rob Zombie (director/screenwriter); Sheri Moon Zombie, Bruce Davison, Jeff Daniel Phillips, Meg Foster, Sid Haig, Lisa Marie"
Oblivion,Universal Pictures / Relativity Media,"Joseph Kosinski (director); William Monahan, Michael Arndt, Karl Gajdusek (screenplay); Tom Cruise, Olga Kurylenko, Andrea Riseborough, Morgan Freeman, Nikolaj Coster-Waldau, Melissa Leo, Zoë Bell"
At Any Price,Sony Pictures Classics,"Ramin Bahrani (director/screenplay); Zac Efron, Dennis Quaid, Heather Graham, Clancy Brown, Chelcie Ross, Kim Dickens, Red West, Ben Marten, Maika Monroe, Sophie Curtis"
Arthur Newman,Cinedigm Entertainment,"Dante Ariola (director) Becky Johnston (screenplay); Colin Firth, Emily Blunt, Anne Heche, Sterling Beaumon, David Andrews, Peter Jurasik, Lucas Hedges, Steve Coulter, Michael Beasley, Nicole LaLiberte, Autumn Dial"
The Big Wedding,Lionsgate / Millennium Films,"Justin Zackham (director/screenplay); Robert De Niro, Katherine Heigl, Diane Keaton, Amanda Seyfried, Topher Grace, Ben Barnes, Christine Ebersole, Susan Sarandon, Robin Williams"
The Look of Love,Film4 Productions,"Michael Winterbottom (director) Matt Greenhalgh (screenplay); Steve Coogan, Imogen Poots, Anna Friel, Tamsin Egerton, David Walliams, Chris Addison, Shirley Henderson, James Lance, Paul Popplewell, Sarah Solemani, Vera Filatova, Matthew Beard, Simon Bird, Kieran O'Brien, Matt Lucas, Stephen Fry, Miles Jupp, Peter Wight, Liam Boyle"
Mud,Lionsgate / Roadside Attractions,"Jeff Nichols (director/screenplay); Matthew McConaughey, Reese Witherspoon, Michael Shannon, Sarah Paulson, Sam Shepard, Stuart Greer, Joe Don Baker, Paul Sparks, Ray McKinnon, Tye Sheridan, Jacob Lofland, Michael Abbott Jr."
Pain & Gain,Paramount Pictures,"Michael Bay (director); Christopher Markus, Stephen McFeely, Scott Rosenberg (screenplay); Mark Wahlberg, Dwayne Johnson, Ed Harris, Ken Jeong, Anthony Mackie, Tony Shalhoub, Rebel Wilson, Rob Corddry"
So Young,China Film Group Corporation,"Zhao Wei (director); Li Qiang (screenplay); Mark Chao, Tong Liya, Han Geng, Pan Hong, Yang Lan, Han Hong, Yang Zishan, Jiang Shuying, Bao Beier, Zheng Kai, Zhang Yao, Liu Yase, Wang Jiajia, Huang Ming"
Iron Man 3,Marvel Studios,"Shane Black (director/screenplay); Drew Pearce (screenplay); Robert Downey Jr., Ben Kingsley, Don Cheadle, Gwyneth Paltrow, Guy Pearce, James Badge Dale, Ashley Hamilton, Rebecca Hall, Jon Favreau, Paul Bettany, Stéphanie Szostak, William Sadler"
Bombay Talkies,Viacom18 Motion Pictures,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee (director); Amitabh Bachchan, Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Vineet Kumar, Sadashiv Amrapurkar, Katrina Kaif"
Greetings from Tim Buckley,Focus World,"Daniel Algrant (director/screenplay); Emma Sheanshang, David Brendel (Screenplay); Penn Badgley, Ben Rosenfield, Imogen Poots, Frank Wood, Norbert Leo Butz, Frank Bello, William Sadler, Kate Nash"
The Iceman,Millennium Entertainment,"Ariel Vromen (director/screenplay); Morgan Land (screenplay), Michael Shannon, Winona Ryder, Chris Evans, Ray Liotta, James Franco, David Schwimmer, Stephen Dorff, Erin Cummings, Robert Davi"
Kiss of the Damned,Magnolia Pictures,"Alexandra Cassavetes (director/screenplay); Milo Ventimiglia, Joséphine de La Baume, Roxane Mesquida, Anna Mouglalis"
Shootout at Wadala,Balaji Motion Pictures,"Sanjay Gupta (director/screenplay); Sanjay Bhatia, Abhijit Deshpand (screenplay); John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangana Ranaut"
What Maisie Knew,Millennium Entertainment,"Scott McGehee, David Siegel (director); Nancy Doyne, Carroll Cartwright (screenplay); Julianne Moore, Steve Coogan, Alexander Skarsgård, Joanna Vanderham, Onata Aprile"
Aftershock,Dimension Films,"Nicolas Lopez (director/screenplay); Eli Roth, Guillermo Amoedo (screenplay); Eli Roth, Andrea Osvárt, Selena Gomez, Ariel Levy, Nicolas Martinez, Lorenza Izzo, Natasha Yarovenko"
Go Goa Gone,Eros International,"Raj Nidimoru and Krishna D.K. (director/Screenplay); Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta, Anand Tiwari"
The Great Gatsby,Warner Bros. Pictures / Village Roadshow Pictures,"Baz Luhrmann (director/screenplay); Leonardo DiCaprio, Tobey Maguire, Joel Edgerton, Carey Mulligan, Isla Fisher, Jason Clarke, Elizabeth Debicki, Amitabh Bachchan"
He's Way More Famous Than You,Gravitas Ventures,"Michael Urie (director); Halley Feiffer, Ryan Spahn (screenplay); Michael Urie, Jesse Eisenberg, Halley Feiffer, Ben Stiller, Vanessa L. Williams, Mamie Gummer"
No One Lives,Anchor Bay Films,"Ryuhei Kitamura (director); David Cohen (screenplay); Luke Evans, Adelaide Clemens, America Olivo, Derek Magyar, Lindsey Shaw, Brodus Clay"
