Film,Production,Cast
Fifty Shades of Black,Open Road Films,"Michael Tiddes (director); Marlon Wayans, Kali Hawk, Affion Crockett, Jane Seymour, Andrew Bachelor, Florence Henderson, Jenny Zigrino, Fred Willard, Mike Epps"
Jane Got a Gun,The Weinstein Company,"Gavin O'Connor (director); Natalie Portman, Joel Edgerton, Noah Emmerich, Rodrigo Santoro, Boyd Holbrook, Ewan McGregor"
"Hail, Caesar!",Universal Pictures / Working Title Films / Mike Zoss Productions,"Joel Coen, Ethan Coen (directors/screenplay); Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes, Jonah Hill, Scarlett Johansson, Frances McDormand, Tilda Swinton, Channing Tatum"
Pride and Prejudice and Zombies,Screen Gems / Cross Creek Pictures,"Burr Steers (director); Lily James, Sam Riley, Jack Huston, Bella Heathcote, Douglas Booth, Matt Smith, Charles Dance, Lena Headey"
The Choice,Lionsgate,"Ross Katz (director); Benjamin Walker, Teresa Palmer, Maggie Grace, Alexandra Daddario, Tom Welling, Tom Wilkinson"
Deadpool,20th Century Fox / Marvel Enterprises,"Tim Miller (director); Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Brianna Hildebrand"
Zoolander 2,Paramount Pictures / Red Hour Films,"Ben Stiller (director); Ben Stiller, Owen Wilson, Will Ferrell, Penélope Cruz, Kristen Wiig, Fred Armisen"
How to Be Single,Warner Bros. Pictures / New Line Cinema / Metro-Goldwyn-Mayer / RatPac-Dune Entertainment,"Christian Ditter (director); Dakota Johnson, Rebel Wilson, Damon Wayans Jr., Anders Holm, Alison Brie, Nicholas Braun, Jake Lacy, Jason Mantzoukas, Leslie Mann"
Risen,Columbia Pictures,"Kevin Reynolds (director); Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis"
The Witch,A24,"Robert Eggers (director/screenplay); Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw, Ellie Grainger, Lucas Dawson"
Race,Entertainment One,"Stephen Hopkins (director); Stephan James, Jason Sudeikis, Jeremy Irons, Carice van Houten, William Hurt"
"Crouching Tiger, Hidden Dragon: Sword of Destiny",The Weinstein Company / China Film Group / Yucaipa Companies / Netflix,"Yuen Woo-ping (director); Donnie Yen, Michelle Yeoh"
Gods of Egypt,Summit Entertainment / Thunder Road Films,"Alex Proyas (director); Nikolaj Coster-Waldau, Gerard Butler, Brenton Thwaites, Chadwick Boseman, Élodie Yung, Courtney Eaton, Rufus Sewell, Geoffrey Rush"
Triple 9,Open Road Films,"John Hillcoat (director); Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Clifton Collins Jr., Norman Reedus, Teresa Palmer, Michael K. Williams, Gal Gadot, Woody Harrelson, Kate Winslet"
Eddie the Eagle,20th Century Fox,"Dexter Fletcher (director); Taron Egerton, Hugh Jackman, Christopher Walken, Iris Berben, Jim Broadbent"
Zootopia,Walt Disney Pictures / Walt Disney Animation Studios,"Byron Howard, Rich Moore (directors); Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J. K. Simmons, Octavia Spencer, Alan Tudyk, Shakira"
London Has Fallen,Focus Features,"Babak Najafi (director); Gerard Butler, Aaron Eckhart, Morgan Freeman, Alon Moni Aboutboul, Angela Bassett, Robert Forster, Jackie Earle Haley, Melissa Leo, Radha Mitchell, Sean O'Bryan, Waleed Zuaiter"
Whiskey Tango Foxtrot,Paramount Pictures,"Glenn Ficarra, John Requa (directors); Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina, Billy Bob Thornton"
The Other Side of the Door,20th Century Fox,"Johannes Roberts (director); Sarah Wayne Callies, Jeremy Sisto"
Open Season: Scared Silly,Sony Pictures Home Entertainment / Sony Pictures Animation,"David Feiss (director); Donny Lucas, Will Townsend, Melissa Sturm, Trevor Devall, Garry Chalk, Kathleen Barr"
10 Cloverfield Lane,Paramount Pictures / Bad Robot Productions,"Dan Trachtenberg (director); Josh Campbell, Matt Stuecken, Damien Chazelle (screenplay); Mary Elizabeth Winstead, John Goodman, John Gallagher Jr."
The Brothers Grimsby,Columbia Pictures / Village Roadshow Pictures / Four By Two Films,"Louis Leterrier (director); Sacha Baron Cohen, Phil Johnston (screenplay); Sacha Baron Cohen, Mark Strong, Rebel Wilson, Penélope Cruz, Isla Fisher, Gabourey Sidibe"
The Young Messiah,Focus Features,"Cyrus Nowrasteh (director); Adam Greaves-Neal, Sean Bean, David Bradley, Lee Boardman, Jonathan Bailey, David Burke"
The Perfect Match,Lionsgate / Codeblack Films,"Bille Woodruff (director); Terrence J, Cassie Ventura, Donald Faison, Dascha Polanco, Robert Christopher Riley, Lauren London, Joe Pantoliano, Paula Patton"
"Hello, My Name Is Doris",Roadside Attractions / Stage 6 Films,"Michael Showalter (director); Sally Field, Max Greenfield, Beth Behrs, Wendi McLendon-Covey, Stephen Root, Elizabeth Reaser, Natasha Lyonne, Tyne Daly"
Miracles from Heaven,Columbia Pictures,"Patricia Riggen (director); Jennifer Garner, Kylie Rogers, Martin Henderson, John Carroll Lynch, Eugenio Derbez, Queen Latifah"
The Divergent Series: Allegiant,Summit Entertainment / Red Wagon Entertainment,"Robert Schwentke (director); Shailene Woodley, Theo James, Jeff Daniels, Miles Teller, Ansel Elgort, Zoë Kravitz, Maggie Q, Ray Stevenson, Bill Skarsgård, Octavia Spencer, Naomi Watts"
The Bronze,Sony Pictures Classics,"Bryan Buckley (director); Melissa Rauch, Gary Cole, Thomas Middleditch, Sebastian Stan, Cecily Strong, Haley Lu Richardson"
Midnight Special,Warner Bros. Pictures / RatPac-Dune Entertainment,"Jeff Nichols (director); Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver, Jaeden Martell, Sam Shepard"
Batman v Superman: Dawn of Justice,Warner Bros. Pictures / RatPac-Dune Entertainment / DC Entertainment / Atlas Entertainment / Cruel and Unusual Films,"Zack Snyder (director); Chris Terrio, David S. Goyer (screenplay); Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter, Gal Gadot"
My Big Fat Greek Wedding 2,Universal Pictures / Gold Circle Films / Playtone,"Kirk Jones (director); Nia Vardalos, John Corbett, Lainie Kazan, Gia Carides, Joey Fatone, Louis Mandylor, Andrea Martin, Michael Constantine"
I Saw the Light,Sony Pictures Classics / RatPac Entertainment / Creative Wealth Media Finance / Bron Studios,"Marc Abraham (director); Tom Hiddleston, Elizabeth Olsen, Cherry Jones, Bradley Whitford, Maddie Hasson, Wrenn Schmidt"
Everybody Wants Some!!,Paramount Pictures / Annapurna Pictures,"Richard Linklater (director); Will Brittain, Zoey Deutch, Ryan Guzman, Tyler Hoechlin, Blake Jenner, J. Quinton Johnson, Glen Powell, Wyatt Russell, Austin Amelio, Temple Baker, Tanner Kalina, Juston Street, Forrest Vickery"
God's Not Dead 2,Pure Flix,"Harold Cronk (director); Melissa Joan Hart, Jesse Metcalfe, David A. R. White, Ernie Hudson, Hayley Orrantia, Robin Givens, Fred Dalton Thompson, Maria Canals-Barrera, Sadie Robertson, Pat Boone, Ray Wise"
Meet the Blacks,Freestyle Releasing,"Deon Taylor (director); Mike Epps, Gary Owen, Zulay Henao, Bresha Webb, Lil Duval, King Bach, Charlie Murphy, George Lopez, Mike Tyson"
Miles Ahead,Sony Pictures Classics,"Don Cheadle (director); Don Cheadle, Ewan McGregor, Emayatzy Corinealdi, LaKeith Stanfield, Michael Stuhlbarg"
Pandemic,XLrator Media,"John Suits (director); Rachel Nichols, Alfie Allen, Paul Guilfoyle, Pat Healy, Danielle Rose Russell, Missi Pyle, Mekhi Phifer"
The Boss,Universal Pictures / Gary Sanchez Productions / On The Day Productions,"Ben Falcone (director); Melissa McCarthy, Kristen Bell, Kathy Bates, Tyler Labine, Peter Dinklage"
Hardcore Henry,STXfilms,"Ilya Naishuller (director); Sharlto Copley, Danila Kozlovsky, Haley Bennett, Svetlana Ustinova, Tim Roth"
Demolition,Fox Searchlight Pictures,"Jean-Marc Vallée (director); Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis"
The Invitation,Drafthouse Films,"Karyn Kusama (director); Logan Marshall-Green, Tammy Blanchard, Michiel Huisman, Emayatzy Corinealdi, Lindsay Burdge, Michelle Krusiec, Mike Doyle, Jay Larson, John Carroll Lynch"
Hush,Netflix,"Mike Flanagan (director); John Gallagher Jr., Michael Trucco, Kate Siegel"
The Jungle Book,Walt Disney Pictures / Fairview Entertainment,"Jon Favreau (director); Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken"
Barbershop: The Next Cut,Warner Bros. Pictures / New Line Cinema / Metro-Goldwyn-Mayer,"Malcolm D. Lee (director); Ice Cube, Cedric the Entertainer, Regina Hall, Anthony Anderson, Eve, J. B. Smoove, Lamorne Morris, Sean Patrick Thomas, Tyga, Deon Cole, Common, Nicki Minaj"
Criminal,Summit Entertainment / Millennium Films,"Ariel Vromen (director); Kevin Costner, Gary Oldman, Tommy Lee Jones, Alice Eve, Gal Gadot, Michael Pitt, Jordi Mollà, Antje Traue, Scott Adkins, Ryan Reynolds, Amaury Nolasco"
Green Room,A24,"Jeremy Saulnier (director); Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole, Callum Turner, Patrick Stewart"
The Huntsman: Winter's War,Universal Pictures / Perfect World Pictures / Roth Films,"Cedric Nicolas-Troyan (director); Chris Hemsworth, Charlize Theron, Emily Blunt, Nick Frost, Sam Claflin, Rob Brydon, Jessica Chastain"
A Hologram for the King,Lionsgate / Roadside Attractions / Saban Films,"Tom Tykwer (director); Tom Hanks, Omar Elba, Sarita Choudhury, Sidse Babett Knudsen, Ben Whishaw, Tom Skerritt"
Elvis & Nixon,Amazon Studios / Bleecker Street,"Liza Johnson (director); Michael Shannon, Kevin Spacey, Alex Pettyfer, Johnny Knoxville, Colin Hanks, Evan Peters, Sky Ferreira, Tracy Letts, Tate Donovan, Ashley Benson"
Precious Cargo,Lionsgate Premiere,"Max Adams (director/screenplay); Paul V. Seetachitt (screenplay); Mark-Paul Gosselaar, Bruce Willis"
Keanu,Warner Bros. Pictures,"Peter Atencio (director); Jordan Peele, Alex Rubens (screenplay); Jordan Peele, Keegan-Michael Key, Tiffany Haddish, Method Man, Luis Guzmán, Nia Long, Will Forte"
Mother's Day,Open Road Films,"Garry Marshall (director); Jennifer Aniston, Kate Hudson, Shay Mitchell, Julia Roberts, Jason Sudeikis, Britt Robertson, Timothy Olyphant, Héctor Elizondo, Jack Whitehall"
Ratchet & Clank,Gramercy Pictures / PlayStation Originals / Rainmaker Entertainment / Blockade Entertainment,"Kevin Munroe (director); Paul Giamatti, John Goodman, Bella Thorne, Rosario Dawson, Jim Ward, Armin Shimerman, Vincent Tong, Andrew Cownden, James Arnold Taylor, David Kaye, Sylvester Stallone"
Captain America: Civil War,Marvel Studios / Walt Disney Studios Motion Pictures,"Anthony Russo, Joe Russo (directors); Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Marisa Tomei, Tom Holland, Frank Grillo, Martin Freeman, William Hurt, Daniel Brühl"
Money Monster,TriStar Pictures,"Jodie Foster (director); George Clooney, Julia Roberts, Jack O'Connell, Dominic West, Caitríona Balfe, Giancarlo Esposito"
Sundown,Pantelion Films,"Fernando Lebrija (director); Devon Werkheiser, Sean Marquette, Camilla Belle"
The Darkness,Blumhouse Productions / Universal Pictures,"Greg McLean (director); Kevin Bacon, Radha Mitchell, Jennifer Morrison, Lucy Fry, David Mazouz, Ming-Na Wen, Paul Reiser"
Love & Friendship,Amazon Studios / Roadside Attractions,"Whit Stillman (director); Kate Beckinsale, Xavier Samuel, Emma Greenwell, Morfydd Clark, Jemma Redgrave, Tom Bennett, James Fleet, Justin Edwards, Jenn Murray, Stephen Fry, Chloë Sevigny"
The Angry Birds Movie,Columbia Pictures / Rovio Animation,"Clay Kaytis (director); Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph, Sean Penn, Bill Hader, Peter Dinklage"
Neighbors 2: Sorority Rising,Universal Pictures,"Nicholas Stoller (director); Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz, Dave Franco, Ike Barinholtz"
The Nice Guys,Warner Bros. Pictures / Silver Pictures / Waypoint Entertainment,"Shane Black (director); Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Keith David, Kim Basinger"
X-Men: Apocalypse,20th Century Fox / TSG Entertainment / Bad Hat Harry Productions / Marvel Entertainment / The Donners' Company,"Bryan Singer (director); Simon Kinberg (screenplay); James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac, Nicholas Hoult, Rose Byrne, Tye Sheridan, Sophie Turner, Olivia Munn, Lucas Till"
Alice Through the Looking Glass,Walt Disney Pictures,"James Bobin (director); Johnny Depp, Anne Hathaway, Mia Wasikowska, Rhys Ifans, Helena Bonham Carter, Sacha Baron Cohen, Alan Rickman, Stephen Fry, Michael Sheen, Timothy Spall"
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures / Nickelodeon Movies / Platinum Dunes,"Dave Green (director); Megan Fox, Will Arnett, Laura Linney, Stephen Amell, Noel Fisher, Jeremy Howard, Pete Ploszek, Alan Ritchson, Tyler Perry, Gary Anthony Williams, Brian Tee, Sheamus"
Me Before You,Warner Bros. Pictures,"Thea Sharrock (director); Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance, Brendan Coyle"
Popstar: Never Stop Never Stopping,Universal Pictures / Perfect World Pictures,"Akiva Schaffer, Jorma Taccone (directors); Andy Samberg, Jorma Taccone, Akiva Schaffer, Sarah Silverman, Tim Meadows"
The Conjuring 2,Warner Bros. Pictures / New Line Cinema / RatPac-Dune Entertainment,"James Wan (director); Vera Farmiga, Patrick Wilson, Frances O'Connor, Madison Wolfe, Simon McBurney, Franka Potente"
Warcraft,Universal Pictures / Legendary Pictures / Blizzard Entertainment / Atlas Entertainment,"Duncan Jones (director); Charles Leavitt, Duncan Jones (screenplay); Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper, Toby Kebbell, Ben Schnetzer, Robert Kazinsky, Daniel Wu"
Now You See Me 2,Summit Entertainment,"Jon M. Chu (director); Ed Solomon (screenplay); Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco, Daniel Radcliffe, Lizzy Caplan, Jay Chou, Sanaa Lathan, Michael Caine, Morgan Freeman"
Finding Dory,Walt Disney Pictures / Pixar Animation Studios,"Andrew Stanton (director); Ellen DeGeneres, Albert Brooks, Hayden Rolence, Ed O'Neill, Kaitlin Olson, Ty Burrell, Diane Keaton, Eugene Levy"
Central Intelligence,Warner Bros. Pictures / New Line Cinema / RatPac-Dune Entertainment / Perfect World Pictures / Bluegrass Films,"Rawson Marshall Thurber (director); Dwayne Johnson, Kevin Hart, Amy Ryan, Aaron Paul"
Independence Day: Resurgence,20th Century Fox / TSG Entertainment / Centropolis Entertainment / Electric Entertainment,"Roland Emmerich (director); Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe, Travis Tope, William Fichtner, Charlotte Gainsbourg, Judd Hirsch"
The Shallows,Columbia Pictures,"Jaume Collet-Serra (director); Blake Lively, Óscar Jaenada, Brett Cullen"
Free State of Jones,STX Entertainment,"Gary Ross (director); Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell"
The Neon Demon,Amazon Studios / Broad Green Pictures,"Nicolas Winding Refn (director/story); Elle Fanning, Karl Glusman, Jena Malone, Bella Heathcote, Abbey Lee, Desmond Harrington, Christina Hendricks, Keanu Reeves"
Swiss Army Man,A24,"Daniel Scheinert, Daniel Kwan (directors/screenplay); Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead"
The Legend of Tarzan,Warner Bros. Pictures / Village Roadshow Pictures / RatPac-Dune Entertainment,"David Yates (director); Alexander Skarsgård, Samuel L. Jackson, Margot Robbie, Djimon Hounsou, Jim Broadbent, Christoph Waltz"
The BFG,Walt Disney Pictures / Amblin Entertainment,"Steven Spielberg (director); Melissa Mathison (screenplay); Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement, Rebecca Hall, Rafe Spall, Bill Hader"
The Purge: Election Year,Universal Pictures / Blumhouse Productions,"James DeMonaco (director); Frank Grillo, Elizabeth Mitchell, Mykelti Williamson"
Marauders,Lionsgate Premiere,"Steven C. Miller (director); Michael Cody, Chris Sivertson (screenplay); Christopher Meloni, Bruce Willis, Dave Bautista, Adrian Grenier, Johnathon Schaech, Texas Battle"
The Secret Life of Pets,Universal Pictures / Illumination Entertainment,"Chris Renaud, Yarrow Cheney (directors); Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper, Lake Bell, Dana Carvey, Hannibal Buress, Bobby Moynihan, Steve Coogan, Albert Brooks"
Captain Fantastic,Bleecker Street,"Viggo Mortensen, Frank Langella, Kathryn Hahn, Steve Zahn, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Trin Miller, Erin Moriarty, Missi Pyle, Ann Dowd"
Mike and Dave Need Wedding Dates,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Jake Szymanski (director); Zac Efron, Anna Kendrick, Adam DeVine, Aubrey Plaza, Stephen Root"
Characterz,MarVista Entertainment,Jon Binkowski (director); Mitchel Musso
The Infiltrator,Broad Green Pictures,"Brad Furman (director); Bryan Cranston, Diane Kruger, Benjamin Bratt, John Leguizamo, Amy Ryan"
Café Society,Lionsgate / Amazon Studios,"Woody Allen (director); Jeannie Berlin, Steve Carell, Jesse Eisenberg, Blake Lively, Parker Posey, Kristen Stewart, Corey Stoll, Ken Stott"
Ghostbusters,Columbia Pictures / Village Roadshow Pictures / GhostCorps,"Paul Feig (director); Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones, Chris Hemsworth"
Star Trek Beyond,Paramount Pictures / Skydance Media / Bad Robot Productions,"Justin Lin (director); Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Idris Elba"
Batman: The Killing Joke,Fathom Events / Warner Bros. Pictures,"Sam Liu (director); Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, Brian George, JP Karliak"
Ice Age: Collision Course,20th Century Fox / Blue Sky Studios,"Mike Thurmeier, Galen T. Chu (directors); Ray Romano, John Leguizamo, Denis Leary, Josh Peck, Simon Pegg, Seann William Scott, Jennifer Lopez, Queen Latifah, Chris Wedge"
Lights Out,Warner Bros. Pictures / New Line Cinema / RatPac-Dune Entertainment / Atomic Monster Productions,David F. Sandberg (director); Teresa Palmer
Nerve,Lionsgate,"Henry Joost, Ariel Schulman (directors); Emma Roberts, Dave Franco"
Jason Bourne,Universal Pictures / The Kennedy/Marshall Company / Perfect World Pictures,"Paul Greengrass (director); Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel, Julia Stiles, Riz Ahmed"
Bad Moms,STX Entertainment,"Jon Lucas, Scott Moore (directors); Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, Annie Mumolo, Jada Pinkett Smith, Christina Applegate"
Suicide Squad,Warner Bros. Pictures / DC Entertainment / RatPac-Dune Entertainment / Atlas Entertainment,"David Ayer (director/screenplay); Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis"
Nine Lives,EuropaCorp,"Barry Sonnenfeld (director); Kevin Spacey, Jennifer Garner, Robbie Amell, Cheryl Hines, Malina Weissman, Christopher Walken"
Pete's Dragon,Walt Disney Pictures,"David Lowery (director); David Lowery, Toby Halbrooks (screenplay); Bryce Dallas Howard, Oakes Fegley, Wes Bentley, Karl Urban, Oona Laurence, Robert Redford"
Sausage Party,Columbia Pictures / Annapurna Pictures / Point Grey Pictures,"Conrad Vernon, Greg Tiernan (directors); Seth Rogen, Kristen Wiig, Michael Cera, James Franco, Bill Hader, Salma Hayek, Jonah Hill, Anders Holm, Nick Kroll, David Krumholtz, Danny McBride, Edward Norton, Craig Robinson, Paul Rudd"
Florence Foster Jenkins,Paramount Pictures / Pathé / BBC Film,"Stephen Frears (director); Meryl Streep, Hugh Grant"
Hell or High Water,Lionsgate / CBS Films / Sidney Kimmel Entertainment / OddLot Entertainment,"David Mackenzie (director); Taylor Sheridan (screenplay); Jeff Bridges, Chris Pine, Ben Foster, Gil Birmingham"
Ben-Hur,Paramount Pictures / Metro-Goldwyn-Mayer,"Timur Bekmambetov (director); Jack Huston, Toby Kebbell, Rodrigo Santoro, Morgan Freeman, Nazanin Boniadi"
Kubo and the Two Strings,Focus Features / Laika,"Travis Knight (director); Charlize Theron, Art Parkinson, Ralph Fiennes, George Takei, Cary-Hiroyuki Tagawa, Brenda Vaccaro, Rooney Mara, Matthew McConaughey"
War Dogs,Warner Bros. Pictures,"Todd Phillips (director); Jonah Hill, Miles Teller, Ana de Armas, Bradley Cooper"
Mechanic: Resurrection,Summit Premiere / Millennium Films,"Dennis Gansel (director); Jason Statham, Jessica Alba, Tommy Lee Jones, Michelle Yeoh"
Don't Breathe,Screen Gems / Stage 6 Films,"Fede Álvarez (director); Jane Levy, Dylan Minnette, Daniel Zovatto, Stephen Lang"
Hands of Stone,The Weinstein Company,"Jonathan Jakubowicz (director); Édgar Ramírez, Robert De Niro, Usher"
The 9th Life of Louis Drax,Summit Premiere / Miramax / Soda Pictures,"Alexandre Aja (director); Max Minghella (screenplay); Jamie Dornan, Sarah Gadon, Aiden Longworth, Oliver Platt, Molly Parker, Julian Wadham, Jane McGregor, Barbara Hershey, Aaron Paul"
The Light Between Oceans,Touchstone Pictures / DreamWorks Pictures / Reliance Entertainment / Participant Media / Heyday Films,"Derek Cianfrance (director); Michael Fassbender, Alicia Vikander, Rachel Weisz"
Morgan,20th Century Fox,"Luke Scott (director); Kate Mara, Anya Taylor-Joy, Toby Jones, Rose Leslie, Boyd Holbrook, Michelle Yeoh, Jennifer Jason Leigh, Paul Giamatti"
Sully,Warner Bros. Pictures / Village Roadshow Pictures / RatPac-Dune Entertainment / The Kennedy/Marshall Company,"Clint Eastwood (director); Tom Hanks, Aaron Eckhart, Laura Linney"
When the Bough Breaks,Screen Gems,"Jon Cassar (director); Morris Chestnut, Regina Hall, Jaz Sinclair"
Robinson Crusoe,StudioCanal,"Vincent Kesteloot, Ben Stassen (director); Matthias Schweighöfer, Kaya Yanar, Cindy aus Marzahn, Dieter Hallervorden, Aylin Tezel"
The Disappointments Room,Rogue,"D. J. Caruso (director); Kate Beckinsale, Mel Raido, Gerald McRaney, Lucas Till"
Bridget Jones's Baby,Universal Pictures / StudioCanal / Miramax Films / Working Title Films / Perfect World Pictures,"Sharon Maguire (director); Renée Zellweger, Colin Firth, Patrick Dempsey, Jim Broadbent, Gemma Jones, Emma Thompson"
Snowden,Open Road Films,"Oliver Stone (director); Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo, Zachary Quinto, Tom Wilkinson, Scott Eastwood, Logan Marshall-Green, Timothy Olyphant, Ben Schnetzer, Lakeith Stanfield, Rhys Ifans, Nicolas Cage"
Blair Witch,Lionsgate / Vertigo Entertainment,"Adam Wingard (director); James Allen McCune, Callie Hernandez, Brandon Scott, Corbin Reid, Valorie Curry"
Hillsong: Let Hope Rise,Pure Flix,"Michael John Warren (director); Joel Houston, Michael Guy Chislett"
The Magnificent Seven,Metro-Goldwyn-Mayer / Columbia Pictures / Village Roadshow Pictures,"Antoine Fuqua (director); Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun, Manuel Garcia-Rulfo, Martin Sensmeier, Peter Sarsgaard, Haley Bennett"
Storks,Warner Bros. Pictures / Warner Animation Group / RatPac-Dune Entertainment,"Nicholas Stoller, Doug Sweetland (directors); Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston, Ty Burrell, Keegan-Michael Key, Jordan Peele, Danny Trejo"
Miss Peregrine's Home for Peculiar Children,20th Century Fox,"Tim Burton (director); Eva Green, Asa Butterfield, Chris O'Dowd, Allison Janney, Rupert Everett, Terence Stamp, Ella Purnell, Judi Dench, Samuel L. Jackson"
Deepwater Horizon,Summit Entertainment / Participant Media,"Peter Berg (director); Mark Wahlberg, Kurt Russell, John Malkovich, Gina Rodriguez, Dylan O'Brien, Kate Hudson"
Queen of Katwe,Walt Disney Pictures / ESPN Films,"Mira Nair (director); Madina Nalwanga, David Oyelowo, Lupita Nyong'o"
Masterminds,Relativity Media,"Jared Hess (director); Zach Galifianakis, Owen Wilson, Kristen Wiig, Kate McKinnon, Leslie Jones, Jason Sudeikis"
The Girl on the Train,Universal Pictures / DreamWorks Pictures / Reliance Entertainment,"Tate Taylor (director); Emily Blunt, Rebecca Ferguson, Haley Bennett, Justin Theroux, Luke Evans, Allison Janney, Édgar Ramírez, Lisa Kudrow"
The Birth of a Nation,Fox Searchlight Pictures,"Nate Parker (director); Nate Parker, Armie Hammer, Colman Domingo, Aja Naomi King, Jackie Earle Haley, Penelope Ann Miller, Gabrielle Union"
