Film,Production,Cast
Fear,Hidden Empire Releasing,"Deon Taylor (director/screenplay); John Ferry (screenplay); Joseph Sikora, King Bach, Annie Ilonzeh, Iddo Goldberg, Ruby Modine"
Knock at the Cabin,Universal Pictures / Blinding Edge Pictures / FilmNation Entertainment,"M. Night Shyamalan (director/screenplay); Steve Desmond, Michael Sherman (screenplay); Dave Bautista, Jonathan Groff, Ben Aldridge, Nikki Amuka-Bird, Kristen Cui, Abby Quinn, Rupert Grint"
80 for Brady,Paramount Pictures / Fifth Season,"Kyle Marvin (director/screenplay); Emily Halpern, Sarah Haskins, Michael Covino (screenplay); Lily Tomlin, Jane Fonda, Rita Moreno, Sally Field, Tom Brady"
The Locksmith,Screen Media Films,"Nicolas Harvard (director); John Glosser, Joe Russo, Chris LaMont, Ben Kabialis (screenplay); Ryan Phillippe, Kate Bosworth, Ving Rhames"
Baby Ruby,Magnet Releasing / FilmNation Entertainment,"Bess Wohl (director/screenplay); Noémie Merlant, Kit Harington, Meredith Hagner"
Freedom's Path,Xenon Pictures,"Brett Smith (director/screenplay); Gerran Howell, RJ Cyler, Ewen Bremner, Harrison Gilbertson"
Magic Mike's Last Dance,Warner Bros. Pictures,"Steven Soderbergh (director); Reid Carolin (screenplay); Channing Tatum, Salma Hayek Pinault"
Sharper,Apple TV+ / A24 / IAC Films,"Benjamin Caron (director); Brian Gatewood, Alessandro Takara (screenplay); Julianne Moore, Sebastian Stan, Justice Smith, Briana Middleton, John Lithgow"
Your Place or Mine,Netflix / Aggregate Films / Hello Sunshine,"Aline Brosh McKenna (director/screenplay); Reese Witherspoon, Ashton Kutcher, Jesse Williams, Tig Notaro, Zoë Chao, Steve Zahn"
Somebody I Used to Know,Amazon Studios / Black Bear Pictures / Temple Hill Entertainment,"Dave Franco (director/screenplay); Alison Brie (screenplay); Alison Brie, Jay Ellis, Kiersey Clemons, Julie Hagerty, Haley Joel Osment, Amy Sedaris"
Consecration,IFC Films / AGC Studios,"Christopher Smith (director/screenplay); Laurie Cook (screenplay); Jena Malone, Danny Huston, Janet Suzman"
The Outwaters,Cinedigm / Bloody Disgusting,"Robbie Banfitch (director/screenplay); Robbie Banfitch, Angela Basolis, Scott Schamell, Michelle May"
Ant-Man and the Wasp: Quantumania,Marvel Studios,"Peyton Reed (director); Jeff Loveness (screenplay); Paul Rudd, Evangeline Lilly, Jonathan Majors, Kathryn Newton, David Dastmalchian, Katy O'Brian, William Jackson Harper, Bill Murray, Michelle Pfeiffer, Corey Stoll, Michael Douglas"
Cocaine Bear,Universal Pictures / Brownstone Productions,"Elizabeth Banks (director); Jimmy Warren (screenplay); Keri Russell, O'Shea Jackson Jr., Christian Convery, Alden Ehrenreich, Brooklynn Prince, Isiah Whitlock Jr., Margo Martindale, Ray Liotta"
We Have a Ghost,Netflix / Legendary Entertainment / Temple Hill Entertainment,"Christopher Landon (director/screenplay); David Harbour, Anthony Mackie, Jahi Di'Allo Winston, Tig Notaro, Erica Ash, Jennifer Coolidge"
Luther: The Fallen Sun,Netflix / BBC Film / Chernin Entertainment,"Jamie Payne (director); Neil Cross (screenplay); Idris Elba, Cynthia Erivo, Andy Serkis, Dermot Crowley"
Jesus Revolution,Lionsgate / Kingdom Story Company,"Jon Erwin, Brent McCorkle (director/screenplay); Joel Courtney, Anna Grace Barlow, Jonathan Roumie, Kimberly Williams-Paisley, Kelsey Grammer"
Bruiser,Hulu / Onyx Collective,"Miles Warren (director/screenplay); Ben Medina (screenplay); Trevante Rhodes, Jalyn Hall, Shinelle Azoroh, Shamier Anderson"
Linoleum,Shout! Studios,"Colin West (director/screenplay); Jim Gaffigan, Rhea Seehorn, Katelyn Nacon, Gabriel Rush, Michael Ian Black, Tony Shalhoub"
God's Time,IFC Films,"Daniel Antebi (director/screenplay); Ben Groh, Dion Costelloe, Liz Caribel Sierra"
Creed III,Metro-Goldwyn-Mayer,"Michael B. Jordan (director); Keenan Coogler, Zach Baylin (screenplay); Michael B. Jordan, Tessa Thompson, Jonathan Majors, Wood Harris, Mila Davis-Kent, Florian Munteanu, Phylicia Rashad"
Operation Fortune: Ruse de Guerre,Lionsgate / STXfilms / Miramax,"Guy Ritchie (director/screenplay); Ivan Atkinson, Marn Davies (screenplay); Jason Statham, Aubrey Plaza, Josh Hartnett, Cary Elwes, Bugzy Malone, Hugh Grant"
A Little White Lie,Saban Films,"Michael Maren (director/screenplay); Michael Shannon, Kate Hudson, Don Johnson, Zach Braff"
Children of the Corn,RLJE Films / Shudder,"Kurt Wimmer (director/screenplay); Elena Kampouris, Kate Moyer, Callan Mulvey, Bruce Spence"
Palm Trees and Power Lines,Momentum Pictures,"Jamie Dack (director/screenplay); Audrey Findlay (screenplay); Lily McInerny, Jonathan Tucker, Gretchen Mol"
"Hunt Her, Kill Her",Welcome Villain Films,"Greg Swinson (director/screenplay); Ryan Thiessen (director); Natalie Terrazzino, JC Oakley III, Larry Bunton"
Unseen,Paramount Pictures / Blumhouse Productions,"Yoko Okumura (director); Salvatore Cardoni, Brian Rawlins (screenplay); Midori Francis, Jolene Purdy, Missi Pyle"
Scream VI,Paramount Pictures / Spyglass Media Group / Radio Silence Productions,"Matt Bettinelli-Olpin, Tyler Gillett (directors); James Vanderbilt, Guy Busick (screenplay); Melissa Barrera, Jasmin Savoy Brown, Jack Champion, Henry Czerny, Mason Gooding, Dermot Mulroney, Jenna Ortega, Tony Revolori, Josh Segarra, Samara Weaving, Hayden Panettiere, Courteney Cox"
65,Columbia Pictures / Bron Creative / TSG Entertainment,"Scott Beck, Bryan Woods (director/screenplay); Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King"
Champions,Focus Features / Gold Circle Entertainment,"Bobby Farrelly (director); Marc Rizzo (screenplay); Woody Harrelson, Kaitlin Olson, Ernie Hudson, Cheech Marin"
Chang Can Dunk,Disney+ / Walt Disney Pictures,"Jingyi Shao (director/screenplay); Bloom Li, Ben Wang, Dexter Darden"
Southern Gospel,Sunbreak Studios / Bridgestone Multimedia,"Jeffrey A. Smith (director/screenplay); Max Ehrich, Katelyn Nacon, J. Alphonse Nicholson, Emma Myers"
Shazam! Fury of the Gods,Warner Bros. Pictures / New Line Cinema / DC Studios,"David F. Sandberg (director); Henry Gayden, Chris Morgan (screenplay); Zachary Levi, Asher Angel, Jack Dylan Grazer, Rachel Zegler, Adam Brody, Ross Butler, D. J. Cotrona, Grace Caroline Currey, Meagan Good, Lucy Liu, Djimon Hounsou, Helen Mirren"
Boston Strangler,Hulu / 20th Century Studios / Scott Free Productions / LuckyChap Entertainment,"Matt Ruskin (director/screenplay); Keira Knightley, Carrie Coon, Alessandro Nivola, David Dastmalchian, Morgan Spector, Chris Cooper"
The Magician's Elephant,Netflix / Netflix Animation / Animal Logic,"Wendy Rogers (director); Martin Hynes (screenplay); Noah Jupe, Benedict Wong, Sian Clifford, Pixie Davies, Natasia Demetriou, Dawn French, Brian Tyree Henry, Aasif Mandvi, Mandy Patinkin, Miranda Richardson, Cree Summer, Lorraine Toussaint"
Moving On,Roadside Attractions,"Paul Weitz (director/screenplay); Jane Fonda, Lily Tomlin, Malcolm McDowell, Sarah Burns, Richard Roundtree"
Wildflower,Momentum Pictures / Entertainment One,"Matt Smukler (director); Jana Savage (screenplay); Kiernan Shipka, Dash Mihok, Charlie Plummer, Alexandra Daddario, Reid Scott, Erika Alexander, Samantha Hyde, Jacki Weaver"
Supercell,Saban Films,"Herbert James Winterstern (director/screenplay); Anna Elizabeth James (screenplay); Skeet Ulrich, Anne Heche, Daniel Diemer, Jordan Kristine Seamón, Alec Baldwin"
Pinball: The Man Who Saved the Game,Vertical Entertainment,"The Bragg Brothers (directors/screenplay); Mike Faist, Crystal Reed, Dennis Boutsikaris"
John Wick: Chapter 4,Lionsgate / Summit Entertainment / Thunder Road Films / 87North Productions,"Chad Stahelski (director); Shay Hatten, Michael Finch (screenplay); Keanu Reeves, Donnie Yen, Bill Skarsgård, Laurence Fishburne, Hiroyuki Sanada, Shamier Anderson, Lance Reddick, Rina Sawayama, Scott Adkins, Clancy Brown, Ian McShane"
A Good Person,Metro-Goldwyn-Mayer / Killer Films / Elevation Pictures,"Zach Braff (director/screenplay); Florence Pugh, Molly Shannon, Chinaza Uche, Celeste O'Connor, Morgan Freeman"
The Tutor,Vertical Entertainment,"Jordan Ross (director); Ryan King (screenplay); Garrett Hedlund, Noah Schnapp, Victoria Justice"
Dungeons & Dragons: Honor Among Thieves,Paramount Pictures / Entertainment One / Hasbro Studios,"John Francis Daley, Jonathan Goldstein (directors/screenplay); Michael Gilio (screenplay); Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith, Sophia Lillis, Hugh Grant"
Murder Mystery 2,Netflix / Happy Madison Productions / Echo Films,"Jeremy Garelick (director); James Vanderbilt (screenplay); Adam Sandler, Jennifer Aniston, Mélanie Laurent, Jodie Turner-Smith, Annie Mumolo, Tony Goldwyn, Mark Strong"
Tetris,Apple TV+ / Marv Studios / AI Film,"Jon S. Baird (director); Noah Pink (screenplay); Taron Egerton, Nikita Yefremov, Roger Allam, Anthony Boyle, Togo Igawa, Ken Yamamura, Ben Miles, Matthew Marsh, Rick Yune, Toby Jones"
Spinning Gold,Variance Films,"Timothy Scott Bogart (director/screenplay); Jeremy Jordan, Wiz Khalifa, Jason Isaacs, Jason Derulo, Jay Pharoah, Michelle Monaghan, Dan Fogler, Sebastian Maniscalco"
Space Oddity,Samuel Goldwyn Films,"Kyra Sedgwick (director); Rebecca Banner (screenplay); Kyle Allen, Alexandra Shipp, Madeline Brewer, Kevin Bacon, Simon Helberg, Carrie Preston, Arden Myrin"
A Thousand and One,Focus Features,"A.V. Rockwell (director/screenplay); Teyana Taylor, Will Catlett, Josiah Cross, Aven Courtney, Aaron Kingsley Adetola"
Assassin,Saban Films,"Jesse Atlas (director/screenplay); Aaron Wolfe (screenplay); Nomzamo Mbatha, Dominic Purcell, Bruce Willis"
Acidman,Brainstorm Media,"Alex Lehmann (director/screenplay); Chris Dowling (screenplay); Thomas Haden Church, Dianna Agron"
Malum,Welcome Villain Films,"Anthony DiBlasi (director/screenplay); Scott Poiley (screenplay); Jessica Sula, Candice Coke, Chaney Morrow, Clarke Wolfe, Morgan Lennon"
The Super Mario Bros. Movie,Universal Pictures / Illumination / Nintendo,"Aaron Horvath, Michael Jelenic (directors); Matthew Fogel (screenplay); Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key, Seth Rogen, Fred Armisen, Sebastian Maniscalco, Charles Martinet, Kevin Michael Richardson"
Air,Amazon Studios / Skydance Media / Mandalay Pictures,"Ben Affleck (director); Alex Convery (screenplay); Matt Damon, Ben Affleck, Jason Bateman, Marlon Wayans, Chris Messina, Chris Tucker, Viola Davis"
Praise This,Peacock / Universal Pictures / Will Packer Productions,"Tina Gordon Chism (director/screenplay); Camilla Blackett, Brandon Broussard, Hudson Obayuwana, Jana Savege (screenplay); Chloe Bailey, Anjelika Washington, Philip Fornah, Quavo, Tristan Wilds, Jekalyn Carr, Koryn Hawthorne, Druski"
Showing Up,A24,"Kelly Reichardt (director/screenplay); Jonathan Raymond (screenplay); Michelle Williams, Hong Chau, Maryann Plunkett, John Magaro, André Benjamin, James LeGros, Judd Hirsch"
Paint,IFC Films,"Brit McAdams (director/screenplay); Owen Wilson, Michaela Watkins, Wendi McLendon-Covey, Ciara Renée, Lucy Freyer, Lusia Strus, Stephen Root"
On a Wing and a Prayer,Amazon Studios / Metro-Goldwyn-Mayer / LightWorkers Media,"Sean McNamara (director); Brian Egeston (screenplay); Dennis Quaid, Heather Graham, Jesse Metcalfe"
Chupa,Netflix,"Jonás Cuarón (director); Marcus Rinehart, Sean Kennedy Moore, Joe Barnathan (screenplay); Demián Bichir, Christian Slater, Evan Whitten"
How to Blow Up a Pipeline,Neon,"Daniel Goldhaber (director/screenplay); Ariela Barer, Jordan Sjol (screenplay); Ariela Barer, Kristine Froseth, Lukas Gage, Forrest Goodluck, Sasha Lane, Jayme Lawson, Marcus Scribner, Jake Weary, Irene Bedard"
One True Loves,The Avenue / BuzzFeed Studios,"Andy Fickman (director); Taylor Jenkins Reid, Alex Jenkins Reid (screenplay); Phillipa Soo, Simu Liu, Luke Bracey"
Beautiful Disaster,Voltage Pictures,"Roger Kumble (director/screenplay); Jamie McGuire (screenplay); Dylan Sprouse, Virginia Gardner, Austin North, Libe Barer, Brian Austin Green, Rob Estes"
Renfield,Universal Pictures / Skybound Entertainment,"Chris McKay (director); Ryan Ridley (screenplay); Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz, Adrian Martinez, Shohreh Aghdashloo"
Beau Is Afraid,A24 / Square Peg,"Ari Aster (director/screenplay); Joaquin Phoenix, Patti LuPone, Nathan Lane, Amy Ryan, Parker Posey, Kylie Rogers, Denis Ménochet, Zoe Lister-Jones, Armen Nahapetian, Stephen McKinley Henderson, Richard Kind"
The Pope's Exorcist,Screen Gems,"Julius Avery (director); Michael Petroni, Evan Spiliotopoulos (screenplay); Russell Crowe, Alex Essoe, Daniel Zovatto, Franco Nero, Ralph Ineson"
Mafia Mamma,Bleecker Street / Ingenious Media,"Catherine Hardwicke (director); Michael J. Feldman, Debbie Jhoon (screenplay); Toni Collette, Monica Bellucci, Sophia Nomvete"
Sweetwater,Briarcliff Entertainment,"Martin Guigui (director/screenplay); Everett Osborne, Cary Elwes, Jeremy Piven, Richard Dreyfuss, Kevin Pollak"
Rare Objects,IFC Films,"Katie Holmes (director/screenplay); Phaedon A. Papadopoulos (screenplay); Julie Mayorga, Katie Holmes, Derek Luke, Alan Cumming"
Quasi,Hulu / Searchlight Pictures / Broken Lizard Productions,"Kevin Heffernan (director/screenplay); Jay Chandrasekhar, Steve Lemme, Paul Soter, Erik Stolhanske (screenplay); Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske, Adrianne Palicki"
Evil Dead Rise,Warner Bros. Pictures / New Line Cinema / Ghost House Pictures,"Lee Cronin (director/screenplay); Lily Sullivan, Alyssa Sutherland, Morgan Davies, Gabrielle Echols, Nell Fisher"
Guy Ritchie's The Covenant,Metro-Goldwyn-Mayer / STXfilms,"Guy Ritchie (director/screenplay); Ivan Atkinson, Marn Davies (screenplay); Jake Gyllenhaal, Dar Salim, Antony Starr, Alexander Ludwig, Bobby Schofield, Emily Beecham, Jonny Lee Miller"
Ghosted,Apple TV+ / Skydance Media,"Dexter Fletcher (director); Rhett Reese, Paul Wernick, Chris McKenna, Erik Sommers (screenplay); Chris Evans, Ana de Armas, Adrien Brody, Mike Moh, Amy Sedaris, Tate Donovan, Tim Blake Nelson, Marwan Kenzari, Anna Deavere Smith"
Chevalier,Searchlight Pictures / Element Pictures,"Stephen Williams (director); Stefani Robinson (screenplay); Kelvin Harrison Jr., Samara Weaving, Lucy Boynton, Marton Csokas, Alex Fitzalan, Minnie Driver"
Somewhere in Queens,Roadside Attractions / Lionsgate,"Ray Romano (director/screenplay); Mark Stegemann (screenplay); Ray Romano, Laurie Metcalf, Jacob Ward, Sadie Stanley, Jennifer Esposito, Dierdre Friel, Jon Manfrellotti, Sebastian Maniscalco, Tony Lo Bianco"
A Tourist's Guide to Love,Netflix,"Steven K. Tsuchida (director); Eirene Donohue (screenplay); Rachael Leigh Cook, Scott Ly, Missi Pyle, Ben Feldman, Nondumiso Tembe, Andrew Barth Feldman"
Peter Pan & Wendy,Disney+ / Walt Disney Pictures / Roth/Kirschenbaum Films,"David Lowery (director/screenplay); Toby Halbrooks (screenplay); Jude Law, Alexander Molony, Ever Anderson, Yara Shahidi, Alyssa Wapanatâhk, Joshua Pickering, Jacobi Jupe, Molly Parker, Alan Tudyk, Jim Gaffigan"
"Are You There God? It's Me, Margaret",Lionsgate / Gracie Films,"Kelly Fremon Craig (director/screenplay); Rachel McAdams, Abby Ryder Fortson, Elle Graham, Benny Safdie, Kathy Bates"
Big George Foreman,Affirm Films / Mandalay Pictures,"George Tillman Jr. (director/screenplay); Frank Baldwin (screenplay); Khris Davis, Jasmine Mathews, John Magaro, Sullivan Jones, Lawrence Gilliard Jr., Sonja Sohn, Forest Whitaker"
Sisu,Lionsgate / Stage 6 Films,"Jalmari Helander (director/screenplay); Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo, Onni Tommila"
Clock,Hulu / 20th Digital Studio,"Alexis Jacknow (director/screenplay); Dianna Agron, Jay Ali, Melora Hardin, Saul Rubinek"
Guardians of the Galaxy Vol. 3,Marvel Studios,"James Gunn (director/screenplay); Chris Pratt, Zoe Saldaña, Dave Bautista, Karen Gillan, Pom Klementieff, Vin Diesel, Bradley Cooper, Sean Gunn, Chukwudi Iwuji, Will Poulter, Elizabeth Debicki, Maria Bakalova, Sylvester Stallone"
Love Again,Screen Gems / Thunder Road Films,"James C. Strouse (director/screenplay); Priyanka Chopra, Sam Heughan, Russell Tovey, Omid Djalili, Celia Imrie, Celine Dion"
Book Club: The Next Chapter,Focus Features / Fifth Season,"Bill Holderman (director/screenplay); Erin Simms (screenplay); Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen, Craig T. Nelson, Giancarlo Giannini, Andy García, Don Johnson"
Fool's Paradise,Roadside Attractions / Lionsgate,"Charlie Day (director/screenplay); Charlie Day, Ken Jeong, Kate Beckinsale, Adrien Brody, Jason Sudeikis, Edie Falco, Jason Bateman, Common, Ray Liotta, John Malkovich"
The Mother,Netflix / Nuyorican Productions / Vertigo Entertainment,"Niki Caro (director); Misha Green, Andrea Berloff, Peter Craig (screenplay); Jennifer Lopez, Omari Hardwick, Lucy Paez, Gael García Bernal, Joseph Fiennes, Paul Raci"
Hypnotic,Ketchup Entertainment / Solstice Studios / Ingenious Media,"Robert Rodriguez (director/screenplay); Max Borenstein (screenplay); Ben Affleck, Alice Braga, William Fichtner, J. D. Pardo, Hala Finley, Dayo Okeniyi, Jeff Fahey, Jackie Earle Haley"
Crater,Disney+ / Walt Disney Pictures / 21 Laps Entertainment,"Kyle Patrick Alvarez (director); John Griffin (screenplay); Isaiah Russell-Bailey, Mckenna Grace, Billy Barratt, Scott Mescudi"
Knights of the Zodiac,Stage 6 Films / Toei Animation,"Tomasz Bagiński (director); Josh Campbell, Matt Stuecken, Kiel Murray (screenplay); Mackenyu, Famke Janssen, Madison Iseman, Diego Tinoco, Mark Dacascos, Nick Stahl, Sean Bean"
Monica,IFC Films / Rai Cinema,"Andrea Pallaoro (director/screenplay); Orlando Tirado (screenplay); Trace Lysette, Patricia Clarkson, Emily Browning, Joshua Close, Adriana Barraza"
The Starling Girl,Bleecker Street / 2AM,"Laurel Parmet (director/screenplay); Eliza Scanlen, Lewis Pullman, Wrenn Schmidt, Austin Abrams, Kyle Secor, Jimmi Simpson"
Fast X,Universal Pictures / Original Film / One Race Films / Roth/Kirschenbaum Films,"Louis Leterrier (director); Justin Lin, Zach Dean, Dan Mazeau (screenplay); Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Chris ""Ludacris"" Bridges, Jason Momoa, Nathalie Emmanuel, Jordana Brewster, John Cena, Jason Statham, Sung Kang, Alan Ritchson, Daniela Melchior, Scott Eastwood, Helen Mirren, Charlize Theron, Brie Larson, Rita Moreno"
White Men Can't Jump,Hulu / 20th Century Studios,"Calmatic (director); Kenya Barris, Doug Hall (screenplay); Sinqua Walls, Jack Harlow, Teyana Taylor, Laura Harrier, Vince Staples, Myles Bullock, Lance Reddick"
Master Gardener,Magnolia Pictures / HanWay Films,"Paul Schrader (director/screenplay); Joel Edgerton, Sigourney Weaver, Quintessa Swindell, Esai Morales"
Sanctuary,Neon,"Zachary Wigon (director); Micah Bloomberg (screenplay); Margaret Qualley, Christopher Abbott"
Robots,Neon,"Anthony Hines, Casper Christensen (directors/screenplay); Shailene Woodley, Jack Whitehall"
The Little Mermaid,Walt Disney Pictures,"Rob Marshall (director); David Magee (screenplay); Halle Bailey, Jonah Hauer-King, Daveed Diggs, Awkwafina, Jacob Tremblay, Noma Dumezweni, Javier Bardem, Melissa McCarthy"
About My Father,Lionsgate,"Laura Terruso (director); Sebastian Maniscalco, Austen Earl (screenplay); Sebastian Maniscalco, Robert De Niro, Leslie Bibb, Anders Holm, David Rasche, Kim Cattrall"
Kandahar,Open Road Films / Thunder Road Films,"Ric Roman Waugh (director); Mitchell LaFortune (screenplay); Gerard Butler, Navid Negahban, Ali Fazal, Bahador Foladi, Nina Toussaint-White, Vassilis Koukalani, Mark Arnold, Corey Johnson, Travis Fimmel"
The Machine,Screen Gems / Legendary Entertainment,"Peter Atencio (director); Kevin Biegel, Scotty Landes (screenplay); Bert Kreischer, Mark Hamill, Jimmy Tatro, Iva Babić, Stephanie Kurtzuba"
You Hurt My Feelings,A24 / FilmNation Entertainment / Likely Story,"Nicole Holofcener (director/screenplay); Julia Louis-Dreyfus, Tobias Menzies, Michaela Watkins, Arian Moayed, Owen Teague, Amber Tamblyn, David Cross, Jeannie Berlin"
Spider-Man: Across the Spider-Verse,Columbia Pictures / Sony Pictures Animation / Marvel Entertainment,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson (directors); Phil Lord, Christopher Miller, David Callaham (screenplay); Shameik Moore, Hailee Steinfeld, Jake Johnson, Issa Rae, Daniel Kaluuya, Karan Soni, Jason Schwartzman, Brian Tyree Henry, Luna Lauren Vélez, Greta Lee, Rachel Dratch, Jorma Taccone, Shea Whigham, Oscar Isaac"
The Boogeyman,20th Century Studios / 21 Laps Entertainment,"Rob Savage (director); Scott Beck, Bryan Woods, Mark Heyman (screenplay); Sophie Thatcher, Chris Messina, Vivien Lyra Blair, Marin Ireland, Madison Hu, LisaGay Hamilton, David Dastmalchian"
Past Lives,A24 / CJ ENM / Killer Films / 2AM,"Celine Song (director/screenplay); Greta Lee, Teo Yoo, John Magaro"
Transformers: Rise of the Beasts,Paramount Pictures / Skydance Media / New Republic Pictures / Entertainment One,"Steven Caple Jr. (director); Joby Harold, Darnell Metayer, Josh Peters, Erich Hoeber, Jon Hoeber (screenplay); Anthony Ramos, Dominique Fishback, Peter Cullen, Ron Perlman, Pete Davidson, Liza Koshy, Peter Dinklage, Michelle Yeoh, Colman Domingo"
Strays,Universal Pictures,"Josh Greenbaum (director); Dan Perrault (screenplay); Will Ferrell, Jamie Foxx, Will Forte, Isla Fisher, Randall Park, Josh Gad, Harvey Guillén, Rob Riggle, Brett Gelman, Jamie Demetriou, Sofia Vergara"
Flamin' Hot,Hulu / Disney+ / Searchlight Pictures,"Eva Longoria (director); Lewis Colick, Linda Yvette Chávez (screenplay); Jesse Garcia, Annie Gonzalez, Dennis Haysbert, Matt Walsh, Tony Shalhoub"
Jagged Mind,Hulu / 20th Digital Studio,"Kelly Kali (director); Allyson Morgan (screenplay); Maisie Richardson-Sellers, Shannon Woodward"
The Flash,Warner Bros. Pictures / DC Studios,"Andy Muschietti (director); Christina Hodson (screenplay); Ezra Miller, Sasha Calle, Michael Shannon, Ron Livingston, Maribel Verdú, Kiersey Clemons, Antje Traue, Michael Keaton, Ben Affleck"
Elemental,Walt Disney Pictures / Pixar Animation Studios,"Peter Sohn (director); John Hoberg, Kat Likkel, Brenda Hsueh (screenplay); Leah Lewis, Mamoudou Athie, Ronnie del Carmen, Shila Omni, Wendi McLendon-Covey, Mason Wertheimer, Catherine O'Hara, Joe Pera, Matt Yang King"
Asteroid City,Focus Features / Indian Paintbrush,"Wes Anderson (director/screenplay); Roman Coppola (screenplay); Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright, Tilda Swinton, Bryan Cranston, Edward Norton, Adrien Brody, Liev Schreiber, Hope Davis, Stephen Park, Rupert Friend, Maya Hawke, Steve Carell, Matt Dillon, Hong Chau, Willem Dafoe, Margot Robbie, Tony Revolori, Jake Ryan, Jeff Goldblum"
Extraction 2,Netflix / AGBO,"Sam Hargrave (director); Joe Russo (screenplay); Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Daniel Bernhardt, Tinatin Dalakishvili, Olga Kurylenko"
